ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Loan_Status
5849,0,,360,Y
4583,1508,12800,360,N
3000,0,6600,360,Y
2583,2358,12000,360,Y
6000,0,14100,360,Y
5417,4196,26700,360,Y
2333,1516,9500,360,Y
3036,2504,15800,360,N
4006,1526,16800,360,Y
12841,10968,34900,360,N
3200,700,7000,360,Y
2500,1840,10900,360,Y
3073,8106,20000,360,Y
1853,2840,11400,360,N
1299,1086,1700,120,Y
4950,0,12500,360,Y
3596,0,10000,240,Y
3510,0,7600,360,N
4887,0,13300,360,N
2600,3500,11500,,Y
7660,0,10400,360,N
5955,5625,31500,360,Y
2600,1911,11600,360,N
3365,1917,11200,360,N
3717,2925,15100,360,N
9560,0,19100,360,Y
2799,2253,12200,360,Y
4226,1040,11000,360,Y
1442,0,3500,360,N
3750,2083,12000,360,Y
4166,3369,20100,360,N
3167,0,7400,360,N
4692,0,10600,360,N
3500,1667,11400,360,Y
12500,3000,32000,360,N
2275,2067,0,360,Y
1828,1330,10000,,N
3667,1459,14400,360,Y
4166,7210,18400,360,Y
3748,1668,11000,360,Y
3600,0,8000,360,N
1800,1213,4700,360,Y
2400,0,7500,360,Y
3941,2336,13400,360,Y
4695,0,9600,,Y
3410,0,8800,,Y
5649,0,4400,360,Y
5821,0,14400,360,Y
2645,3440,12000,360,N
4000,2275,14400,360,Y
1928,1644,10000,360,Y
3086,0,12000,360,Y
4230,0,11200,360,N
4616,0,13400,360,N
11500,0,28600,360,N
2708,1167,9700,360,Y
2132,1591,9600,360,Y
3366,2200,13500,360,N
8080,2250,18000,360,Y
3357,2859,14400,360,Y
2500,3796,12000,360,Y
3029,0,9900,360,Y
2609,3449,16500,180,N
4945,0,0,360,N
4166,0,11600,360,N
5726,4595,25800,360,N
3200,2254,12600,180,N
10750,0,31200,360,Y
7100,0,12500,60,Y
4300,0,13600,360,N
3208,3066,17200,360,Y
1875,1875,9700,360,Y
3500,0,8100,300,Y
4755,0,9500,,N
5266,1774,18700,360,Y
3750,0,11300,480,N
3750,4750,17600,360,N
1000,3022,11000,360,N
3167,4000,18000,300,N
3333,2166,13000,360,Y
3846,0,11100,360,Y
2395,0,0,360,Y
1378,1881,16700,360,N
6000,2250,26500,360,N
3988,0,5000,240,Y
2366,2531,13600,360,Y
3333,2000,9900,360,Y
2500,2118,10400,360,Y
8566,0,21000,360,Y
5695,4167,17500,360,Y
2958,2900,13100,360,Y
6250,5654,18800,180,Y
3273,1820,8100,360,Y
4133,0,12200,360,Y
3620,0,2500,120,Y
6782,0,0,360,N
2484,2302,13700,360,Y
1977,997,5000,360,Y
4188,0,11500,180,Y
1759,3541,13100,360,Y
4288,3263,13300,180,Y
4843,3806,15100,360,Y
13650,0,0,360,Y
4652,3583,0,360,Y
3816,754,16000,360,Y
3052,1030,10000,360,Y
11417,1126,22500,360,Y
7333,0,12000,360,N
3800,3600,21600,360,N
2071,754,9400,480,Y
5316,0,13600,360,Y
2929,2333,13900,360,Y
3572,4114,15200,,N
7451,0,0,360,Y
5050,0,11800,360,Y
14583,0,18500,180,Y
3167,2283,15400,360,Y
2214,1398,8500,360,Y
5568,2142,17500,360,N
10408,0,25900,360,Y
5667,2667,18000,360,Y
4166,0,4400,360,Y
2137,8980,13700,360,Y
2957,0,8100,360,Y
4300,2014,19400,360,Y
3692,0,9300,360,Y
23803,0,37000,360,Y
3865,1640,0,360,Y
10513,3850,16000,180,N
6080,2569,18200,360,N
20166,0,65000,480,Y
2014,1929,7400,360,Y
2718,0,7000,360,Y
3459,0,2500,120,Y
4895,0,10200,360,Y
4000,7750,29000,360,N
4583,0,8400,360,N
3316,3500,8800,360,Y
14999,0,24200,360,N
4200,1430,12900,360,N
5042,2083,18500,360,N
5417,0,16800,360,Y
6950,0,17500,180,Y
2698,2034,12200,360,Y
11757,0,18700,180,Y
2330,4486,10000,360,Y
14866,0,7000,360,Y
1538,1425,3000,360,Y
10000,1666,22500,360,N
4860,830,12500,360,Y
6277,0,11800,360,N
2577,3750,15200,360,Y
9166,0,24400,360,N
2281,0,11300,360,N
