,0,1
0,"[0, 0.30672122164661547]","[16492, 0.10622727364301256]"
1,"[0, 0.6193533556124222]","[14620, 0.21433052185951224]"
2,"[0, 0.4378865845830901]","[21668, 0.16042307261837552]"
3,"[0, 0.957454939530719]","[4222, 0.01484421690638336]"
4,"[0, 0.5008069839572759]","[25984, 0.13988879810750762]"
5,"[0, 0.36265241747689003]","[16793, 0.12811215107824103]"
6,"[0, 0.38162434441202886]","[17619, 0.12018229913430001]"
7,"[0, 0.6841612600625737]","[12836, 0.09526592983601381]"
8,"[0, 0.3011674304652524]","[7379, 0.11225947197068907]"
9,"[0, 0.6264415826511291]","[18271, 0.10568753133506392]"
10,"[0, 0.3855538482796032]","[3084, 0.003992004594891574]"
11,"[0, 0.476487435415017]","[23795, 0.1497604261233502]"
12,"[0, 0.4167346955432001]","[12737, 0.10556298963047833]"
13,"[0, 0.6108915598941268]","[5511, 0.12361634899474094]"
14,"[0, 0.38805089989910374]","[19371, 0.06398407608779139]"
15,"[0, 0.5465633414098363]","[12481, 0.06021755967185844]"
16,"[0, 0.6800144770201998]","[17753, 0.14381589925912766]"
17,"[0, 0.7430921065453521]","[19313, 0.1362161503334482]"
18,"[0, 0.818846803555982]","[8105, 0.056781961434881574]"
19,"[0, 0.37036219811393856]","[13088, 0.0873562808162068]"
