n_samples,n_samples_explained,n_features,n_trees,max_depth,avg_nnodes,avg_nleaves,avg_depth,accuracy,precision,recall,f1,ext_min,ext_avg,ext_max,init_time,runtime,order,coverage_ratio,mean_dist,mean_length,dataset
568,5,30,10,3,12.6,6.8,3.0,0.9298245614035088,0.9591836734693877,0.8867924528301887,0.9215686274509803,903,3225.2,5150,0.06499958038330078,0.9362940788269043,PriorityQueue,1.0,0.18054761285742252,5.0,cancer
568,5,30,10,3,12.6,6.8,3.0,0.9298245614035088,0.9591836734693877,0.8867924528301887,0.9215686274509803,200,468.8,660,0.06499958038330078,1.1290175914764404,Stack,1.0,0.18054761285742252,5.0,cancer
162,5,9,10,3,10.8,5.9,3.0,0.6666666666666666,0.8333333333333334,0.5263157894736842,0.6451612903225806,308,1430.8,3567,0.06701374053955078,0.23171186447143555,PriorityQueue,1.0,0.021329091201089143,1.8,glass
162,5,9,10,3,10.8,5.9,3.0,0.6666666666666666,0.8333333333333334,0.5263157894736842,0.6451612903225806,166,576.4,1309,0.06701374053955078,0.4728353023529053,Stack,1.0,0.021329091201089143,1.8,glass
19019,5,10,10,3,15.0,8.0,3.0,0.8165089379600421,0.8373609512850019,0.8884818884818885,0.8621642969984201,681,1962.0,3734,0.10699629783630371,0.4219999313354492,PriorityQueue,1.0,0.11294548390940004,2.2,magic
19019,5,10,10,3,15.0,8.0,3.0,0.8165089379600421,0.8373609512850019,0.8884818884818885,0.8621642969984201,444,498.4,618,0.10699629783630371,0.6732561588287354,Stack,1.0,0.11294548390940004,2.2,magic
4600,5,57,10,3,14.8,7.9,3.0,0.875,0.9090909090909091,0.7449856733524355,0.8188976377952756,1795,3134.8,5011,0.08119869232177734,0.9533786773681641,PriorityQueue,1.0,0.007505792040705323,3.0,spambase
4600,5,57,10,3,14.8,7.9,3.0,0.875,0.9090909090909091,0.7449856733524355,0.8188976377952756,363,527.2,726,0.08119869232177734,1.5786621570587158,Stack,1.0,0.007505792040705323,3.0,spambase
309,5,6,10,3,12.8,6.9,3.0,0.7096774193548387,0.8378378378378378,0.7209302325581395,0.7749999999999999,319,623.6,951,0.08600091934204102,0.12225103378295898,PriorityQueue,1.0,0.09617476386672763,2.6,vertebral
309,5,6,10,3,12.8,6.9,3.0,0.7096774193548387,0.8378378378378378,0.7209302325581395,0.7749999999999999,136,213.8,427,0.08600091934204102,0.18401455879211426,Stack,1.0,0.09617476386672763,2.6,vertebral
