,0,1
0,"[0, 0.33583369973615396]","[13390, 0.10640498416978841]"
1,"[0, 0.22946899876713261]","[6899, 0.04807883613596236]"
2,"[0, 0.3407038811859743]","[6585, 0.030843314739645016]"
3,"[0, 0.2653079994452185]","[12943, 0.13106569438146623]"
4,"[0, 0.22243122894187775]","[23951, 0.10808091288370565]"
5,"[0, 0.5057912374388205]","[4028, 0.029396553769292358]"
6,"[0, 0.3078064596435316]","[6469, 0.18158477495086864]"
7,"[0, 0.4570843055554852]","[2407, 0.016521218576619368]"
8,"[0, 0.6519268874812024]","[1785, 0.02824340344921762]"
9,"[0, 0.299270451047772]","[8786, 0.02261876852076649]"
10,"[0, 0.3112702686917986]","[8905, 0.17339607721888511]"
11,"[0, 0.3893065412283162]","[2857, 0.08365758945620494]"
12,"[0, 0.29214954689848577]","[11853, 0.05224261981910672]"
13,"[0, 0.710945483394334]","[4651, 0.04430656508968513]"
14,"[0, 0.19936900628241966]","[2704, 0.00832405491640306]"
15,"[0, 0.31607020015468473]","[6573, 0.1704941328441818]"
16,"[0, 0.23502470264619643]","[5075, 0.11209157858035404]"
17,"[0, 0.17709782075795397]","[7309, 0.09481210418254293]"
18,"[0, 0.2695690858425226]","[12489, 0.1547788879173615]"
19,"[0, 0.3174868039935372]","[5783, 0.07639547663806066]"
