,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
0,"[0, 0.7984929240471372]","[98, 0.5791481982129956]","[98, 0.3819412165202413]","[111, 0.38170030387787834]","[665, 0.15281566309473152]","[665, 0.1003864820282917]","[676, 0.07666956042048535]","[745, 0.05601634263600274]","[797, 0.05600378291432756]","[808, 0.05177520322099506]","[816, 0.050695960051492905]","[916, 0.026044991453334478]","[916, 0.023827510922702216]","[995, 0.02379796913966742]","[1020, 0.010516239966488622]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0, 0.6344480969243267]","[657, 0.547483903320255]","[683, 0.5474671729025773]","[683, 0.5472922691201481]","[735, 0.5423796895745489]","[784, 0.5415287024799773]","[822, 0.541511788071881]","[1025, 0.5403978910877981]","[1025, 0.5401821459628772]","[1047, 0.5401333579732285]","[1157, 0.5395437782412132]","[1163, 0.539327691449014]","[2057, 0.46700441229684164]","[2067, 0.44160359456106285]","[2087, 0.41735376397711166]","[2161, 0.41411128256544544]","[2318, 0.34446777042297444]","[2342, 0.30915798305188263]","[2377, 0.30188940178537704]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[0, 0.3476518052268731]","[285, 0.31804621646563414]","[285, 0.31776634481773597]","[320, 0.31640917784582345]","[320, 0.31612785691202416]","[337, 0.3090418394861318]","[337, 0.3087538058772577]","[372, 0.3087165324323033]","[430, 0.3022021792885378]","[430, 0.30190762040309754]","[464, 0.30186950162412046]","[643, 0.2932200214272129]","[643, 0.2929164301579795]","[687, 0.29140407982057176]","[687, 0.29109859468364574]","[725, 0.28201445991629376]","[725, 0.28169879249403634]","[865, 0.28010758382440204]","[865, 0.2797897650141329]","[884, 0.27048029001077284]","[884, 0.2701511454260949]","[928, 0.2582900732130746]","[947, 0.2579453740836124]","[1157, 0.2548699394435624]","[1721, 0.2541650597054124]","[1721, 0.25272057960638805]","[6862, 0.23982523480549045]","[6862, 0.22250866464642688]","[6894, 0.2224899477030459]","[6968, 0.2224569409932405]","[7066, 0.20612637914095816]","[7101, 0.20610617449249324]","[7180, 0.20607054357936763]","[7279, 0.20583587820145202]","[7298, 0.20557428360472543]","[7328, 0.20555402468880077]","[8441, 0.2042146906656413]","[8477, 0.20161925916884646]","[8500, 0.18984840372174996]","[8532, 0.18982646649470303]","[8587, 0.17849850142078527]","[9388, 0.17420556300410633]","[9417, 0.174181655657953]","[9468, 0.16176179028233822]","[11414, 0.1584796020487432]","[11428, 0.1572975409375986]","[16012, 0.15691666884756528]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[0, 0.4041137185751919]","[510, 0.4014709471656995]","[521, 0.36200577450953864]","[552, 0.35994091701169995]","[607, 0.35525092157653126]","[634, 0.35314657048022896]","[757, 0.3260077165454675]","[768, 0.3249507914556578]","[791, 0.3245018139164131]","[842, 0.07978882522337508]","[852, 0.0753541123694971]","[872, 0.07339381866600742]","[926, 0.03462456939494886]","[948, 0.022601912004388706]","[980, 0.022110871681313652]","[1191, 0.02198291415423444]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[0, 0.6676601348099224]","[98, 0.5201425333889754]","[98, 0.4175184902619388]","[683, 0.4045135546183905]","[702, 0.40383989820085886]","[1182, 0.3993959698654443]","[1200, 0.39667090550393697]","[1207, 0.3814115912189228]","[1364, 0.36846416999832593]","[1390, 0.36528030528110633]","[1400, 0.3488889590456354]","[1650, 0.3452934137439929]","[1650, 0.3400412669126842]","[1661, 0.338467248248003]","[1708, 0.3322551009249084]","[1708, 0.3221103193727589]","[1718, 0.32044823728554456]","[2239, 0.3106454325629192]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[0, 0.3147224306154675]","[190, 0.12418561165509855]","[201, 0.12178808210170688]","[211, 0.09771709387218978]","[211, 0.04922956260496824]","[247, 0.04919648970047631]","[373, 0.02930992535987867]","[431, 0.022502225185435296]","[977, 0.019269782183284345]","[1032, 0.005520475146884474]","[1134, 0.004313110140676035]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[0, 0.7415705564664703]","[285, 0.3535127160319836]","[285, 0.3534621056987803]","[285, 0.3531764778927535]","[320, 0.3522043923746965]","[320, 0.3521535940136562]","[320, 0.35186690402544246]","[337, 0.3442023011155933]","[337, 0.3441503216066715]","[337, 0.34385695897231794]","[371, 0.343788360991861]","[371, 0.34349468922413495]","[385, 0.34344260261925996]","[451, 0.3105702265354635]","[451, 0.31051261710113326]","[486, 0.3090801825125778]","[486, 0.3090222952971424]","[503, 0.2999297406181135]","[503, 0.29987008699761086]","[537, 0.299454608192042]","[552, 0.2993948599026965]","[604, 0.299356838725182]","[617, 0.29929707091824415]","[674, 0.29903562919205123]","[709, 0.2989757971726003]","[834, 0.2974536161025649]","[834, 0.29739346580111325]","[866, 0.29697452212722325]","[880, 0.29691427476865856]","[924, 0.2968759359004664]","[936, 0.296815668530965]","[987, 0.2965520391963764]","[1017, 0.2964917059889451]","[1253, 0.28654975253811715]","[1253, 0.2864873128924945]","[1288, 0.2849341227220346]","[1288, 0.28487132895411105]","[1305, 0.27498135277981284]","[1305, 0.27491628570406984]","[1343, 0.27446303473658606]","[1360, 0.27439784475378504]","[1415, 0.2706885718418168]","[1415, 0.27062247263386735]","[1443, 0.2705175139454221]","[1455, 0.2704513729303616]","[1520, 0.2701620180298537]","[1559, 0.2700957899610226]","[1628, 0.2631828657172053]","[1628, 0.26311488094713753]","[1649, 0.2630547410349618]","[1692, 0.25869437441944315]","[1692, 0.25862520976303316]","[1711, 0.2585640255915686]","[1786, 0.2585153801647327]","[1815, 0.2584461676063743]","[3034, 0.2558194358947542]","[3034, 0.25574949374381195]","[3053, 0.25568762143553325]","[3122, 0.25563842865844616]","[3151, 0.25556843697073656]","[5483, 0.21540343491915126]","[5483, 0.2153203649069797]","[5504, 0.21524687163538367]","[5543, 0.13372084724884262]","[5543, 0.1335869932203512]","[5564, 0.13346850176277023]","[5600, 0.12465481754868055]","[5600, 0.12451121759424207]","[5619, 0.12438408062105512]","[5664, 0.1242829270798852]","[5681, 0.12413889693504578]","[5746, 0.12350723297967375]","[5790, 0.12336229718597684]","[5872, 0.07748039921542332]","[5872, 0.07724915553769653]","[5895, 0.07704406684769227]","[5934, 0.060504304076056496]","[5934, 0.06020789466867086]","[5955, 0.05994453090631547]","[6004, 0.0597343555851834]","[6023, 0.059434106419487695]","[6091, 0.058103217397391035]","[6137, 0.05779449489903292]","[6218, 0.048469790209552284]","[6227, 0.04809927579146975]","[6236, 0.036964525818278374]","[8075, 0.03680239968372281]"
7,"[0, 0.5949461118360632]","[285, 0.31857940509114335]","[285, 0.3154862741091993]","[285, 0.31517386137941683]","[320, 0.3140988091123769]","[320, 0.31378501498847966]","[337, 0.30831845537168995]","[337, 0.3051213229616423]","[337, 0.3047982865295831]","[370, 0.3045759849987965]","[370, 0.30425236956101775]","[436, 0.3032672628408383]","[436, 0.3000163070802188]","[471, 0.29855695813120936]","[488, 0.29246959719863547]","[488, 0.28909724503808426]","[521, 0.2885216213747844]","[646, 0.2873190658189934]","[677, 0.28673987252425037]","[831, 0.2865476397885161]","[877, 0.28596688406263665]","[1102, 0.2847355618942966]","[1102, 0.28127049616043776]","[1139, 0.280678821649342]","[1214, 0.27925812968551184]","[1214, 0.27572423687178493]","[1249, 0.2741356006304849]","[1266, 0.2674930570501001]","[1266, 0.26380160608511494]","[1303, 0.26317066000071215]","[1371, 0.26262205641858]","[1383, 0.25568056741664036]","[1383, 0.25181601290937244]","[1404, 0.25174796489269463]","[1493, 0.2511549586802887]","[1606, 0.2497725622482625]","[1627, 0.24970395736171735]","[1710, 0.24910608536161144]","[1838, 0.2488847868740319]","[1870, 0.24881593720534156]","[1983, 0.2482159262606986]","[2115, 0.16081850444189139]","[2115, 0.15460059241155796]","[2136, 0.15448972989828438]","[2175, 0.12783108672648433]","[2175, 0.11991471359575516]","[2196, 0.11977174961898227]","[2254, 0.118520240671694]","[2336, 0.11402142514447147]","[2359, 0.11387106244352206]","[2401, 0.07375858561310399]","[2401, 0.05898373296701069]","[2424, 0.05869253977094377]","[2486, 0.0560944709115605]","[2570, 0.055669717532239794]","[2579, 0.04709220137479457]","[2591, 0.040635489120429025]","[3430, 0.03580162112686192]","[4975, 0.03565187329983962]","[7248, 0.029982053667876304]",,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"[0, 0.3413378646581732]","[190, 0.008191634573561202]","[190, 0.007982722469193015]","[216, 0.0031582327862801907]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[0, 0.3733639614989852]","[285, 0.29980609622379606]","[285, 0.2995303439604226]","[320, 0.29780280462642233]","[320, 0.297525195678383]","[337, 0.2884192510607717]","[337, 0.28813260142259756]","[397, 0.2868269872138248]","[414, 0.2770719663431381]","[472, 0.2710528503223238]","[651, 0.26825335721980653]","[685, 0.26770353111944445]","[728, 0.2660125537829148]","[764, 0.25267120663623677]","[892, 0.25249945454435646]","[936, 0.24658894384098018]","[936, 0.23990080516141551]","[1132, 0.23828934541481422]","[1288, 0.23648067139190335]","[2082, 0.23529283476559792]","[9149, 0.20773738450277426]","[9149, 0.1997526220417115]","[9202, 0.19167167519185]","[9202, 0.18298721311429228]","[9301, 0.17967186401809218]","[9301, 0.1703768405981904]","[9462, 0.16409217371583104]","[9462, 0.1538588007468921]","[9512, 0.15371081487452168]","[9521, 0.14273508223935294]","[9628, 0.1402107726388495]","[9678, 0.1400483659529835]","[9687, 0.12790556633151726]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"[0, 0.2723165084600233]","[305, 0.26568742830019876]","[305, 0.2653813812396928]","[324, 0.25686294970395374]","[324, 0.25654637569556454]","[361, 0.2513413169010537]","[361, 0.2510177793174615]","[405, 0.24648278393367598]","[424, 0.2461528604904056]","[532, 0.24404077317372153]","[532, 0.24253598011731503]","[552, 0.24220068043542017]","[655, 0.24199271947063464]","[670, 0.24092945867088028]","[670, 0.240475110888907]","[705, 0.24013693366274586]","[810, 0.23803185501905827]","[823, 0.23769020164013466]","[899, 0.2363947258459688]","[899, 0.2359316454174375]","[928, 0.23558694628797527]","[1148, 0.23447562969679442]","[2799, 0.23318755435109506]","[2870, 0.2306031138417074]","[19594, 0.19972787570472472]","[19600, 0.19520222105314977]","[19623, 0.13823519933942646]","[19629, 0.1316117514015058]","[20752, 0.12750111498840835]","[20804, 0.11655460031808781]","[20807, 0.10861702272604412]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
