,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
0,"[0, 0.3782285988858942]","[252, 0.3582974905010972]","[252, 0.3328169643820587]","[252, 0.32840467505720605]","[267, 0.32702190966302574]","[267, 0.32253035239895284]","[322, 0.3190905349136858]","[336, 0.3144857203283523]","[369, 0.3130414782271923]","[383, 0.30834634084030615]","[460, 0.3069679240846321]","[460, 0.3066258723021815]","[493, 0.30548814251465073]","[493, 0.3051444319749204]","[507, 0.30067508050384234]","[507, 0.30032586166402214]","[612, 0.29818965424871]","[692, 0.2976861032310435]","[725, 0.29274479478860765]","[780, 0.2911927431720219]","[811, 0.2861393235733034]","[886, 0.2847972935970729]","[886, 0.2827873893793335]","[984, 0.28268599355234814]","[1013, 0.277477692381962]","[1080, 0.27609356333469365]","[1080, 0.27401982568166466]","[1201, 0.2734218528444594]","[1346, 0.27159835612538746]","[1472, 0.26925854876578015]","[1472, 0.26768957464793586]","[1519, 0.2674463304492128]","[1531, 0.2620617555131187]","[1540, 0.26044943078140226]","[1605, 0.25878862563682997]","[1615, 0.2571557797342657]","[1643, 0.2543473896518424]","[1643, 0.2520948309158035]","[1665, 0.2504183421121671]","[1731, 0.24671601537368779]","[1731, 0.24439312877744981]","[1754, 0.2426634370591705]","[1832, 0.24154214082719808]","[1849, 0.2396752434876772]","[1905, 0.2359228565925485]","[1905, 0.23349261961473133]","[1922, 0.2315608342532065]","[2032, 0.2313517665308087]","[2202, 0.23086400814428665]","[2202, 0.2307664812863312]","[2224, 0.22905922706490606]","[2237, 0.22896093145425833]","[2298, 0.2289375177992011]","[2310, 0.22711373895944828]","[3153, 0.22643365956195222]","[3173, 0.22390044960736344]","[3198, 0.22188516822868276]","[7469, 0.22082105699139035]","[7565, 0.21937291854763472]","[7614, 0.21889403038994112]","[8977, 0.21260524688372384]","[13077, 0.21025496055885284]","[23311, 0.20988314317418477]","[23328, 0.19785501659586568]","[23328, 0.18936359231287295]","[23343, 0.18681898408708666]","[23348, 0.17780128041388457]","[28578, 0.17620174871235492]","[28578, 0.17366995436432328]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0, 0.4591224401077392]","[252, 0.4141478366485915]","[252, 0.3925238903580722]","[252, 0.38882879083370464]","[267, 0.3717195691194224]","[267, 0.36781552733088085]","[322, 0.35702620956027514]","[336, 0.3529596838058738]","[414, 0.3477847674325962]","[414, 0.3472077640951226]","[428, 0.3436088889093382]","[428, 0.34302486138368926]","[533, 0.3395557738178843]","[612, 0.3317598691769171]","[643, 0.32737964945251263]","[718, 0.32714895662580984]","[718, 0.32372222719032506]","[718, 0.32340439047686204]","[816, 0.3211699362195066]","[845, 0.31664325669530197]","[912, 0.3164047359890696]","[912, 0.3128603482578469]","[912, 0.31253146547934574]","[1033, 0.31084703236700645]","[1033, 0.3105160171939943]","[1061, 0.3103472193353671]","[1187, 0.3089843829969421]","[1187, 0.30319214855896415]","[1228, 0.29870007710531693]","[1256, 0.28208470802312924]","[1266, 0.27572796831713337]","[1332, 0.26702078343976876]","[1332, 0.2628112237795341]","[1332, 0.26241962340332425]","[1355, 0.25597630624004314]","[1355, 0.25557423336272095]","[1433, 0.2512566336300361]","[1433, 0.2467783144824655]","[1433, 0.24636123051619313]","[1450, 0.2297567938934356]","[1450, 0.22930875199790532]","[1471, 0.22908012431900399]","[1588, 0.22470755923395552]","[1588, 0.2203192724019991]","[1595, 0.21985199838617]","[8747, 0.2171500075888186]","[8747, 0.20854045495599288]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[0, 0.2932263913751445]","[252, 0.23458937846659583]","[252, 0.21023640856781797]","[252, 0.20619393671307665]","[267, 0.20282067949129545]","[282, 0.20278136682101472]","[337, 0.20149727774377807]","[351, 0.1972758094341397]","[383, 0.1937473444462389]","[413, 0.19370619035141254]","[490, 0.1931636410067684]","[518, 0.19312236252562734]","[626, 0.19294596796938387]","[658, 0.18933682961251105]","[688, 0.189294716641023]","[762, 0.18873948652769829]","[788, 0.18869724024274268]","[888, 0.18360983898871672]","[900, 0.17896693835232316]","[928, 0.17874961469004835]","[928, 0.17506985324515123]","[956, 0.17502430749974965]","[1006, 0.17162567741625193]","[1056, 0.1715792174159665]","[1127, 0.16861485840181165]","[1175, 0.1644726693585823]","[1220, 0.1644241882036389]","[1294, 0.1617234535430058]","[1294, 0.16080167474017834]","[1364, 0.16075208645530623]","[1458, 0.1600978991938004]","[1520, 0.16004809285573013]","[1646, 0.15657198439669742]","[1693, 0.15632352998367255]","[1705, 0.15210218535574763]","[1745, 0.1520497599158984]","[1810, 0.1482176838221052]","[1838, 0.14564988353997765]","[1838, 0.1446256953261709]","[1904, 0.1408338633542501]","[1904, 0.1397743905036003]","[1959, 0.13971733944339582]","[2037, 0.13896416432906403]","[2079, 0.13890678049743738]","[2245, 0.13859520469683928]","[2267, 0.13751848580582957]","[2357, 0.1374604984670734]","[2488, 0.13737056112236654]","[2488, 0.13665121907177127]","[2510, 0.1362841672258491]","[2510, 0.13555906036547533]","[2593, 0.13432065281465144]","[2611, 0.13320938760434076]","[2703, 0.1311002025658832]","[2721, 0.13034626087288806]","[2763, 0.12996140306331327]","[2783, 0.1297641031530061]","[2783, 0.12920081616194362]","[2910, 0.12572808598276738]","[2929, 0.1249417312814959]","[2974, 0.12454017335084897]","[2995, 0.12433427105660991]","[2995, 0.12374627020232526]","[3114, 0.12368182602741208]","[3276, 0.12332677359566135]","[3664, 0.12326211009877955]","[6108, 0.11984610558736185]","[6133, 0.11851710728809019]","[6133, 0.1184361125577628]","[6669, 0.11707689359127951]","[6669, 0.1169949018156012]","[19967, 0.11179039714468741]","[19967, 0.1117045251170485]","[20240, 0.11134455438037971]","[20240, 0.11125833824043803]","[20512, 0.10525155004298181]","[20512, 0.10516033864679539]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[0, 0.6414838356391045]","[252, 0.4404147600377076]","[252, 0.4144202492881732]","[252, 0.4085830212967216]","[252, 0.4084625524280392]","[267, 0.40783597653548703]","[267, 0.40190313015519047]","[267, 0.40178065841029653]","[322, 0.40108417662154755]","[336, 0.3950499449538886]","[351, 0.3949253479483709]","[384, 0.3942772596444886]","[398, 0.3881372176752097]","[413, 0.3880104008769927]","[490, 0.3864909404725538]","[490, 0.3859481747474456]","[504, 0.385820638425365]","[537, 0.3857011090625177]","[537, 0.38515723030417315]","[551, 0.3794223079945904]","[551, 0.3788694159304331]","[564, 0.3787394959223806]","[670, 0.3780399900987387]","[748, 0.37621080077089203]","[748, 0.3747604838151262]","[783, 0.37383262780677345]","[836, 0.36894526335658323]","[836, 0.3674662718752977]","[869, 0.36651995082055266]","[945, 0.3658173599403476]","[956, 0.3657748732738012]","[956, 0.3643256708583647]","[1006, 0.3633711708844933]","[1102, 0.35918260249638057]","[1102, 0.35766324321733783]","[1133, 0.35669091512444595]","[1200, 0.35596892479055]","[1210, 0.35443578971262457]","[1873, 0.354065775463828]","[1882, 0.3525243636509021]","[1907, 0.3523190188800787]","[2774, 0.3488163748801197]","[2774, 0.34728335700974816]","[2787, 0.347074911442916]","[2862, 0.3455062906301063]","[2873, 0.34395852008116834]","[2896, 0.34374805837062594]","[3022, 0.34364053548157153]","[3049, 0.3410972484951884]","[3095, 0.3392860112965118]","[3095, 0.3392237449719748]","[3105, 0.3357336841476131]","[3105, 0.33567075887339953]","[3126, 0.33308068114321604]","[3126, 0.3330666204643915]","[3193, 0.3311394425933389]","[3203, 0.3310756441243328]","[3227, 0.3274987628234032]","[3236, 0.3274342549920127]","[3269, 0.3264033342391389]","[3278, 0.3247640784432624]","[3344, 0.3228612258813528]","[3353, 0.3227957912813062]","[3376, 0.31912611987651907]","[3384, 0.31905991926087657]","[3416, 0.31800185115657703]","[3424, 0.3163190594695239]","[3496, 0.31149209933157607]","[3501, 0.311424275928045]","[3523, 0.31125968586236835]","[3677, 0.30948280032771763]","[3684, 0.30941453648786543]","[3701, 0.30267700388793195]","[3706, 0.3026072047620311]","[3726, 0.30243781638499334]","[4526, 0.2975088210676608]","[4531, 0.2974378091372784]","[4554, 0.29726547514001217]","[6216, 0.29420935355376465]","[6611, 0.2913800681319471]","[6611, 0.28814930687182744]","[6900, 0.2848599383119831]","[8765, 0.28481760322089206]","[8775, 0.2846447585123691]","[8804, 0.2760244692521264]","[8804, 0.2746774048345412]","[8888, 0.27375658364779887]","[8888, 0.2721175043052173]","[9171, 0.2653206110094372]","[9216, 0.26452934270123385]","[9486, 0.26340832428833155]","[9500, 0.26195758016172427]","[10745, 0.2561570262002708]","[10809, 0.25533736231756593]","[12487, 0.2523908291335114]","[13740, 0.25002754199149785]","[14051, 0.2479972404879817]","[15071, 0.24423443377361886]","[15218, 0.240281433322792]","[18890, 0.23142076025975977]","[24256, 0.2282947681783432]","[25009, 0.2251943494263677]","[25671, 0.22433185705227413]","[25974, 0.2213060570514653]","[25997, 0.21153375991202678]","[26638, 0.19226584446315853]","[26646, 0.19016577202344911]","[26646, 0.1761651089866824]","[26663, 0.1669244853495677]","[26677, 0.1645012149236625]","[26683, 0.1480938029978846]","[30347, 0.14423152943718415]","[30347, 0.1353436068902575]",,,,,,,,,
4,"[0, 0.4869971596650949]","[252, 0.41315562074615086]","[252, 0.38885238756449864]","[252, 0.3846375909073023]","[267, 0.3806323576733209]","[322, 0.37736666384960404]","[336, 0.37302211195764556]","[368, 0.36889078516319684]","[445, 0.36691717896492676]","[445, 0.3666529557948367]","[477, 0.36271632385179153]","[477, 0.3624490382965143]","[580, 0.3609261042807017]","[610, 0.3607647840052551]","[610, 0.3566546903101396]","[660, 0.3529461286648578]","[735, 0.3485212653793352]","[786, 0.3440958991191127]","[861, 0.34025048039625067]","[957, 0.33718078500166465]","[1024, 0.33325558268936406]","[1145, 0.3328461447687752]","[1269, 0.32627848721328445]","[1269, 0.3205224220247858]","[1298, 0.3028907028811884]","[1298, 0.2966812257192993]","[1345, 0.29648495125624874]","[1354, 0.2914698355975853]","[1416, 0.28735607442088934]","[1438, 0.28145900121451933]","[1498, 0.2759602955746576]","[1570, 0.2629110295694593]","[1620, 0.25701580659222245]","[1739, 0.25366453271215506]","[2042, 0.24754920829009655]","[4027, 0.24468955567077072]","[4027, 0.2369549499712469]","[4045, 0.22948550153948769]","[9219, 0.2291466334039766]","[9236, 0.20026371841143956]","[9236, 0.19073601278597932]","[9250, 0.18137302355765964]","[13346, 0.1758538693505614]","[13346, 0.17580860314647234]","[13360, 0.16565183508346176]","[13573, 0.16294453576808568]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"[0, 0.7878514133876264]","[252, 0.4488933296288436]","[252, 0.4207462381897538]","[252, 0.411195555953453]","[252, 0.41065688219601737]","[267, 0.4036290405380954]","[267, 0.39366329604211725]","[267, 0.3931005982058894]","[322, 0.38769891049211935]","[336, 0.37731264686174587]","[351, 0.37672552759389827]","[429, 0.37657683320031704]","[429, 0.3757697160068584]","[443, 0.36587497808434455]","[443, 0.36504419972506774]","[456, 0.3644373161628754]","[562, 0.3643155042495459]","[613, 0.36263090862900293]","[692, 0.36006846372791007]","[692, 0.35501126566255403]","[725, 0.3484000541319951]","[725, 0.34658307729557974]","[800, 0.3448118598948841]","[901, 0.3428303732952079]","[932, 0.34194361087528324]","[961, 0.339249807465346]","[961, 0.3331850292836886]","[1657, 0.32966033136449885]","[1689, 0.3282451865361037]","[2519, 0.3250344247220128]","[2638, 0.32226662952608054]","[2638, 0.3219646272463386]","[2770, 0.31720450090732055]","[2964, 0.31573353291127093]","[5368, 0.2779260686620454]","[5368, 0.2771284707514268]","[5379, 0.2559186275879976]","[5389, 0.2550522174097074]","[5414, 0.24868304234878172]","[5414, 0.2451520448355525]","[5414, 0.2440406816103397]","[5437, 0.24313194759209172]","[5482, 0.23489527038364114]","[5482, 0.23115375312508052]","[5482, 0.22997475247860819]","[5563, 0.22311649241849518]","[5563, 0.22189479124783182]","[5573, 0.22080836979070553]","[5573, 0.2179301904696218]","[5783, 0.2172996202509809]","[5829, 0.21589787661280058]","[6105, 0.20753650799565512]","[6119, 0.20669371217587465]","[6214, 0.20653989838273965]","[6804, 0.20605885843167393]","[6813, 0.2002666261902346]","[7023, 0.194382436768302]","[7469, 0.1895923136846246]","[7634, 0.18798407797732403]","[9281, 0.1790828085504963]","[12185, 0.1776412740378287]","[12189, 0.17405072246411285]","[15028, 0.17319659049200684]","[15036, 0.15520183157571457]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"[0, 0.466397107714809]","[252, 0.38210663310776144]","[252, 0.352707522411646]","[252, 0.3462280489302782]","[252, 0.34611552252827077]","[267, 0.33619829236776]","[267, 0.3293942277747186]","[267, 0.3292759486513614]","[321, 0.32746415970993775]","[337, 0.32734518319884653]","[370, 0.3168409787566412]","[384, 0.30961180746181455]","[399, 0.30948596799971806]","[477, 0.3030694688029725]","[477, 0.3020596874614553]","[491, 0.29550358444665487]","[491, 0.2944678595188572]","[504, 0.2943355455234182]","[602, 0.29371363679480433]","[731, 0.28879217841093213]","[747, 0.28865726282268117]","[848, 0.2880230936243559]","[1006, 0.2860186940703059]","[1006, 0.28569104197914297]","[1006, 0.2787434759014797]","[1017, 0.27718480643254967]","[1033, 0.2705306223734016]","[1165, 0.2704980422441984]","[1196, 0.2703539974309515]","[1330, 0.2696767898940452]","[1532, 0.2635488343522797]","[1573, 0.2634009892870491]","[1629, 0.21933711701087616]","[1629, 0.2191594487298998]","[1640, 0.19289181766330507]","[1650, 0.19268976721768208]","[1675, 0.19218082177584528]","[1675, 0.1891427669347845]","[1695, 0.1889367072664732]","[1732, 0.18832866199044507]","[1741, 0.18812171059200497]","[1768, 0.17049607529606528]","[1768, 0.1567359797555183]","[1791, 0.1564872532153115]","[1833, 0.15586013693984657]","[1844, 0.15209832448851868]","[2026, 0.14328924869790863]","[2072, 0.14114092482766022]","[3662, 0.1116109186800725]","[4619, 0.04735918600459817]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[0, 0.5974679773883267]","[252, 0.43999005526955176]","[252, 0.413847861933052]","[252, 0.4085636067962871]","[252, 0.40851666639166995]","[267, 0.4080032909532743]","[267, 0.4026423393044189]","[267, 0.40259470851205514]","[322, 0.39808067215597037]","[336, 0.3925842451194161]","[351, 0.39253539386576797]","[384, 0.39200108947079837]","[398, 0.3864181958941963]","[413, 0.3863685650250255]","[491, 0.3861791771970224]","[505, 0.38133585712509727]","[505, 0.3805108735271593]","[518, 0.3804604720516622]","[551, 0.3799091858625071]","[565, 0.3749848910709288]","[565, 0.37414590399274117]","[578, 0.37409464497091827]","[689, 0.37400477994402787]","[769, 0.3732501628277664]","[781, 0.3724494560088562]","[834, 0.3722910570630893]","[930, 0.36886871791608844]","[930, 0.3680584794396097]","[961, 0.367898189959202]","[1011, 0.36747267300515074]","[1011, 0.3674364011876187]","[1040, 0.3622992736111991]","[1040, 0.361474310137721]","[1069, 0.36131109971519115]","[1136, 0.3605299147191176]","[1146, 0.35970089329568394]","[1814, 0.35890518037093205]","[1814, 0.3580723973268954]","[1827, 0.35742109956926776]","[1827, 0.3565848505582412]","[1857, 0.35641940117718435]","[1917, 0.3562820476470878]","[1943, 0.35562747105008086]","[1951, 0.35478699440060496]","[2582, 0.35065512505653346]","[2598, 0.3444159657889807]","[2635, 0.34373776244479864]","[2651, 0.337370701295326]","[2740, 0.3318346438257088]","[2751, 0.33098787493082915]","[2767, 0.3252346408439271]","[2805, 0.3245163531242744]","[2816, 0.323650437900785]","[2832, 0.31776438473658747]","[2939, 0.31752071860868]","[2939, 0.3174787398518692]","[2962, 0.31659357663449517]","[2994, 0.31322051509952453]","[2994, 0.3122806063457366]","[3006, 0.31151886780646953]","[3006, 0.3105738092947859]","[3059, 0.30986455000195856]","[3059, 0.3098215338869694]","[3082, 0.30891443049551065]","[3114, 0.305456582317938]","[3114, 0.30449270878266466]","[3126, 0.30371143804863254]","[3126, 0.30274200835367693]","[3197, 0.3023852930451088]","[3223, 0.30159856324216805]","[3231, 0.3006223201463748]","[3347, 0.2986088110587142]","[3354, 0.2985641732593801]","[3373, 0.29682340871654983]","[3378, 0.2967785023789127]","[3403, 0.29561644588945024]","[3824, 0.2937531142534465]","[3824, 0.2935516968263882]","[3916, 0.29253348398396495]","[4142, 0.2919380174862663]","[4142, 0.2917353468982887]","[4208, 0.2907107723700823]","[4594, 0.2892401670512544]","[4690, 0.2873965694924883]","[4956, 0.2854601981638458]","[4956, 0.28525292515905154]","[5041, 0.2842049821061207]","[5253, 0.28359202854797466]","[5253, 0.283383389125066]","[5316, 0.28232850683937943]","[7522, 0.27200882267863147]","[7522, 0.27107674725286157]","[7609, 0.2688499988598831]","[7609, 0.2678038186883223]","[7892, 0.2566025771719321]","[7937, 0.25537496266146875]","[8176, 0.2540738680163555]","[8190, 0.2532002907775341]","[8304, 0.2530678027245037]","[8828, 0.2514014730438088]","[8893, 0.2501483351766829]","[10314, 0.24840581779106632]","[10498, 0.24749449716467414]","[10508, 0.24659761346742642]","[10554, 0.24603331387011435]","[11017, 0.2430293569710622]","[11986, 0.24086077764939293]","[11998, 0.22535394861855812]","[12023, 0.2214061529425769]","[12023, 0.22026004596160506]","[12063, 0.212631331010886]","[12091, 0.1961855437828939]","[12091, 0.19489117700800723]","[12133, 0.19366154545680572]","[12133, 0.19286631480614977]","[12133, 0.19031251477089578]","[12263, 0.17204815304153298]","[12461, 0.16188087684103716]","[12667, 0.15909227178654797]","[13209, 0.153503212748602]","[15568, 0.1407122777244913]","[15591, 0.12823728011669902]"
8,"[0, 0.4379391185334819]","[252, 0.43116712664638923]","[252, 0.42679269245853424]","[267, 0.4117131319992098]","[267, 0.407129726618065]","[322, 0.39946291690084856]","[336, 0.39473729645732214]","[414, 0.392254734779227]","[414, 0.39185007902727964]","[428, 0.38744120611032495]","[428, 0.3870315176690225]","[557, 0.3859693736640979]","[708, 0.36919678585734006]","[708, 0.3377981712047592]","[708, 0.3321965016444053]","[724, 0.3125863343612051]","[724, 0.30652426929180776]","[782, 0.29626531242740956]","[797, 0.2898621165023332]","[886, 0.286472145810894]","[886, 0.2844783990743951]","[902, 0.2798449598634924]","[902, 0.27780365507932464]","[2198, 0.274090767790873]","[3118, 0.25820667319776075]","[3172, 0.2560666944529741]","[3212, 0.25494752017573646]","[3212, 0.2381881714153553]","[3272, 0.16653001002340262]","[3284, 0.13746162094385642]","[3309, 0.13623510770536262]","[3309, 0.12954635035169573]","[3356, 0.0946499664598353]","[3398, 0.09285969787710507]","[3407, 0.08827347157073467]","[3536, 0.05769109426043701]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"[0, 0.6145901217656271]","[252, 0.40871247856827586]","[252, 0.3794987673084753]","[252, 0.3738905994919239]","[252, 0.37388131713130685]","[267, 0.3612818897643617]","[267, 0.35538636703099113]","[267, 0.3553766013441191]","[322, 0.3436153968929391]","[336, 0.3374113320291273]","[351, 0.3374010460758541]","[429, 0.33125706055999354]","[429, 0.3303643720907348]","[443, 0.3248170349144656]","[443, 0.32390659818330875]","[456, 0.3238958833608326]","[554, 0.3216281883822639]","[554, 0.3215994217178206]","[581, 0.3207270669957892]","[594, 0.3155009389351791]","[594, 0.31496198826051147]","[623, 0.3149498994726693]","[690, 0.31439741584402014]","[700, 0.31385657021867913]","[1378, 0.3119159359840581]","[1378, 0.3113707801012259]","[1391, 0.3105761002245628]","[1391, 0.3100285883765118]","[1421, 0.31001630721554396]","[1484, 0.30945501555333654]","[1492, 0.30890551667322275]","[2125, 0.3056629376712248]","[2236, 0.3046155235168893]","[2236, 0.30458515008885134]","[2250, 0.3032434336920672]","[2250, 0.3032129228191548]","[2274, 0.30268671966442734]","[2304, 0.30229157881562146]","[2318, 0.29813884026471815]","[2318, 0.2975725764553037]","[2329, 0.2967368042294008]","[2329, 0.2961678597824791]","[2397, 0.29556323114470084]","[2405, 0.294992023262583]","[2538, 0.2925918212315508]","[2615, 0.2911630758895819]","[5968, 0.23227502417329282]","[5968, 0.23226008216246374]","[5979, 0.21448015081633248]","[5989, 0.21446396901486123]","[6014, 0.2143607926318072]","[6014, 0.20758837165258928]","[6014, 0.2066939678846623]","[6037, 0.2066771764644477]","[6074, 0.20371211050128424]","[6083, 0.20369507327448563]","[6110, 0.19930763392051717]","[6110, 0.1841716804773419]","[6110, 0.18316296624694742]","[6187, 0.18302318576595789]","[6198, 0.17856245245711527]","[6198, 0.17504247814618373]","[9551, 0.17200849884592953]","[9589, 0.1483492756982346]","[10790, 0.14554930172498853]","[10817, 0.11664125838481183]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
