,explainer,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
0,BestCandidate,6,0.9749025171801405,0.9825579225432424,0.9904077565603776,0.9864672234935203,140.6,70.8,14.1,0.9497841615800793,1.0,1.0,0.018960737719511858,1.7527777777777778,
1,GraphMerge,6,0.9749025171801405,0.9825579225432424,0.9904077565603776,0.9864672234935203,140.6,70.8,14.1,0.9497841615800793,1.0,1.0,0.012703185819506684,1.45,
2,BestCandidate,6,0.9857578565361748,0.9980194956230747,0.9865017591600442,0.9922272041533572,135.3,68.15,13.9,0.952036089184848,1.0,1.0,0.01750723774816765,1.59375,
3,GraphMerge,6,0.9857578565361748,0.9980194956230747,0.9865017591600442,0.9922272041533572,135.3,68.15,13.9,0.952036089184848,1.0,1.0,0.012479375798466297,1.3305555555555555,
4,BestCandidate,6,0.9864749826268242,0.9976851535072714,0.9876882353554196,0.9926615257721161,121.3,61.15,14.25,0.9433992129171364,1.0,1.0,0.016695790557878974,1.6097222222222223,
5,GraphMerge,6,0.9864749826268242,0.9976851535072714,0.9876882353554196,0.9926615257721161,121.3,61.15,14.25,0.9433992129171364,1.0,1.0,0.014200493576618263,1.520138888888889,
6,BestCandidate,6,0.9834433634468381,0.991726293194158,0.9902383724106629,0.9909817742888566,129.5,65.25,14.2,0.9633199303523216,1.0,1.0,0.017906957186602894,1.6465277777777778,
7,GraphMerge,6,0.9834433634468381,0.991726293194158,0.9902383724106629,0.9909817742888566,129.5,65.25,14.2,0.9633199303523216,1.0,1.0,0.016482455031437578,1.5194444444444444,
8,BestCandidate,6,0.9779939772990502,0.9901156320346686,0.9859158329083212,0.9880112694067577,145.0,73.0,13.7,0.9423654538614036,1.0,1.0,0.015704656180877304,1.573611111111111,
9,GraphMerge,6,0.9779939772990502,0.9901156320346686,0.9859158329083212,0.9880112694067577,145.0,73.0,13.7,0.9423654538614036,1.0,1.0,0.015301444558185207,1.4097222222222223,
