explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
GraphMerge,1831,367,21,0.9782016348773842,0.88,0.8148148148148148,0.8461538461538461,24.6,12.8,5.0,0.9343802818181227,0.3522449085142583,0.016348773841961872,0.1303831455863369,1.0,1.026003122329712
BestCandidate,1831,367,21,0.9782016348773842,0.88,0.8148148148148148,0.8461538461538461,24.6,12.8,5.0,0.9343802818181227,0.3522449085142583,0.5640326975476839,0.5225315042433124,1.6666666666666667,1.0065457820892334
GraphMerge,1831,367,21,0.989100817438692,1.0,0.8947368421052632,0.9444444444444444,27.2,14.1,5.0,0.8585145732858773,0.37244083058324556,0.019073569482288777,0.03549170494786381,1.0,1.0280036926269531
BestCandidate,1831,367,21,0.989100817438692,1.0,0.8947368421052632,0.9444444444444444,27.2,14.1,5.0,0.8585145732858773,0.37244083058324556,0.9863760217983651,0.24995672038295408,1.2900552486187846,0.9779987335205078
GraphMerge,1831,367,21,0.9918256130790191,0.9705882352941176,0.9428571428571428,0.9565217391304348,27.5,14.25,5.0,0.654510853957846,0.3710713180144499,0.021798365122615793,0.05468421816284779,1.375,1.0220026969909668
BestCandidate,1831,367,21,0.9918256130790191,0.9705882352941176,0.9428571428571428,0.9565217391304348,27.5,14.25,5.0,0.654510853957846,0.3710713180144499,0.9427792915531336,0.2647968206663842,1.2138728323699421,1.0149970054626465
GraphMerge,1831,367,21,0.9863760217983651,1.0,0.8780487804878049,0.9350649350649352,29.2,15.1,5.0,0.8454601425782172,0.37746699053485755,0.03542234332425065,0.10539885948405267,1.3846153846153846,1.0370018482208252
BestCandidate,1831,367,21,0.9863760217983651,1.0,0.8780487804878049,0.9350649350649352,29.2,15.1,5.0,0.8454601425782172,0.37746699053485755,0.8719346049046321,0.31000934406553055,1.43125,1.0429985523223877
GraphMerge,1831,367,21,0.9836512261580381,0.9354838709677419,0.8787878787878788,0.90625,26.4,13.7,5.0,0.8952784557157085,0.3556340726696764,0.10626702997275206,0.1438166994139965,1.0512820512820513,1.030000925064087
BestCandidate,1831,367,21,0.9836512261580381,0.9354838709677419,0.8787878787878788,0.90625,26.4,13.7,5.0,0.8952784557157085,0.3556340726696764,0.9836512261580381,0.27356113251706754,1.3434903047091413,0.9599990844726562
GraphMerge,1831,367,21,0.9809264305177112,1.0,0.825,0.9041095890410958,27.2,14.1,5.0,0.9131860446117915,0.3862186265746637,0.019073569482288777,0.09751146685936933,1.2857142857142858,1.0242788791656494
BestCandidate,1831,367,21,0.9809264305177112,1.0,0.825,0.9041095890410958,27.2,14.1,5.0,0.9131860446117915,0.3862186265746637,0.9591280653950953,0.32860693314674266,1.1903409090909092,0.9790003299713135
GraphMerge,1831,367,21,0.989100817438692,0.9642857142857143,0.9,0.9310344827586207,27.6,14.3,5.0,0.9266558045901652,0.41221700886154206,0.008174386920980936,0.11197820028749417,1.0,1.0180003643035889
BestCandidate,1831,367,21,0.989100817438692,0.9642857142857143,0.9,0.9310344827586207,27.6,14.3,5.0,0.9266558045901652,0.41221700886154206,0.9809264305177112,0.47490795707835115,1.9388888888888889,0.9949984550476074
GraphMerge,1831,367,21,0.9836512261580381,0.972972972972973,0.8780487804878049,0.923076923076923,26.5,13.75,5.0,0.8328208762724028,0.38464040130835786,0.0,,,1.0150039196014404
BestCandidate,1831,367,21,0.9836512261580381,0.972972972972973,0.8780487804878049,0.923076923076923,26.5,13.75,5.0,0.8328208762724028,0.38464040130835786,0.9318801089918256,0.36083703940879264,1.5818713450292399,0.9870007038116455
GraphMerge,1831,367,21,0.9727520435967303,0.9705882352941176,0.7857142857142857,0.8684210526315789,27.7,14.35,5.0,0.8817996810625618,0.4303062825547345,0.04087193460490468,0.04989707690788905,1.0666666666666667,1.0300006866455078
BestCandidate,1831,367,21,0.9727520435967303,0.9705882352941176,0.7857142857142857,0.8684210526315789,27.7,14.35,5.0,0.8817996810625618,0.4303062825547345,0.5531335149863761,0.36061040624588625,1.6945812807881773,1.008000135421753
GraphMerge,1831,367,21,0.9645776566757494,0.8235294117647058,0.8,0.8115942028985507,26.9,13.95,5.0,0.9324704439052841,0.3789075557225712,0.032697547683923744,0.06593688456427582,1.0833333333333333,1.0080556869506836
BestCandidate,1831,367,21,0.9645776566757494,0.8235294117647058,0.8,0.8115942028985507,26.9,13.95,5.0,0.9324704439052841,0.3789075557225712,0.5504087193460491,0.2735564089400003,1.3564356435643565,0.9670000076293945
