explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
GraphMerge,262144,52429,4,1.0,1.0,1.0,1.0,9.8,5.4,3.05,0.02631578947368421,0.5723684210526315,0.33653130900837325,2.8158472790113414,1.0000566764905916,1.75700044631958
BestCandidate,262144,52429,4,1.0,1.0,1.0,1.0,9.8,5.4,3.05,0.02631578947368421,0.5723684210526315,0.9110797459421313,2.3617440825835407,1.5294659492955387,83.63099980354309
GraphMerge,262144,52429,4,1.0,1.0,1.0,1.0,9.6,5.3,2.95,-0.04740173948469443,0.5666666666666667,0.06982776707547345,1.9471331162681773,1.0,2.4230003356933594
BestCandidate,262144,52429,4,1.0,1.0,1.0,1.0,9.6,5.3,2.95,-0.04740173948469443,0.5666666666666667,0.7216044555494097,2.4217027528678337,1.2869188274786563,82.68099999427795
GraphMerge,262144,52429,4,1.0,1.0,1.0,1.0,8.8,4.9,2.8,-0.06842145419244604,0.6342105263157894,0.0984951076694196,0.3201802183782895,1.0,1.7159996032714844
BestCandidate,262144,52429,4,1.0,1.0,1.0,1.0,8.8,4.9,2.8,-0.06842145419244604,0.6342105263157894,0.8844723340136185,2.4567046582699574,1.6777581299059778,79.97169399261475
GraphMerge,262144,52429,4,1.0,1.0,1.0,1.0,7.7,4.35,2.55,-0.08947368421052632,0.549561403508772,1.9073413568770903e-05,0.2320520983610841,1.0,2.624000310897827
BestCandidate,262144,52429,4,1.0,1.0,1.0,1.0,7.7,4.35,2.55,-0.08947368421052632,0.549561403508772,0.8536687710999638,2.4341043496927397,1.5306432513349868,76.9697949886322
GraphMerge,262144,52429,4,1.0,1.0,1.0,1.0,8.8,4.9,2.9,-0.06842105263157895,0.5649122807017545,0.13725228404127487,1.0888266357598486,1.35964424680378,2.1449995040893555
BestCandidate,262144,52429,4,1.0,1.0,1.0,1.0,8.8,4.9,2.9,-0.06842105263157895,0.5649122807017545,0.8787884567701081,2.401996363564703,1.5182966532100535,79.86499786376953
GraphMerge,262144,52429,4,1.0,1.0,1.0,1.0,8.9,4.95,2.9,-0.021052631578947368,0.593421052631579,0.16088424345305075,1.4090707396746858,1.0,1.7250003814697266
BestCandidate,262144,52429,4,1.0,1.0,1.0,1.0,8.9,4.95,2.9,-0.021052631578947368,0.593421052631579,0.737492609052242,2.403894891653876,1.4586458387213572,80.87899994850159
GraphMerge,262144,52429,4,1.0,1.0,1.0,1.0,9.8,5.4,3.0,-0.015789473684210527,0.543859649122807,0.9985313471552004,3.1729548536604395,3.235196363080685,2.8949999809265137
BestCandidate,262144,52429,4,1.0,1.0,1.0,1.0,9.8,5.4,3.0,-0.015789473684210527,0.543859649122807,0.6558393255640962,2.4690182846890716,1.2971935436963793,84.31853246688843
GraphMerge,262144,52429,4,1.0,1.0,1.0,1.0,7.7,4.35,2.65,0.010525111106872412,0.5504385964912281,0.9974250891682084,3.1836600164195104,3.301277393199985,3.447999954223633
BestCandidate,262144,52429,4,1.0,1.0,1.0,1.0,7.7,4.35,2.65,0.010525111106872412,0.5504385964912281,0.7842224722958668,2.3947366689343745,1.4860394980056426,77.228351354599
GraphMerge,262144,52429,4,1.0,1.0,1.0,1.0,9.6,5.3,3.1,-0.08421825612026329,0.6254385964912281,0.00036239485780764635,1.4245309775107518,1.0526315789473684,2.2119994163513184
BestCandidate,262144,52429,4,1.0,1.0,1.0,1.0,9.6,5.3,3.1,-0.08421825612026329,0.6254385964912281,0.8839764252608289,2.377565110025414,1.5047684805592716,81.89899969100952
GraphMerge,262144,52429,4,1.0,1.0,1.0,1.0,7.1,4.05,2.4,-0.005263157894736842,0.6109649122807016,0.7123538499685289,2.348911691523036,1.292063832065974,1.7239999771118164
BestCandidate,262144,52429,4,1.0,1.0,1.0,1.0,7.1,4.05,2.4,-0.005263157894736842,0.6109649122807016,0.9263194033836235,2.310665024579455,1.3390437754807891,75.7170000076294
