explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.3,2.15,1.15,0.0,0.017543859649122806,1.0,1.2606546649955352,16.01957585644372,1.1670033931732178
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.3,2.15,1.15,0.0,0.017543859649122806,0.0,,,0.8830432891845703
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.5,2.25,1.25,0.0,0.022807017543859647,1.0,1.2119969380841542,15.065252854812398,1.1499991416931152
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.5,2.25,1.25,0.0,0.022807017543859647,0.0,,,0.8590006828308105
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,4.0,2.5,1.4,0.0,0.03759398496240601,1.0,1.0509578541299147,12.081566068515498,1.1369998455047607
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,4.0,2.5,1.4,0.0,0.03759398496240601,0.0,,,0.8799991607666016
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.4,2.2,1.2,0.0,0.03070175438596491,1.0,1.1312434396454663,14.02446982055465,1.132000207901001
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.4,2.2,1.2,0.0,0.03070175438596491,0.0,,,0.8499999046325684
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,4.2,2.6,1.5,0.0,0.022543859649122807,1.0,1.1080233410271738,14.986949429037521,1.1489999294281006
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,4.2,2.6,1.5,0.0,0.022543859649122807,0.0,,,0.889000654220581
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.6,2.3,1.3,0.0,0.05350877192982456,1.0,1.0735435542489031,12.045676998368679,1.1192879676818848
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.6,2.3,1.3,0.0,0.05350877192982456,0.0,,,0.8629999160766602
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.4,2.2,1.2,0.0,0.05789473684210526,1.0,1.0144967651817307,12.048939641109298,1.1540026664733887
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.4,2.2,1.2,0.0,0.05789473684210526,0.0,,,0.8499999046325684
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.2,2.1,1.1,0.0,0.07894736842105263,1.0,1.13904760222153,12.0,1.1260027885437012
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.2,2.1,1.1,0.0,0.07894736842105263,0.0,,,0.8580009937286377
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.4,2.2,1.15,0.0,0.028070175438596495,1.0,1.214895090871088,15.0326264274062,1.1530027389526367
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.4,2.2,1.15,0.0,0.028070175438596495,0.0,,,0.8689999580383301
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.1,2.05,1.05,0.0,0.07894736842105263,1.0,1.1273218332861905,12.037520391517129,1.119227409362793
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.1,2.05,1.05,0.0,0.07894736842105263,0.0,,,0.8419983386993408
