,explainer,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
0,BestCandidate,36,0.9978422287564228,0.9978088331320114,1.0,0.9989032149464704,14.3,7.65,4.95,0.9171912348463213,0.09947626848555641,0.0051679586563307955,0.1612287589232199,2.0,
1,GraphMerge,36,0.9978422287564228,0.9978088331320114,1.0,0.9989032149464704,14.3,7.65,4.95,0.9171912348463213,0.09947626848555641,1.0,0.0,0.0,
2,BestCandidate,36,0.9966319165998396,0.9966063653095121,1.0,0.9983002985718911,12.3,6.65,4.25,0.9949250258223308,0.11543566083039766,0.003445305770887197,0.13210018738884796,1.0,
3,GraphMerge,36,0.9966319165998396,0.9966063653095121,1.0,0.9983002985718911,12.3,6.65,4.25,0.9949250258223308,0.11543566083039766,1.0,0.4111603612450728,1.7045650301464255,
4,BestCandidate,36,0.9993020285722771,1.0,0.9992933414724358,0.9996465458505234,13.9,7.45,4.85,0.43994173293327177,0.10156872367398682,0.003445305770887197,0.049440626273194885,1.5,
5,GraphMerge,36,0.9993020285722771,1.0,0.9992933414724358,0.9996465458505234,13.9,7.45,4.85,0.43994173293327177,0.10156872367398682,1.0,0.0,0.0,
6,BestCandidate,36,1.0,1.0,1.0,1.0,15.3,8.15,5.0,0.12034001614909813,0.12546270980481505,0.0051679586563307955,0.31445102051863144,1.5,
7,GraphMerge,36,1.0,1.0,1.0,1.0,15.3,8.15,5.0,0.12034001614909813,0.12546270980481505,1.0,0.4706612615140102,2.7097329888027564,
8,BestCandidate,36,0.9952315186076213,0.9951888860420759,1.0,0.9975886423628452,15.6,8.3,5.0,0.9950548770671694,0.15468765281845778,0.004306632213608941,0.20825047108202543,1.8,
9,GraphMerge,36,0.9952315186076213,0.9951888860420759,1.0,0.9975886423628452,15.6,8.3,5.0,0.9950548770671694,0.15468765281845778,1.0,0.4357253599627451,3.5805340223944877,
