,explainer,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
0,BestCandidate,9,0.9998083021632485,0.9997946760855291,1.0,0.9998973275022051,43.4,22.2,9.35,0.2465693165282984,0.799561403508772,1.0,0.028506444771782723,1.9058044806517311,
1,GraphMerge,9,0.9998083021632485,0.9997946760855291,1.0,0.9998973275022051,43.4,22.2,9.35,0.2465693165282984,0.799561403508772,1.0,0.013735488911583304,1.3627291242362525,
2,BestCandidate,9,0.9996663437132671,0.9998274742160572,0.9998138762397837,0.9998206751816859,32.8,16.9,8.05,0.7649581258777455,0.6853279030910608,1.0,0.026339946822304575,1.6322810590631365,
3,GraphMerge,9,0.9996663437132671,0.9998274742160572,0.9998138762397837,0.9998206751816859,32.8,16.9,8.05,0.7649581258777455,0.6853279030910608,1.0,0.018926963779340344,1.704989816700611,
4,BestCandidate,9,0.9997458686544168,1.0,0.9997259121535924,0.9998629372931851,42.6,21.8,10.4,0.9565452603856238,0.7861006683375104,1.0,0.024548648361156392,1.7020366598778005,
5,GraphMerge,9,0.9997458686544168,1.0,0.9997259121535924,0.9998629372931851,42.6,21.8,10.4,0.9565452603856238,0.7861006683375104,1.0,0.024941078457801396,1.5642566191446028,
6,BestCandidate,9,1.0,1.0,1.0,1.0,38.0,19.5,8.95,0.05730043484099605,0.6939139515455305,1.0,0.02264410923382687,1.5138492871690428,
7,GraphMerge,9,1.0,1.0,1.0,1.0,38.0,19.5,8.95,0.05730043484099605,0.6939139515455305,1.0,0.007395894910901285,1.0265784114052954,
8,BestCandidate,9,0.9998047552762019,0.9997907157709618,1.0,0.9998953469343628,34.8,17.9,8.7,0.5982872030097182,0.7976608187134504,0.9996945010183299,0.024991289789853464,1.5849037384129572,
9,GraphMerge,9,0.9998047552762019,0.9997907157709618,1.0,0.9998953469343628,34.8,17.9,8.7,0.5982872030097182,0.7976608187134504,1.0,0.012001787967417509,1.2228105906313647,
