,explainer,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
0,BestCandidate,6,0.9914451841832522,0.9939582001721128,0.9973378717305625,0.9956451679248286,23.5,12.25,6.0,0.9212379126858861,0.6982456140350878,1.0,0.16599913666726163,2.347019867549669,
1,GraphMerge,6,0.9914451841832522,0.9939582001721128,0.9973378717305625,0.9956451679248286,23.5,12.25,6.0,0.9212379126858861,0.6982456140350878,1.0,0.01640101317995567,0.9933774834437086,
2,BestCandidate,6,0.9963848437472552,0.9968122213859781,0.9994630580296406,0.9981358796963059,20.8,10.9,5.3,0.7721118457757634,0.7046491228070175,1.0,0.10826992607859819,2.471523178807947,
3,GraphMerge,6,0.9963848437472552,0.9968122213859781,0.9994630580296406,0.9981358796963059,20.8,10.9,5.3,0.7721118457757634,0.7046491228070175,1.0,0.0378146632795578,1.0013245033112583,
4,BestCandidate,6,0.993742863667504,0.9948394125531289,0.9987731120857455,0.9968023814268813,25.8,13.4,6.0,0.9877211851381515,0.7669298245614036,0.9390728476821192,0.11473879675987642,2.055007052186178,
5,GraphMerge,6,0.993742863667504,0.9948394125531289,0.9987731120857455,0.9968023814268813,25.8,13.4,6.0,0.9877211851381515,0.7669298245614036,1.0,0.07847949952813671,1.4582781456953642,
6,BestCandidate,6,0.9928258998366328,0.9987747173741472,0.9938963381615139,0.9963295562393949,23.8,12.4,5.85,0.8836151952289261,0.810701754385965,1.0,0.08264507519792284,1.9271523178807948,
7,GraphMerge,6,0.9928258998366328,0.9987747173741472,0.9938963381615139,0.9963295562393949,23.8,12.4,5.85,0.8836151952289261,0.810701754385965,1.0,0.06343668989393511,1.7562913907284767,
8,BestCandidate,6,0.993813129095157,0.9936446412524496,1.0,0.9968121907906528,29.5,15.25,6.4,0.5772011099641717,0.8443859649122807,1.0,0.09501594980979357,2.0490066225165564,
9,GraphMerge,6,0.993813129095157,0.9936446412524496,1.0,0.9968121907906528,29.5,15.25,6.4,0.5772011099641717,0.8443859649122807,1.0,0.04265258016157997,1.1033112582781457,
