explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
GraphMerge,378,76,30,0.9605263157894737,1.0,0.5,0.6666666666666666,10.9,5.95,3.7,0.8421147895283508,0.11701697425381635,0.0,,,1.0429999828338623
BestCandidate,378,76,30,0.9605263157894737,1.0,0.5,0.6666666666666666,10.9,5.95,3.7,0.8421147895283508,0.11701697425381635,0.02631578947368418,0.27513203355239463,1.0,0.13000011444091797
GraphMerge,378,76,30,0.9736842105263158,1.0,0.3333333333333333,0.5,9.2,5.1,3.6,0.5691774445187379,0.1014264828738513,0.0,,,1.0290718078613281
BestCandidate,378,76,30,0.9736842105263158,1.0,0.3333333333333333,0.5,9.2,5.1,3.6,0.5691774445187379,0.1014264828738513,0.0,,,0.12399911880493164
GraphMerge,378,76,30,0.9473684210526315,1.0,0.5,0.6666666666666666,9.2,5.1,3.4,0.9525406125170156,0.08896825396825396,0.868421052631579,0.4557535706071257,5.833333333333333,1.0111255645751953
BestCandidate,378,76,30,0.9473684210526315,1.0,0.5,0.6666666666666666,9.2,5.1,3.4,0.9525406125170156,0.08896825396825396,0.02631578947368418,0.10020677503272901,1.0,0.12400078773498535
GraphMerge,378,76,30,0.9736842105263158,1.0,0.3333333333333333,0.5,8.0,4.5,3.1,0.9430848670810762,0.0895989974937343,0.8421052631578947,0.4925387260781692,6.96875,0.9960017204284668
BestCandidate,378,76,30,0.9736842105263158,1.0,0.3333333333333333,0.5,8.0,4.5,3.1,0.9430848670810762,0.0895989974937343,0.03947368421052633,0.07544149243361127,1.0,0.11800003051757812
GraphMerge,378,76,30,0.9868421052631579,1.0,0.5,0.6666666666666666,11.0,6.0,3.7,0.4128260609242998,0.14260041128462178,0.02631578947368418,0.17166245008517636,2.0,0.9910011291503906
BestCandidate,378,76,30,0.9868421052631579,1.0,0.5,0.6666666666666666,11.0,6.0,3.7,0.4128260609242998,0.14260041128462178,0.21052631578947367,0.3368806743635684,1.0,0.1309983730316162
GraphMerge,378,76,30,0.9473684210526315,1.0,0.2,0.33333333333333337,7.5,4.25,3.1,0.9591190785412382,0.13115914786967417,0.368421052631579,0.5035506724367638,3.4285714285714284,0.9820008277893066
BestCandidate,378,76,30,0.9473684210526315,1.0,0.2,0.33333333333333337,7.5,4.25,3.1,0.9591190785412382,0.13115914786967417,0.03947368421052633,0.358320144980579,1.6666666666666667,0.11999845504760742
GraphMerge,378,76,30,0.9868421052631579,1.0,0.6666666666666666,0.8,12.8,6.9,4.3,0.2988568208097294,0.1406578217104533,0.0,,,0.9939985275268555
BestCandidate,378,76,30,0.9868421052631579,1.0,0.6666666666666666,0.8,12.8,6.9,4.3,0.2988568208097294,0.1406578217104533,0.052631578947368474,0.2822383650079997,1.0,0.1379997730255127
GraphMerge,378,76,30,0.9736842105263158,1.0,0.7142857142857143,0.8333333333333333,10.2,5.6,3.65,0.7650682131676214,0.09465690742006531,0.0,,,0.9870014190673828
BestCandidate,378,76,30,0.9736842105263158,1.0,0.7142857142857143,0.8333333333333333,10.2,5.6,3.65,0.7650682131676214,0.09465690742006531,0.02631578947368418,0.12150959933667102,1.0,0.1269991397857666
GraphMerge,378,76,30,0.9868421052631579,1.0,0.8,0.888888888888889,12.3,6.65,4.3,0.2692259148776497,0.12981119757435547,0.0,,,1.0120010375976562
BestCandidate,378,76,30,0.9868421052631579,1.0,0.8,0.888888888888889,12.3,6.65,4.3,0.2692259148776497,0.12981119757435547,0.09210526315789469,0.20915431361672074,1.8571428571428572,0.13699793815612793
GraphMerge,378,76,30,0.9868421052631579,1.0,0.75,0.8571428571428571,10.9,5.95,4.0,-0.12095263321397622,0.09671261487050961,0.0,,,0.9850006103515625
BestCandidate,378,76,30,0.9868421052631579,1.0,0.75,0.8571428571428571,10.9,5.95,4.0,-0.12095263321397622,0.09671261487050961,0.013157894736842146,0.016309129081953175,2.0,0.13100123405456543
