explainer,n_samplesn_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,n_features,n_samples
BestCandidate,,0.982658675,0.99810835,0.983098536,0.990546585,130.5,65.75,13.95,0.950875478,1,1,0.015965609,1.55625,20.93870831,6,7200
GraphMerge,,0.982658675,0.99810835,0.983098536,0.990546585,130.5,65.75,13.95,0.950875478,1,1,0.010431064,1.352777778,1.904999971,6,7200
BestCandidate,,0.973770365,0.987017876,0.984448786,0.985731657,151.6,76.3,13.95,0.932244743,1,1,0.016188925,1.590972222,22.28747296,6,7200
GraphMerge,,0.973770365,0.987017876,0.984448786,0.985731657,151.6,76.3,13.95,0.932244743,1,1,0.012693023,1.474305556,2.058002234,6,7200
BestCandidate,,0.979280557,0.99121942,0.986066555,0.988636273,123.3,62.15,14.8,0.962323951,1,1,0.018754378,1.684722222,19.93365836,6,7200
GraphMerge,,0.979280557,0.99121942,0.986066555,0.988636273,123.3,62.15,14.8,0.962323951,1,1,0.011166648,1.430555556,1.872999191,6,7200
BestCandidate,,0.978375222,0.987042262,0.989398274,0.988218864,136.8,68.9,13.85,0.958026985,1,1,0.01745722,1.588888889,21.66600084,6,7200
GraphMerge,,0.978375222,0.987042262,0.989398274,0.988218864,136.8,68.9,13.85,0.958026985,1,1,0.012381677,1.468055556,1.985997915,6,7200
BestCandidate,,0.984341943,0.995362966,0.987629174,0.991480989,138.2,69.6,14.4,0.946988225,1,1,0.016529969,1.578472222,22.370682,6,7200
GraphMerge,,0.984341943,0.995362966,0.987629174,0.991480989,138.2,69.6,14.4,0.946988225,1,1,0.013403567,1.383333333,2.05499959,6,7200
