explainer,n_samplesn_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,n_features,n_samples
BestCandidate,,1,1,1,1,3.4,2.2,1.2,0,0.028947368,0,,,0.850000143,166,3062
GraphMerge,,1,1,1,1,3.4,2.2,1.2,0,0.028947368,1,0.962286223,11.03099511,1.055001974,166,3062
BestCandidate,,1,1,1,1,3.3,2.15,1.15,0.015789474,0.042105263,0,,,0.8468256,166,3062
GraphMerge,,1,1,1,1,3.3,2.15,1.15,0.015789474,0.042105263,1,1.080875852,10.99836868,1.092998981,166,3062
BestCandidate,,1,1,1,1,3.8,2.4,1.35,0,0.035263158,0,,,0.849000216,166,3062
GraphMerge,,1,1,1,1,3.8,2.4,1.35,0,0.035263158,1,1.051163674,11.47634584,1.064001322,166,3062
BestCandidate,,1,1,1,1,3.1,2.05,1.05,0,0.042105263,0,,,0.819000244,166,3062
GraphMerge,,1,1,1,1,3.1,2.05,1.05,0,0.042105263,1,1.084115134,11,1.047000647,166,3062
BestCandidate,,1,1,1,1,3.2,2.1,1.1,0,0.078947368,0,,,0.820999861,166,3062
GraphMerge,,1,1,1,1,3.2,2.1,1.1,0,0.078947368,1,0.994992786,11.02446982,1.042003155,166,3062
