explainer,n_samplesn_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,n_features,n_samples
BestCandidate,,0.996938249,0.996860433,1,0.998427748,31.4,16.2,6.35,0.98697835,0.520014109,0.323144105,0.942617843,2.61036036,3.893999338,16,6870
GraphMerge,,0.996938249,0.996860433,1,0.998427748,31.4,16.2,6.35,0.98697835,0.520014109,1,0.52126602,2.03930131,0.976999521,16,6870
BestCandidate,,0.998631329,0.998598642,1,0.99929883,31.1,16.05,6.75,0.942507416,0.505056252,0.298398836,0.647891328,2.556097561,3.943000078,16,6870
GraphMerge,,0.998631329,0.998598642,1,0.99929883,31.1,16.05,6.75,0.942507416,0.505056252,1,0.388275238,1.726346434,1.07599926,16,6870
BestCandidate,,0.997317787,0.997259012,1,0.998627625,35.9,18.45,6.85,0.970085473,0.552235681,0.292576419,0.765939857,2.731343284,4.45299983,16,6870
GraphMerge,,0.997317787,0.997259012,1,0.998627625,35.9,18.45,6.85,0.970085473,0.552235681,1,0.465529527,1.820232897,1.109049082,16,6870
BestCandidate,,1,1,1,1,32,16.5,6.7,0.232982727,0.52731777,0.30349345,0.796329165,3.052757794,4.113862038,16,6870
GraphMerge,,1,1,1,1,32,16.5,6.7,0.232982727,0.52731777,1,0.512530904,1.452692868,1.107991934,16,6870
BestCandidate,,0.998203023,0.999122961,0.999044092,0.999083525,33.7,17.35,6.4,0.564487808,0.537305983,0.049490539,0.506189379,2.102941176,4.23500061,16,6870
GraphMerge,,0.998203023,0.999122961,0.999044092,0.999083525,33.7,17.35,6.4,0.564487808,0.537305983,1,0.48506936,2.180494905,1.102999926,16,6870
