explainer,n_samplesn_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,n_features,n_samples
BestCandidate,,0.99835754,0.999027265,0.999319932,0.999173577,14.9,7.95,4.7,0.995891403,0.149602334,0.005167959,0.158699979,1.666666667,2.277106285,36,5803
GraphMerge,,0.99835754,0.999027265,0.999319932,0.999173577,14.9,7.95,4.7,0.995891403,0.149602334,1,0.220420324,1.37037037,1.162045956,36,5803
BestCandidate,,0.99803974,0.998671397,0.999339776,0.999005474,17.4,9.2,5.85,0.989193109,0.151461408,0.006890612,0.178292979,2.375,2.484481812,36,5803
GraphMerge,,0.99803974,0.998671397,0.999339776,0.999005474,17.4,9.2,5.85,0.989193109,0.151461408,1,0,0,1.071986675,36,5803
BestCandidate,,1,1,1,1,16.9,8.95,5.8,-0.27922873,0.144705275,0.000861326,0.261669085,3,2.37996459,36,5803
GraphMerge,,1,1,1,1,16.9,8.95,5.8,-0.27922873,0.144705275,1,0.32046814,2.920757967,1.048989058,36,5803
BestCandidate,,0.997929846,0.997908119,1,0.998952965,16,8.5,5.7,0.697861523,0.129904459,0.005167959,0.198527126,1,2.254971027,36,5803
GraphMerge,,0.997929846,0.997908119,1,0.998952965,16,8.5,5.7,0.697861523,0.129904459,1,0.298490302,3.39707149,1.048983812,36,5803
BestCandidate,,0.997849654,0.997834303,1,0.998915978,14.4,7.7,4.8,0.993588868,0.108598317,0.002583979,0.307996251,1.666666667,2.279966116,36,5803
GraphMerge,,0.997849654,0.997834303,1,0.998915978,14.4,7.7,4.8,0.993588868,0.108598317,1,0,0,1.062979698,36,5803
