explainer,n_samplesn_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,n_features,n_samples
BestCandidate,,0.999798657,0.999783113,1,0.999891545,36.7,18.85,8.35,0.293245274,0.740799916,1,0.026577335,1.726578411,36.92967057,9,49097
GraphMerge,,0.999798657,0.999783113,1,0.999891545,36.7,18.85,8.35,0.293245274,0.740799916,1,0.019622574,1.092158859,1.921000242,9,49097
BestCandidate,,0.999836428,1,0.999823692,0.999911838,41,21,9.85,0.467458626,0.790987886,1,0.028791369,1.596741344,41.4661324,9,49097
GraphMerge,,0.999836428,1,0.999823692,0.999911838,41,21,9.85,0.467458626,0.790987886,1,0.012866596,1.117718941,2.223991871,9,49097
BestCandidate,,0.999576468,0.999703685,0.999839758,0.999771717,33.6,17.3,8.15,0.852031927,0.711309524,1,0.022872698,1.372810591,33.91161323,9,49097
GraphMerge,,0.999576468,0.999703685,0.999839758,0.999771717,33.6,17.3,8.15,0.852031927,0.711309524,1,0.020765557,1.252545825,1.632553339,9,49097
BestCandidate,,0.999952625,1,0.999948835,0.999974417,47.9,24.45,10.35,0.020494661,0.812573099,1,0.027189569,1.591242363,47.98975301,9,49097
GraphMerge,,0.999952625,1,0.999948835,0.999974417,47.9,24.45,10.35,0.020494661,0.812573099,1,0.017534784,1.478818737,2.436821699,9,49097
BestCandidate,,0.999895958,1,0.999887895,0.999943944,36.3,18.65,9.25,0.173503072,0.773506683,0.999898167,0.025161755,1.509420511,38.31147265,9,49097
GraphMerge,,0.999895958,1,0.999887895,0.999943944,36.3,18.65,9.25,0.173503072,0.773506683,1,0.010702089,1.379633401,1.901999235,9,49097
