explainer,n_samplesn_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,n_features,n_samples
BestCandidate,,0.992154865,0.992035382,1,0.996001769,23.9,12.45,5.9,0.98865488,0.814210526,1,0.100425724,2.140397351,1.941004753,6,3772
GraphMerge,,0.992154865,0.992035382,1,0.996001769,23.9,12.45,5.9,0.98865488,0.814210526,1,0.078325641,1.908609272,1.0049963,6,3772
BestCandidate,,0.99453335,0.994451814,1,0.99721819,33.9,17.45,6.9,0.967912503,0.872631579,1,0.127605527,2.157615894,2.386000156,6,3772
GraphMerge,,0.99453335,0.994451814,1,0.99721819,33.9,17.45,6.9,0.967912503,0.872631579,1,0.074546716,1.728476821,1.012999535,6,3772
BestCandidate,,0.997902577,0.997990489,0.999874616,0.998931664,22.5,11.75,5.7,0.569581057,0.720438596,1,0.095299421,1.97615894,1.801998138,6,3772
GraphMerge,,0.997902577,0.997990489,0.999874616,0.998931664,22.5,11.75,5.7,0.569581057,0.720438596,1,0.034654303,1.054304636,1.005999088,6,3772
BestCandidate,,0.995116553,0.99626495,0.998710888,0.997486419,20.1,10.55,5.75,0.990298203,0.663157895,1,0.101620735,2.141721854,1.712000132,6,3772
GraphMerge,,0.995116553,0.99626495,0.998710888,0.997486419,20.1,10.55,5.75,0.990298203,0.663157895,1,0.081360002,1.859602649,1.044124842,6,3772
BestCandidate,,0.99526411,0.995857552,0.999288554,0.997570103,27.7,14.35,5.95,0.719749416,0.79122807,1,0.098048642,2.194701987,2.05901289,6,3772
GraphMerge,,0.99526411,0.995857552,0.999288554,0.997570103,27.7,14.35,5.95,0.719749416,0.79122807,1,0.101331732,2.038410596,1.06099987,6,3772
