explainer,n_samplesn_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,n_features,n_samples
BestCandidate,,0.993333333,0.993333333,1,0.996655518,9.9,5.45,3.55,-0.306123061,0.124785828,0,,,0.128000736,30,378
GraphMerge,,0.993333333,0.993333333,1,0.996655518,9.9,5.45,3.55,-0.306123061,0.124785828,1,0.286625239,2.644736842,0.954998732,30,378
BestCandidate,,0.937192982,0.937192982,1,0.967578337,9.8,5.4,3.7,0.642687759,0.100880041,0,,,0.124001265,30,378
GraphMerge,,0.937192982,0.937192982,1,0.967578337,9.8,5.4,3.7,0.642687759,0.100880041,1,0,0,1.000999212,30,378
BestCandidate,,0.961403509,0.961403509,1,0.980322004,12,6.5,4,-0.127272334,0.121283804,0,,,0.133000374,30,378
GraphMerge,,0.961403509,0.961403509,1,0.980322004,12,6.5,4,-0.127272334,0.121283804,1,0,0,0.959998131,30,378
BestCandidate,,0.981052632,0.981052632,1,0.990435707,8.9,4.95,3.45,0.947555121,0.086023582,0,,,0.120999813,30,378
GraphMerge,,0.981052632,0.981052632,1,0.990435707,8.9,4.95,3.45,0.947555121,0.086023582,1,0.328257814,2.776315789,0.940001965,30,378
BestCandidate,,0.978596491,0.978596491,1,0.989182479,10.8,5.9,3.7,0.784858383,0.099503976,0,,,0.128999472,30,378
GraphMerge,,0.978596491,0.978596491,1,0.989182479,10.8,5.9,3.7,0.784858383,0.099503976,1,0.30107821,3.473684211,0.968999386,30,378
