explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
GraphMerge,7200,1440,6,0.9791666666666666,0.8245614035087719,0.9038461538461539,0.8623853211009175,33.4,17.2,5.0,0.9533018727050008,0.938245614035088,0.0,,,1.2160015106201172
BestCandidate,7200,1440,6,0.9791666666666666,0.8245614035087719,0.9038461538461539,0.8623853211009175,33.4,17.2,5.0,0.9533018727050008,0.938245614035088,1.0,0.022406790114721787,1.6756944444444444,4.288000583648682
GraphMerge,7200,1440,6,0.9798611111111111,0.853448275862069,0.8918918918918919,0.8722466960352423,33.2,17.1,5.0,0.9495696886603481,0.8447368421052631,0.0,,,1.1409053802490234
BestCandidate,7200,1440,6,0.9798611111111111,0.853448275862069,0.8918918918918919,0.8722466960352423,33.2,17.1,5.0,0.9495696886603481,0.8447368421052631,1.0,0.02097890334213913,1.7013888888888888,4.503425598144531
GraphMerge,7200,1440,6,0.9805555555555555,0.8181818181818182,0.9642857142857143,0.8852459016393442,28.0,14.5,5.0,0.9615297221113851,0.7936842105263159,0.0,,,1.1304471492767334
BestCandidate,7200,1440,6,0.9805555555555555,0.8181818181818182,0.9642857142857143,0.8852459016393442,28.0,14.5,5.0,0.9615297221113851,0.7936842105263159,1.0,0.018714712916074003,1.5215277777777778,4.063601732254028
GraphMerge,7200,1440,6,0.98125,0.8931297709923665,0.9,0.8965517241379312,30.5,15.75,5.0,0.9330312693457516,0.8466666666666667,0.0,,,1.2654852867126465
BestCandidate,7200,1440,6,0.98125,0.8931297709923665,0.9,0.8965517241379312,30.5,15.75,5.0,0.9330312693457516,0.8466666666666667,1.0,0.022606907005695388,1.6701388888888888,4.139427661895752
GraphMerge,7200,1440,6,0.9847222222222223,0.8832116788321168,0.952755905511811,0.9166666666666666,34.4,17.7,5.0,0.9497922555316445,0.8915789473684209,0.0,,,1.1900029182434082
BestCandidate,7200,1440,6,0.9847222222222223,0.8832116788321168,0.952755905511811,0.9166666666666666,34.4,17.7,5.0,0.9497922555316445,0.8915789473684209,1.0,0.02089814130548843,1.5597222222222222,4.782969236373901
GraphMerge,7200,1440,6,0.9861111111111112,0.8512396694214877,0.9809523809523809,0.911504424778761,31.7,16.35,5.0,0.940362550433254,0.8719298245614034,0.0,,,1.212001085281372
BestCandidate,7200,1440,6,0.9861111111111112,0.8512396694214877,0.9809523809523809,0.911504424778761,31.7,16.35,5.0,0.940362550433254,0.8719298245614034,1.0,0.015819049633177724,1.4826388888888888,4.291999578475952
GraphMerge,7200,1440,6,0.98125,0.8899082568807339,0.8660714285714286,0.8778280542986426,28.5,14.75,5.0,0.9543645026519624,0.7921052631578948,0.0,,,1.0640029907226562
BestCandidate,7200,1440,6,0.98125,0.8899082568807339,0.8660714285714286,0.8778280542986426,28.5,14.75,5.0,0.9543645026519624,0.7921052631578948,1.0,0.031957812729897464,1.823611111111111,4.045448064804077
GraphMerge,7200,1440,6,0.9791666666666666,0.8015873015873016,0.9528301886792453,0.8706896551724137,29.2,15.1,5.0,0.925539584828217,0.8518421052631581,0.0,,,1.084001064300537
BestCandidate,7200,1440,6,0.9791666666666666,0.8015873015873016,0.9528301886792453,0.8706896551724137,29.2,15.1,5.0,0.925539584828217,0.8518421052631581,1.0,0.021431557768892124,1.4326388888888888,3.8962349891662598
GraphMerge,7200,1440,6,0.98125,0.82,1.0,0.9010989010989011,28.5,14.75,5.0,0.9618146586548236,0.8085964912280701,0.0,,,1.0600042343139648
BestCandidate,7200,1440,6,0.98125,0.82,1.0,0.9010989010989011,28.5,14.75,5.0,0.9618146586548236,0.8085964912280701,1.0,0.016677223527185633,1.3965277777777778,4.060636043548584
GraphMerge,7200,1440,6,0.9798611111111111,0.7983193277310925,0.95,0.867579908675799,35.6,18.3,5.0,0.9441834124547582,0.9035087719298245,0.0,,,1.1510009765625
BestCandidate,7200,1440,6,0.9798611111111111,0.7983193277310925,0.95,0.867579908675799,35.6,18.3,5.0,0.9441834124547582,0.9035087719298245,1.0,0.018353950815749323,1.5159722222222223,4.546264410018921
