explainer,n_samples,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
BestCandidate,1831,21,0.9854528669912598,0.9838794838794839,1.0,0.9918742462677257,47.7,24.35,9.9,0.7783464743377951,0.536702540665389,0.5885558583106267,0.37292547057604425,2.4953703703703702,1.890000343322754
GraphMerge,1831,21,0.9854528669912598,0.9838794838794839,1.0,0.9918742462677257,47.7,24.35,9.9,0.7783464743377951,0.536702540665389,1.0,0.2058886785586204,1.7602179836512262,1.6619985103607178
BestCandidate,1831,21,0.9745239052426259,0.9786138021568986,0.9928518443590262,0.985681409263986,47.8,24.4,10.1,0.8184708437580888,0.5676650346195726,0.9700272479564033,0.408930015332684,1.550561797752809,1.8439991474151611
GraphMerge,1831,21,0.9745239052426259,0.9786138021568986,0.9928518443590262,0.985681409263986,47.8,24.4,10.1,0.8184708437580888,0.5676650346195726,1.0,0.1387369368443711,1.2643051771117166,1.6469988822937012
BestCandidate,1831,21,0.9783505308140141,0.981193182729153,0.9954293335935848,0.9882599919257167,44.9,22.95,8.65,0.9180735424619825,0.5779018145009265,0.9700272479564033,0.4689683865018356,1.396067415730337,1.6839995384216309
GraphMerge,1831,21,0.9783505308140141,0.981193182729153,0.9954293335935848,0.9882599919257167,44.9,22.95,8.65,0.9180735424619825,0.5779018145009265,1.0,0.1550231516926891,1.673024523160763,1.6469991207122803
BestCandidate,1831,21,0.9866291448906359,0.9933722425561381,0.9918351221439389,0.9926030872638012,44.3,22.65,8.65,0.8126794056551567,0.5486606283610113,0.9918256130790191,0.37389939382395604,1.9862637362637363,1.690000057220459
GraphMerge,1831,21,0.9866291448906359,0.9933722425561381,0.9918351221439389,0.9926030872638012,44.3,22.65,8.65,0.8126794056551567,0.5486606283610113,1.0,0.14670794083257438,1.2915531335149864,1.6439995765686035
BestCandidate,1831,21,0.9828025193192478,0.9937964437367304,0.9871323832276134,0.9904532041691808,47.5,24.25,9.35,0.8730921301394029,0.6049898675998562,0.997275204359673,0.4500222562124576,2.0081967213114753,1.8409993648529053
GraphMerge,1831,21,0.9828025193192478,0.9937964437367304,0.9871323832276134,0.9904532041691808,47.5,24.25,9.35,0.8730921301394029,0.6049898675998562,1.0,0.12197098688213398,1.651226158038147,1.6549999713897705
