explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
GraphMerge,567498,113500,3,0.9999647577092511,0.9977324263038548,0.9932279909706546,0.995475113122172,19.1,10.05,4.9,0.9999753306129263,0.9035087719298247,0.0,,,5.108769178390503
BestCandidate,567498,113500,3,0.9999647577092511,0.9977324263038548,0.9932279909706546,0.995475113122172,19.1,10.05,4.9,0.9999753306129263,0.9035087719298247,1.0,0.31561076092627194,1.005647577092511,217.37176084518433
GraphMerge,567498,113500,3,1.0,1.0,1.0,1.0,23.0,12.0,4.95,0.052591698810366246,0.9333333333333333,0.0,,,9.831418991088867
BestCandidate,567498,113500,3,1.0,1.0,1.0,1.0,23.0,12.0,4.95,0.052591698810366246,0.9333333333333333,1.0,0.12323717050427191,1.934079295154185,277.4416286945343
GraphMerge,567498,113500,3,0.9999911894273128,1.0,0.9977116704805492,0.9988545246277205,28.1,14.55,5.0,0.39470024215810995,1.0,0.0,,,8.157999753952026
BestCandidate,567498,113500,3,0.9999911894273128,1.0,0.9977116704805492,0.9988545246277205,28.1,14.55,5.0,0.39470024215810995,1.0,1.0,0.33104478993112607,1.5990308370044053,279.6042420864105
GraphMerge,567498,113500,3,0.9999823788546256,1.0,0.9951338199513382,0.9975609756097561,21.9,11.45,5.0,0.7999920392079924,0.9666666666666666,0.0,,,7.700999736785889
BestCandidate,567498,113500,3,0.9999823788546256,1.0,0.9951338199513382,0.9975609756097561,21.9,11.45,5.0,0.7999920392079924,0.9666666666666666,1.0,0.3122563680886412,1.0069515418502202,260.7772898674011
GraphMerge,567498,113500,3,0.9999823788546256,0.9976019184652278,0.9976019184652278,0.9976019184652278,18.9,9.95,4.9,0.9999974958530213,0.8771929824561404,0.0,,,3.5290000438690186
BestCandidate,567498,113500,3,0.9999823788546256,0.9976019184652278,0.9976019184652278,0.9976019184652278,18.9,9.95,4.9,0.9999974958530213,0.8771929824561404,1.0,0.31470682689716456,1.3864405286343613,218.16498923301697
GraphMerge,567498,113500,3,0.9999735682819383,1.0,0.9936974789915967,0.9968387776606955,23.6,12.3,4.9,0.999971339024375,0.9666666666666668,0.0,,,8.980998754501343
BestCandidate,567498,113500,3,0.9999735682819383,1.0,0.9936974789915967,0.9968387776606955,23.6,12.3,4.9,0.999971339024375,0.9666666666666668,1.0,0.30838400574023456,1.5319295154185022,277.2948718070984
GraphMerge,567498,113500,3,0.9999735682819383,1.0,0.9936708860759493,0.9968253968253968,19.8,10.4,4.9,0.9999732813825215,0.9333333333333332,0.0,,,6.470000267028809
BestCandidate,567498,113500,3,0.9999735682819383,1.0,0.9936708860759493,0.9968253968253968,19.8,10.4,4.9,0.9999732813825215,0.9333333333333332,1.0,0.3276069714206269,1.0154625550660792,229.47709965705872
GraphMerge,567498,113500,3,0.9999911894273128,1.0,0.9975669099756691,0.9987819732034106,24.5,12.75,4.95,0.04736656617683781,1.0,0.0,,,5.9095118045806885
BestCandidate,567498,113500,3,0.9999911894273128,1.0,0.9975669099756691,0.9987819732034106,24.5,12.75,4.95,0.04736656617683781,1.0,1.0,0.13427331636847953,1.9769867841409692,280.3892638683319
GraphMerge,567498,113500,3,0.9999911894273128,0.9977324263038548,1.0,0.9988649262202043,22.3,11.65,4.9,0.9999444485466576,0.9666666666666666,0.0,,,12.516000509262085
BestCandidate,567498,113500,3,0.9999911894273128,0.9977324263038548,1.0,0.9988649262202043,22.3,11.65,4.9,0.9999444485466576,0.9666666666666666,1.0,0.13415541501526207,1.9770748898678414,252.0556640625
GraphMerge,567498,113500,3,0.9999647577092511,0.9977272727272727,0.9932126696832579,0.9954648526077098,19.9,10.45,4.85,0.9999826565586515,0.9368421052631579,0.0,,,6.814000606536865
BestCandidate,567498,113500,3,0.9999647577092511,0.9977272727272727,0.9932126696832579,0.9954648526077098,19.9,10.45,4.85,0.9999826565586515,0.9368421052631579,1.0,0.31964543078803487,1.0044933920704846,221.56180238723755
