explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
GraphMerge,6870,1374,16,0.9963609898107715,1.0,0.8484848484848485,0.9180327868852458,28.8,14.9,4.95,0.9771926443820717,0.4773715538847118,0.0,,,1.1040027141571045
BestCandidate,6870,1374,16,0.9963609898107715,1.0,0.8484848484848485,0.9180327868852458,28.8,14.9,4.95,0.9771926443820717,0.4773715538847118,0.17976710334788937,0.7440150591219474,2.5303643724696356,3.529999256134033
GraphMerge,6870,1374,16,0.9992721979621543,1.0,0.9655172413793104,0.9824561403508771,27.9,14.45,4.95,0.6226790622902533,0.45358853865432813,0.0,,,1.056001901626587
BestCandidate,6870,1374,16,0.9992721979621543,1.0,0.9655172413793104,0.9824561403508771,27.9,14.45,4.95,0.6226790622902533,0.45358853865432813,0.15502183406113534,0.6018593559503782,1.704225352112676,3.382934093475342
GraphMerge,6870,1374,16,0.9985443959243085,1.0,0.9285714285714286,0.962962962962963,26.5,13.75,5.0,0.6547321640182654,0.44690676282781544,0.0,,,1.0660009384155273
BestCandidate,6870,1374,16,0.9985443959243085,1.0,0.9285714285714286,0.962962962962963,26.5,13.75,5.0,0.6547321640182654,0.44690676282781544,0.11426491994177579,0.7508002881559536,2.5031847133757963,3.1979987621307373
GraphMerge,6870,1374,16,0.9992721979621543,1.0,0.96,0.9795918367346939,26.8,13.9,5.0,0.9729694353178089,0.47178812415654525,0.0,,,1.1010034084320068
BestCandidate,6870,1374,16,0.9992721979621543,1.0,0.96,0.9795918367346939,26.8,13.9,5.0,0.9729694353178089,0.47178812415654525,0.17321688500727805,0.623822724318476,2.3403361344537816,3.205000400543213
GraphMerge,6870,1374,16,1.0,1.0,1.0,1.0,29.2,15.1,5.0,0.3471473211457532,0.4609371330423962,0.0,,,1.058000087738037
BestCandidate,6870,1374,16,1.0,1.0,1.0,1.0,29.2,15.1,5.0,0.3471473211457532,0.4609371330423962,0.15574963609898107,0.8702731201068198,2.439252336448598,3.3739988803863525
GraphMerge,6870,1374,16,0.99490538573508,1.0,0.8055555555555556,0.8923076923076924,27.5,14.25,5.0,0.9348097399908433,0.4636754181491024,0.0,,,1.084001064300537
BestCandidate,6870,1374,16,0.99490538573508,1.0,0.8055555555555556,0.8923076923076924,27.5,14.25,5.0,0.9348097399908433,0.4636754181491024,0.08806404657933042,0.5277379586914932,1.9173553719008265,3.381999969482422
GraphMerge,6870,1374,16,1.0,1.0,1.0,1.0,30.0,15.5,5.0,-0.01543901076207248,0.47471153846153846,0.0,,,1.0760021209716797
BestCandidate,6870,1374,16,1.0,1.0,1.0,1.0,30.0,15.5,5.0,-0.01543901076207248,0.47471153846153846,0.5822416302765647,1.0594518920023959,3.13375,3.56499981880188
GraphMerge,6870,1374,16,0.9970887918486172,1.0,0.8571428571428571,0.923076923076923,28.4,14.7,5.0,0.8963994915919697,0.4530361597466861,0.0,,,1.0790002346038818
BestCandidate,6870,1374,16,0.9970887918486172,1.0,0.8571428571428571,0.923076923076923,28.4,14.7,5.0,0.8963994915919697,0.4530361597466861,0.16448326055312956,0.8579034040922462,2.7212389380530975,3.41499924659729
GraphMerge,6870,1374,16,0.9970887918486172,0.9655172413793104,0.9032258064516129,0.9333333333333333,29.3,15.15,5.0,0.929589631747498,0.46687100180521235,0.0,,,1.0680029392242432
BestCandidate,6870,1374,16,0.9970887918486172,0.9655172413793104,0.9032258064516129,0.9333333333333333,29.3,15.15,5.0,0.929589631747498,0.46687100180521235,0.06986899563318782,0.6288261372701833,2.3020833333333335,3.416999340057373
GraphMerge,6870,1374,16,0.9978165938864629,1.0,0.9032258064516129,0.9491525423728813,23.8,12.4,4.9,0.9844686960145339,0.4108992761624341,0.0,,,1.0570027828216553
BestCandidate,6870,1374,16,0.9978165938864629,1.0,0.9032258064516129,0.9491525423728813,23.8,12.4,4.9,0.9844686960145339,0.4108992761624341,0.17030567685589515,0.605560514605961,2.0683760683760686,3.148000478744507
