explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
GraphMerge,5803,1161,36,0.9991386735572783,1.0,0.9230769230769231,0.9600000000000001,13.1,7.05,4.2,0.9940837163065993,0.10737470132206973,0.0,,,3.0740931034088135
BestCandidate,5803,1161,36,0.9991386735572783,1.0,0.9230769230769231,0.9600000000000001,13.1,7.05,4.2,0.9940837163065993,0.10737470132206973,0.003445305770887197,0.07003333194889558,1.25,1.989872694015503
GraphMerge,5803,1161,36,0.9982773471145564,0.9333333333333333,0.9333333333333333,0.9333333333333333,14.7,7.85,4.8,0.7464033610912963,0.1431920856920857,0.0,,,3.068002700805664
BestCandidate,5803,1161,36,0.9982773471145564,0.9333333333333333,0.9333333333333333,0.9333333333333333,14.7,7.85,4.8,0.7464033610912963,0.1431920856920857,0.006890611541774283,0.16701854763314988,1.25,2.2109999656677246
GraphMerge,5803,1161,36,0.9982773471145564,1.0,0.875,0.9333333333333333,9.7,5.35,3.35,0.9926809073093801,0.08985000379737221,0.0,,,4.01000189781189
BestCandidate,5803,1161,36,0.9982773471145564,1.0,0.875,0.9333333333333333,9.7,5.35,3.35,0.9926809073093801,0.08985000379737221,0.004306632213608941,0.13819454883359214,1.2,1.9359993934631348
GraphMerge,5803,1161,36,0.9991386735572783,0.9333333333333333,1.0,0.9655172413793104,15.3,8.15,4.85,0.29057906055275856,0.15615847817473205,0.0,,,2.0029995441436768
BestCandidate,5803,1161,36,0.9991386735572783,0.9333333333333333,1.0,0.9655172413793104,15.3,8.15,4.85,0.29057906055275856,0.15615847817473205,0.006890611541774283,0.21404928259291042,1.0,2.120999574661255
GraphMerge,5803,1161,36,0.9982773471145564,1.0,0.8947368421052632,0.9444444444444444,14.1,7.55,4.55,0.9966856602247495,0.13778996802990612,0.0,,,3.009000778198242
BestCandidate,5803,1161,36,0.9982773471145564,1.0,0.8947368421052632,0.9444444444444444,14.1,7.55,4.55,0.9966856602247495,0.13778996802990612,0.003445305770887197,0.22794552899607395,1.25,2.211998701095581
GraphMerge,5803,1161,36,0.9965546942291128,1.0,0.7333333333333333,0.846153846153846,9.6,5.3,3.35,0.999157634682087,0.12113313586997797,0.0,,,3.0440011024475098
BestCandidate,5803,1161,36,0.9965546942291128,1.0,0.7333333333333333,0.846153846153846,9.6,5.3,3.35,0.999157634682087,0.12113313586997797,0.004306632213608941,0.1720067446433335,2.0,1.8849997520446777
GraphMerge,5803,1161,36,0.9965546942291128,1.0,0.75,0.8571428571428571,9.8,5.4,3.4,0.9988073849861345,0.10489766081871346,0.0,,,4.022002458572388
BestCandidate,5803,1161,36,0.9965546942291128,1.0,0.75,0.8571428571428571,9.8,5.4,3.4,0.9988073849861345,0.10489766081871346,0.0017226528854435985,0.156728742325812,1.5,1.9629998207092285
GraphMerge,5803,1161,36,0.9965546942291128,1.0,0.7333333333333333,0.846153846153846,9.4,5.2,3.35,0.9984399024756729,0.10473386262859949,0.0,,,3.973001003265381
BestCandidate,5803,1161,36,0.9965546942291128,1.0,0.7333333333333333,0.846153846153846,9.4,5.2,3.35,0.9984399024756729,0.10473386262859949,0.003445305770887197,0.031808466754876606,1.25,1.8579988479614258
GraphMerge,5803,1161,36,0.9974160206718347,1.0,0.8333333333333334,0.9090909090909091,13.4,7.2,4.65,0.9964771065195132,0.12038969802127697,0.0,,,3.0260000228881836
BestCandidate,5803,1161,36,0.9974160206718347,1.0,0.8333333333333334,0.9090909090909091,13.4,7.2,4.65,0.9964771065195132,0.12038969802127697,0.0051679586563307955,0.12479150134734224,1.8333333333333333,2.052999258041382
GraphMerge,5803,1161,36,0.9991386735572783,0.9333333333333333,1.0,0.9655172413793104,16.8,8.9,4.9,0.39505632664954615,0.1395238292838912,0.0,,,2.0100011825561523
BestCandidate,5803,1161,36,0.9991386735572783,0.9333333333333333,1.0,0.9655172413793104,16.8,8.9,4.9,0.39505632664954615,0.1395238292838912,0.008613264427217882,0.22389038362672092,1.7,2.2629992961883545
