explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
GraphMerge,49097,9820,9,0.9991853360488798,0.9970326409495549,0.9911504424778761,0.9940828402366864,19.2,10.1,5.0,0.906099029135142,0.5781516290726817,0.0,,,1.4609999656677246
BestCandidate,49097,9820,9,0.9991853360488798,0.9970326409495549,0.9911504424778761,0.9940828402366864,19.2,10.1,5.0,0.906099029135142,0.5781516290726817,0.9894093686354379,0.02801938660817437,1.7289007822149032,21.570000410079956
GraphMerge,49097,9820,9,0.9994908350305499,1.0,0.9931129476584022,0.9965445749827229,21.3,11.15,5.0,0.6602311995933319,0.6238199665831244,0.0,,,1.7180020809173584
BestCandidate,49097,9820,9,0.9994908350305499,1.0,0.9931129476584022,0.9965445749827229,21.3,11.15,5.0,0.6602311995933319,0.6238199665831244,1.0,0.04708430237839375,1.6268839103869654,22.66399884223938
GraphMerge,49097,9820,9,0.9989816700610998,0.9943181818181818,0.9915014164305949,0.9929078014184397,19.2,10.1,5.0,0.9835563927265443,0.557172096908939,0.0,,,1.5130000114440918
BestCandidate,49097,9820,9,0.9989816700610998,0.9943181818181818,0.9915014164305949,0.9929078014184397,19.2,10.1,5.0,0.9835563927265443,0.557172096908939,1.0,0.037351034484080795,1.6578411405295315,21.522000074386597
GraphMerge,49097,9820,9,0.9981670061099797,1.0,0.9736070381231672,0.986627043090639,21.2,11.1,5.0,0.7230645913848859,0.6424498746867168,0.0,,,1.4650001525878906
BestCandidate,49097,9820,9,0.9981670061099797,1.0,0.9736070381231672,0.986627043090639,21.2,11.1,5.0,0.7230645913848859,0.6424498746867168,1.0,0.06618780246604967,2.0612016293279023,22.459999799728394
GraphMerge,49097,9820,9,0.99979633401222,1.0,0.997080291970803,0.9985380116959064,20.4,10.7,5.0,0.6198188992210545,0.6347556390977444,0.0,,,1.6570000648498535
BestCandidate,49097,9820,9,0.99979633401222,1.0,0.997080291970803,0.9985380116959064,20.4,10.7,5.0,0.6198188992210545,0.6347556390977444,0.99989816700611,0.02678536326663421,1.6272532844485181,22.108000993728638
GraphMerge,49097,9820,9,0.9992871690427698,1.0,0.9898255813953488,0.9948867786705624,21.9,11.45,5.0,0.8506681025422674,0.5945279866332498,0.0,,,1.4429996013641357
BestCandidate,49097,9820,9,0.9992871690427698,1.0,0.9898255813953488,0.9948867786705624,21.9,11.45,5.0,0.8506681025422674,0.5945279866332498,0.99989816700611,0.03153689794243974,1.9138405132905592,23.077268600463867
GraphMerge,49097,9820,9,0.9993890020366599,1.0,0.991304347826087,0.9956331877729258,18.3,9.65,5.0,0.586124152809486,0.6395927318295739,0.0,,,1.4879999160766602
BestCandidate,49097,9820,9,0.9993890020366599,1.0,0.991304347826087,0.9956331877729258,18.3,9.65,5.0,0.586124152809486,0.6395927318295739,1.0,0.04292970753435669,1.9873727087576374,20.990000247955322
GraphMerge,49097,9820,9,0.9984725050916496,0.9985401459854014,0.9799426934097422,0.9891540130151842,20.3,10.65,5.0,0.816602403271689,0.6099958228905596,0.0,,,1.3569989204406738
BestCandidate,49097,9820,9,0.9984725050916496,0.9985401459854014,0.9799426934097422,0.9891540130151842,20.3,10.65,5.0,0.816602403271689,0.6099958228905596,1.0,0.0620080304730812,1.8081466395112016,22.307999849319458
GraphMerge,49097,9820,9,0.9991853360488798,0.9985507246376811,0.9899425287356322,0.9942279942279941,19.2,10.1,5.0,0.8620352320958735,0.5606203007518796,0.0,,,1.4699997901916504
BestCandidate,49097,9820,9,0.9991853360488798,0.9985507246376811,0.9899425287356322,0.9942279942279941,19.2,10.1,5.0,0.8620352320958735,0.5606203007518796,0.99989816700611,0.029788873378504124,1.5505652306752216,21.385000467300415
GraphMerge,49097,9820,9,0.9992871690427698,1.0,0.9899713467048711,0.9949604031677466,21.7,11.35,5.0,0.8280197337513476,0.5653717627401837,0.0,,,1.687999963760376
BestCandidate,49097,9820,9,0.9992871690427698,1.0,0.9899713467048711,0.9949604031677466,21.7,11.35,5.0,0.8280197337513476,0.5653717627401837,1.0,0.02419062619991742,1.5578411405295316,22.542999744415283
