explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
GraphMerge,3772,755,6,0.9960264900662251,0.9333333333333333,0.875,0.9032258064516129,22.6,11.8,5.0,0.7234829221025039,0.8229824561403508,0.0,,,1.01900315284729
BestCandidate,3772,755,6,0.9960264900662251,0.9333333333333333,0.875,0.9032258064516129,22.6,11.8,5.0,0.7234829221025039,0.8229824561403508,0.576158940397351,0.1515795539940535,2.32183908045977,1.7619965076446533
GraphMerge,3772,755,6,0.9947019867549669,0.95,0.8636363636363636,0.9047619047619048,24.2,12.6,4.9,0.8578302946518551,0.7779824561403509,0.0,,,1.0600032806396484
BestCandidate,3772,755,6,0.9947019867549669,0.95,0.8636363636363636,0.9047619047619048,24.2,12.6,4.9,0.8578302946518551,0.7779824561403509,1.0,0.108592662172793,2.060927152317881,1.7850005626678467
GraphMerge,3772,755,6,0.9920529801324504,1.0,0.6666666666666666,0.8,23.3,12.15,4.8,0.9632916043339503,0.811578947368421,0.0,,,1.0350010395050049
BestCandidate,3772,755,6,0.9920529801324504,1.0,0.6666666666666666,0.8,23.3,12.15,4.8,0.9632916043339503,0.811578947368421,1.0,0.14020367353493957,2.201324503311258,1.7940032482147217
GraphMerge,3772,755,6,1.0,1.0,1.0,1.0,18.3,9.65,4.7,-0.15486847931439096,0.6125438596491227,0.0,,,1.0090012550354004
BestCandidate,3772,755,6,1.0,1.0,1.0,1.0,18.3,9.65,4.7,-0.15486847931439096,0.6125438596491227,1.0,0.10712463243093508,1.9774834437086093,1.5760011672973633
GraphMerge,3772,755,6,0.9947019867549669,0.9629629629629629,0.896551724137931,0.9285714285714286,20.7,10.85,4.9,0.9760716974320378,0.7689473684210526,0.0,,,1.0140023231506348
BestCandidate,3772,755,6,0.9947019867549669,0.9629629629629629,0.896551724137931,0.9285714285714286,20.7,10.85,4.9,0.9760716974320378,0.7689473684210526,1.0,0.09582256084839466,2.0079470198675495,1.7446646690368652
GraphMerge,3772,755,6,0.9973509933774835,1.0,0.9,0.9473684210526316,20.5,10.75,4.95,0.7100332436801878,0.6891228070175439,0.0,,,1.0130105018615723
BestCandidate,3772,755,6,0.9973509933774835,1.0,0.9,0.9473684210526316,20.5,10.75,4.95,0.7100332436801878,0.6891228070175439,1.0,0.08889496037103013,2.014569536423841,1.6380321979522705
GraphMerge,3772,755,6,0.9960264900662251,1.0,0.85,0.9189189189189189,20.1,10.55,4.65,0.9412170751272242,0.7168421052631578,0.0,,,1.0200037956237793
BestCandidate,3772,755,6,0.9960264900662251,1.0,0.85,0.9189189189189189,20.1,10.55,4.65,0.9412170751272242,0.7168421052631578,0.656953642384106,0.1874091320152983,1.9879032258064515,1.5779998302459717
GraphMerge,3772,755,6,0.9960264900662251,0.8333333333333334,0.9090909090909091,0.8695652173913043,22.5,11.75,4.8,0.9959260699171526,0.6978070175438597,0.0,,,1.0170011520385742
BestCandidate,3772,755,6,0.9960264900662251,0.8333333333333334,0.9090909090909091,0.8695652173913043,22.5,11.75,4.8,0.9959260699171526,0.6978070175438597,1.0,0.10396334352908064,2.0211920529801324,1.7027113437652588
GraphMerge,3772,755,6,0.9960264900662251,1.0,0.8571428571428571,0.923076923076923,20.6,10.8,4.85,0.9478935638564863,0.7268421052631577,0.0,,,1.0030007362365723
BestCandidate,3772,755,6,0.9960264900662251,1.0,0.8571428571428571,0.923076923076923,20.6,10.8,4.85,0.9478935638564863,0.7268421052631577,0.9973509933774835,0.22695001355055483,2.913678618857902,1.6429986953735352
GraphMerge,3772,755,6,0.9986754966887417,1.0,0.95,0.9743589743589743,23.1,12.05,5.0,0.20052682779034892,0.7331578947368421,0.0,,,1.019000768661499
BestCandidate,3772,755,6,0.9986754966887417,1.0,0.95,0.9743589743589743,23.1,12.05,5.0,0.20052682779034892,0.7331578947368421,1.0,0.12056128033856298,2.252980132450331,1.7189993858337402
