explainer,n_samples,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
BestCandidate,567498,3,0.999969812771352,0.9999837104954868,0.9999859890929976,0.9999848497929442,23.6,12.3,5.5,0.9999710227567024,0.9035087719298247,1.0,0.16973695848504186,1.8373920704845814,245.13861107826233
GraphMerge,567498,3,0.999969812771352,0.9999837104954868,0.9999859890929976,0.9999848497929442,23.6,12.3,5.5,0.9999710227567024,0.9035087719298247,1.0,0.08817259146046466,1.0331629955947137,6.861062288284302
BestCandidate,567498,3,0.9999667542724765,0.9999666227723916,1.0,0.9999833111076813,19.0,10.0,5.05,0.9999735887297173,0.9368421052631579,1.0,0.3126248168357136,1.0041057268722466,240.78302359580994
GraphMerge,567498,3,0.9999667542724765,0.9999666227723916,1.0,0.9999833111076813,19.0,10.0,5.05,0.9999735887297173,0.9368421052631579,1.0,0.22315067578640502,1.858555066079295,9.49000072479248
BestCandidate,567498,3,0.9999903443035245,0.9999903089461138,1.0,0.9999951544495777,30.9,15.95,6.35,0.9999903390911927,1.0,1.0,0.31213592093218184,1.0101057268722466,358.2448263168335
GraphMerge,567498,3,0.9999903443035245,0.9999903089461138,1.0,0.9999951544495777,30.9,15.95,6.35,0.9999903390911927,1.0,1.0,0.08380531172600332,1.1610044052863435,13.509018182754517
BestCandidate,567498,3,0.9999911211932896,0.9999910885490704,1.0,0.9999955442546816,30.6,15.8,6.35,0.9999791639184215,1.0,1.0,0.1696482059548913,1.8542907488986784,347.06105518341064
GraphMerge,567498,3,0.9999911211932896,0.9999910885490704,1.0,0.9999955442546816,30.6,15.8,6.35,0.9999791639184215,1.0,1.0,0.1275323210744625,1.971770925110132,30.252660512924194
BestCandidate,567498,3,0.9999878560516728,0.9999878102776402,1.0,0.9999939051016726,25.5,13.25,6.15,0.8999689235645477,0.9333333333333332,1.0,0.22278193300576657,1.9530837004405286,254.85826659202576
GraphMerge,567498,3,0.9999878560516728,0.9999878102776402,1.0,0.9999939051016726,25.5,13.25,6.15,0.8999689235645477,0.9333333333333332,1.0,0.20981646851842314,1.9252775330396477,10.343017816543579
