explainer,n_samples,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,
BestCandidate,378,30,0.987368421,0.98703637,1,0.993475897,10.5,5.75,3.65,0.907418254,0.109386535,0.065789474,0.109662935,1.2,0.105000257,1.388892295
GraphMerge,378,30,0.987368421,0.98703637,1,0.993475897,10.5,5.75,3.65,0.907418254,0.109386535,1,0.246564795,1.131578947,1.655000448,21.89154032
BestCandidate,378,30,1,1,1,1,11,6,3.95,-0.115496258,0.100001899,0.026315789,0.033447105,1,0.105000019,1.388889141
GraphMerge,378,30,1,1,1,1,11,6,3.95,-0.115496258,0.100001899,1,0.268431515,3.342105263,1.649999142,21.82538547
BestCandidate,378,30,0.990526316,0.990188953,1,0.995070294,8.1,4.55,3.3,0.229801664,0.079851713,0.052631579,0.161302725,1.75,0.089999199,1.190465594
GraphMerge,378,30,0.990526316,0.990188953,1,0.995070294,8.1,4.55,3.3,0.229801664,0.079851713,1,0.400724101,3.421052632,1.542001009,20.39683874
BestCandidate,378,30,0.963859649,0.96199262,1,0.980628174,10.6,5.8,3.9,0.509127941,0.118939073,0.026315789,0.099261658,1,0.110000134,1.455028221
GraphMerge,378,30,0.963859649,0.96199262,1,0.980628174,10.6,5.8,3.9,0.509127941,0.118939073,1,0.204587759,1.118421053,1.650000572,21.82540439
BestCandidate,378,30,0.972280702,0.970987881,1,0.985280417,10.8,5.9,3.7,0.86837294,0.141792272,0.065789474,0.314999974,1.2,0.103000164,1.362436032
GraphMerge,378,30,0.972280702,0.970987881,1,0.985280417,10.8,5.9,3.7,0.86837294,0.141792272,1,0.180847975,0.986842105,1.650000095,21.82539809
