explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,clique_size,init_time
GraphMerge,7200,1440,6,0.9833333333333333,0.8275862068965517,0.96,0.888888888888889,27.7,14.35,5.0,0.9322986712265976,0.7819298245614035,0.74375,0.009827939281519989,1.1988795518207283,1.6315019130706787,1,0.01100015640258789
BestCandidate,7200,1440,6,0.9833333333333333,0.8275862068965517,0.96,0.888888888888889,27.7,14.35,5.0,0.9322986712265976,0.7819298245614035,1.0,0.016619544938078695,1.4618055555555556,4.152142763137817,-1,0.0
GraphMerge,7200,1440,6,0.9840277777777777,0.8617886178861789,0.9464285714285714,0.902127659574468,31.0,16.0,5.0,0.9039099654683138,0.8428070175438596,0.6833333333333333,0.013744016915210837,1.3902439024390243,1.645029067993164,1,0.01100015640258789
BestCandidate,7200,1440,6,0.9840277777777777,0.8617886178861789,0.9464285714285714,0.902127659574468,31.0,16.0,5.0,0.9039099654683138,0.8428070175438596,1.0,0.019226861786245265,1.6145833333333333,4.368135929107666,-1,0.0
GraphMerge,7200,1440,6,0.9763888888888889,0.8346456692913385,0.8907563025210085,0.8617886178861789,30.2,15.6,5.0,0.8945553631688204,0.8810526315789472,0.19166666666666665,0.011703219894245739,1.4927536231884058,1.5359156131744385,1,0.010999917984008789
BestCandidate,7200,1440,6,0.9763888888888889,0.8346456692913385,0.8907563025210085,0.8617886178861789,30.2,15.6,5.0,0.8945553631688204,0.8810526315789472,1.0,0.01963199207974461,1.5875,4.176092147827148,-1,0.0
GraphMerge,7200,1440,6,0.9840277777777777,0.8392857142857143,0.9494949494949495,0.8909952606635071,30.4,15.7,5.0,0.9446545510763937,0.7578947368421053,0.35486111111111107,0.010766688085973664,1.0567514677103718,1.5350182056427002,1,0.009999990463256836
BestCandidate,7200,1440,6,0.9840277777777777,0.8392857142857143,0.9494949494949495,0.8909952606635071,30.4,15.7,5.0,0.9446545510763937,0.7578947368421053,1.0,0.019393597854332333,1.5979166666666667,4.495936393737793,-1,0.0
GraphMerge,7200,1440,6,0.9798611111111111,0.7719298245614035,0.967032967032967,0.8585365853658538,28.8,14.9,5.0,0.974025259701277,0.7629824561403508,0.41666666666666663,0.010438343820937066,1.19,1.6449501514434814,1,0.010000944137573242
BestCandidate,7200,1440,6,0.9798611111111111,0.7719298245614035,0.967032967032967,0.8585365853658538,28.8,14.9,5.0,0.974025259701277,0.7629824561403508,1.0,0.01656373300272847,1.4083333333333334,4.294130325317383,-1,0.0
