explainer,n_samples,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
BestCandidate,262144,4,1.0,1.0,1.0,1.0,8.7,4.85,2.85,-0.0631582962977092,0.5846491228070174,0.7699555589463847,2.4038933088016816,1.4299692826000792,59.55600023269653
GraphMerge,262144,4,1.0,1.0,1.0,1.0,8.7,4.85,2.85,-0.0631582962977092,0.5846491228070174,1.0,1.8281114761333848,1.7786339621202008,4.266004800796509
BestCandidate,262144,4,1.0,1.0,1.0,1.0,11.1,6.05,3.4,0.05789262863319093,0.6359649122807017,0.6303190982090064,2.42184611780134,1.2800859382092171,67.23985576629639
GraphMerge,262144,4,1.0,1.0,1.0,1.0,11.1,6.05,3.4,0.05789262863319093,0.6359649122807017,1.0,2.0166496369724243,1.7427950180243759,3.316998243331909
BestCandidate,262144,4,1.0,1.0,1.0,1.0,8.3,4.65,2.75,-0.021052631578947368,0.593421052631579,1.0,2.3696977653498186,1.4803448473173244,58.15669393539429
GraphMerge,262144,4,1.0,1.0,1.0,1.0,8.3,4.65,2.75,-0.021052631578947368,0.593421052631579,1.0,2.2936346096214497,1.5954910450323294,2.846003770828247
BestCandidate,262144,4,1.0,1.0,1.0,1.0,11.5,6.25,3.45,-0.09474032231461663,0.6833333333333332,0.8067672471342195,2.541215523272109,1.6783063028984821,68.8841905593872
GraphMerge,262144,4,1.0,1.0,1.0,1.0,11.5,6.25,3.45,-0.09474032231461663,0.6833333333333332,1.0,2.29806306373105,1.328882870167274,2.315023183822632
BestCandidate,262144,4,1.0,1.0,1.0,1.0,9.3,5.15,3.0,-0.05789493763019853,0.5877192982456141,1.0,2.3897051581941953,1.5663659425127314,60.89699983596802
GraphMerge,262144,4,1.0,1.0,1.0,1.0,9.3,5.15,3.0,-0.05789493763019853,0.5877192982456141,1.0,2.3304186403244445,1.3351008029907112,2.3100030422210693
BestCandidate,262144,4,1.0,1.0,1.0,1.0,11.3,6.15,3.3,-0.015789473684210527,0.7526315789473684,0.88704724484541,2.4607286941923596,1.4149697894940547,68.26100039482117
GraphMerge,262144,4,1.0,1.0,1.0,1.0,11.3,6.15,3.3,-0.015789473684210527,0.7526315789473684,1.0,2.1808194871038395,1.8477369394800587,3.1840009689331055
BestCandidate,262144,4,1.0,1.0,1.0,1.0,9.9,5.45,3.25,-0.02631578947368421,0.6118421052631579,1.0,2.3473949264874565,1.5448129851799577,63.1999990940094
GraphMerge,262144,4,1.0,1.0,1.0,1.0,9.9,5.45,3.25,-0.02631578947368421,0.6118421052631579,1.0,1.8185214625124793,1.3749833107631273,3.509000778198242
BestCandidate,262144,4,1.0,1.0,1.0,1.0,10.0,5.5,3.15,-0.28421052631578947,0.6039473684210527,0.738045738045738,2.5062390379374193,1.7169660162811733,64.12299990653992
GraphMerge,262144,4,1.0,1.0,1.0,1.0,10.0,5.5,3.15,-0.28421052631578947,0.6039473684210527,1.0,2.036900377804206,1.8302084724103074,3.1609649658203125
BestCandidate,262144,4,1.0,1.0,1.0,1.0,8.0,4.5,2.65,-0.005263157894736842,0.5916666666666666,0.8670773808388488,2.367797000707348,1.481060272767268,57.51164746284485
GraphMerge,262144,4,1.0,1.0,1.0,1.0,8.0,4.5,2.65,-0.005263157894736842,0.5916666666666666,1.0,2.329374747888232,1.4489118617558985,2.315001964569092
BestCandidate,262144,4,1.0,1.0,1.0,1.0,7.4,4.2,2.55,0.0,0.5732456140350878,0.8571210589559213,2.3790586607124893,1.511593751390805,55.196919679641724
GraphMerge,262144,4,1.0,1.0,1.0,1.0,7.4,4.2,2.55,0.0,0.5732456140350878,1.0,2.3031792570887957,1.3600297545251674,2.426297664642334
