explainer,n_samples,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
BestCandidate,3062,166,1.0,1.0,1.0,1.0,3.7,2.35,1.3,-0.015789473684210527,0.02868421052631579,0.0,,,0.6060006618499756
GraphMerge,3062,166,1.0,1.0,1.0,1.0,3.7,2.35,1.3,-0.015789473684210527,0.02868421052631579,1.0,1.0177818912964625,11.146818923327896,1.761000156402588
BestCandidate,3062,166,1.0,1.0,1.0,1.0,3.2,2.1,1.1,0.0,0.018421052631578946,0.0,,,0.58500075340271
GraphMerge,3062,166,1.0,1.0,1.0,1.0,3.2,2.1,1.1,0.0,0.018421052631578946,1.0,1.116275176643892,11.0163132137031,1.6540007591247559
BestCandidate,3062,166,1.0,1.0,1.0,1.0,3.2,2.1,1.1,0.015789473684210527,0.034210526315789476,0.0,,,0.5770003795623779
GraphMerge,3062,166,1.0,1.0,1.0,1.0,3.2,2.1,1.1,0.015789473684210527,0.034210526315789476,1.0,1.0861499930724117,10.99347471451876,1.662001609802246
BestCandidate,3062,166,1.0,1.0,1.0,1.0,3.5,2.25,1.25,0.0,0.02412280701754386,0.0,,,0.589000940322876
GraphMerge,3062,166,1.0,1.0,1.0,1.0,3.5,2.25,1.25,0.0,0.02412280701754386,1.0,1.0568935857033601,11.021207177814029,1.6610026359558105
BestCandidate,3062,166,1.0,1.0,1.0,1.0,3.3,2.15,1.15,0.0,0.02368421052631579,0.0,,,0.581000566482544
GraphMerge,3062,166,1.0,1.0,1.0,1.0,3.3,2.15,1.15,0.0,0.02368421052631579,1.0,1.020915084940648,11.037520391517129,1.6530001163482666
BestCandidate,3062,166,1.0,1.0,1.0,1.0,3.2,2.1,1.1,0.0,0.02631578947368421,0.0,,,0.5920004844665527
GraphMerge,3062,166,1.0,1.0,1.0,1.0,3.2,2.1,1.1,0.0,0.02631578947368421,1.0,1.0769582794561459,11.00978792822186,1.6530001163482666
BestCandidate,3062,166,1.0,1.0,1.0,1.0,3.6,2.3,1.3,0.0,0.03684210526315789,0.0,,,0.5990002155303955
GraphMerge,3062,166,1.0,1.0,1.0,1.0,3.6,2.3,1.3,0.0,0.03684210526315789,1.0,0.9325490274163223,11.071778140293638,1.659001111984253
BestCandidate,3062,166,1.0,1.0,1.0,1.0,3.4,2.2,1.2,0.0,0.046052631578947366,0.0,,,0.591001033782959
GraphMerge,3062,166,1.0,1.0,1.0,1.0,3.4,2.2,1.2,0.0,0.046052631578947366,1.0,1.0365949705444129,11.0,1.6610004901885986
BestCandidate,3062,166,1.0,1.0,1.0,1.0,3.9,2.45,1.45,-0.005263157894736842,0.030263157894736843,0.0,,,0.6230001449584961
GraphMerge,3062,166,1.0,1.0,1.0,1.0,3.9,2.45,1.45,-0.005263157894736842,0.030263157894736843,1.0,0.9721227191759007,11.071778140293638,1.757997989654541
BestCandidate,3062,166,1.0,1.0,1.0,1.0,3.3,2.15,1.1,0.0,0.031578947368421054,0.0,,,0.5890002250671387
GraphMerge,3062,166,1.0,1.0,1.0,1.0,3.3,2.15,1.1,0.0,0.031578947368421054,1.0,1.064663849074124,11.045676998368679,1.6620001792907715
