explainer,n_samples,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
BestCandidate,6870,16,0.9958780854724776,0.9957951748333427,1.0,0.9978931579654668,28.5,14.75,6.35,0.8940687877963975,0.47378110193899675,0.25764192139737996,0.7210375365425243,2.6836158192090394,3.5209994316101074
GraphMerge,6870,16,0.9958780854724776,0.9957951748333427,1.0,0.9978931579654668,28.5,14.75,6.35,0.8940687877963975,0.47378110193899675,1.0,0.434096613536815,1.0065502183406114,1.6529996395111084
BestCandidate,6870,16,0.9939846339945572,0.9938642080243268,1.0,0.9969226630625196,30.7,15.85,6.4,0.9670664130801624,0.47875192789666465,0.16157205240174677,0.7316608717269637,2.9594594594594597,3.7779998779296875
GraphMerge,6870,16,0.9939846339945572,0.9938642080243268,1.0,0.9969226630625196,30.7,15.85,6.4,0.9670664130801624,0.47875192789666465,1.0,0.48691376792727403,1.8973799126637554,1.755000114440918
BestCandidate,6870,16,0.9968809998611187,0.9968045531316356,1.0,0.9983997197605781,33.1,17.05,6.65,0.9067465856577174,0.5285461906514538,0.2532751091703057,0.8885485154674644,3.4971264367816093,3.936999797821045
GraphMerge,6870,16,0.9968809998611187,0.9968045531316356,1.0,0.9983997197605781,33.1,17.05,6.65,0.9067465856577174,0.5285461906514538,1.0,0.6184407094821305,2.341339155749636,1.6539959907531738
BestCandidate,6870,16,1.0,1.0,1.0,1.0,35.1,18.05,6.75,0.11556725793052683,0.5367269791611897,0.2081513828238719,0.6904243233165461,3.230769230769231,4.249000072479248
GraphMerge,6870,16,1.0,1.0,1.0,1.0,35.1,18.05,6.75,0.11556725793052683,0.5367269791611897,1.0,0.3221574700398868,1.6652110625909753,1.7669987678527832
BestCandidate,6870,16,0.9967103135856734,0.9966350559287755,1.0,0.9983146924816166,36.9,18.95,6.6,0.8661836810354477,0.5695587307429412,0.15211062590975255,0.7134889208778484,2.2535885167464116,4.275999546051025
GraphMerge,6870,16,0.9967103135856734,0.9966350559287755,1.0,0.9983146924816166,36.9,18.95,6.6,0.8661836810354477,0.5695587307429412,1.0,0.44211376140741526,1.7190684133915575,1.7639994621276855
BestCandidate,6870,16,0.9973644342810132,0.9973037315011144,1.0,0.998650045831107,30.2,15.6,6.25,0.9867046176289966,0.5000186436370647,0.4090247452692868,0.8523761814648619,3.087188612099644,3.624000072479248
GraphMerge,6870,16,0.9973644342810132,0.9973037315011144,1.0,0.998650045831107,30.2,15.6,6.25,0.9867046176289966,0.5000186436370647,1.0,0.33024919547087583,1.2394468704512374,1.7720401287078857
BestCandidate,6870,16,0.997742912543957,0.9976670308392442,1.0,0.9988321531442726,33.9,17.45,6.7,0.9018265262315249,0.49229145854145856,0.14556040756914124,0.6446428444348759,2.735,4.059999942779541
GraphMerge,6870,16,0.997742912543957,0.9976670308392442,1.0,0.9988321531442726,33.9,17.45,6.7,0.9018265262315249,0.49229145854145856,1.0,0.40967148111073365,1.586608442503639,1.8799986839294434
BestCandidate,6870,16,0.9955716983072375,0.9968068881386087,0.99863696830296,0.9977210890106515,31.2,16.1,6.3,0.9692820710516143,0.4732802504513031,0.14919941775836976,0.6336192901120586,2.5365853658536586,3.8569998741149902
GraphMerge,6870,16,0.9955716983072375,0.9968068881386087,0.99863696830296,0.9977210890106515,31.2,16.1,6.3,0.9692820710516143,0.4732802504513031,1.0,0.6016461960565331,2.611353711790393,1.6539995670318604
BestCandidate,6870,16,1.0,1.0,1.0,1.0,37.7,19.35,6.95,-0.15286592715492484,0.5697822791243844,0.15283842794759828,0.7366730047083633,2.5904761904761906,4.5269999504089355
GraphMerge,6870,16,1.0,1.0,1.0,1.0,37.7,19.35,6.95,-0.15286592715492484,0.5697822791243844,1.0,0.49337851727028925,1.3420669577874818,1.7660002708435059
BestCandidate,6870,16,0.9973707952602223,0.9973000396284506,1.0,0.9986481949041308,33.3,17.15,6.8,0.9295300012273534,0.4855909806567701,0.24163027656477443,0.8635845137842257,2.816265060240964,4.068999528884888
GraphMerge,6870,16,0.9973707952602223,0.9973000396284506,1.0,0.9986481949041308,33.3,17.15,6.8,0.9295300012273534,0.4855909806567701,1.0,0.528863173598295,2.571324599708879,1.7649986743927002
