explainer,n_samples,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
BestCandidate,5803,36,0.9985609908224182,0.9985475356071122,1.0,0.9992732400070501,17.3,9.15,5.6,0.9947361305457437,0.13829358436902842,0.004306632213608941,0.30368173474805604,1.8,2.1210010051727295
GraphMerge,5803,36,0.9985609908224182,0.9985475356071122,1.0,0.9992732400070501,17.3,9.15,5.6,0.9947361305457437,0.13829358436902842,1.0,0.22816987019338258,1.5555555555555556,1.7622151374816895
BestCandidate,5803,36,0.9949033235320325,0.9948687739778663,1.0,0.9974277876875571,10.7,5.85,3.75,0.9137444757900088,0.1173251894304526,0.0025839793281653423,0.06298329600225096,1.0,1.5320000648498535
GraphMerge,5803,36,0.9949033235320325,0.9948687739778663,1.0,0.9974277876875571,10.7,5.85,3.75,0.9137444757900088,0.1173251894304526,1.0,0.5222137952511304,5.114556416881999,1.7480003833770752
BestCandidate,5803,36,0.9991891651073688,0.9991799437675727,1.0,0.9995898036917668,11.9,6.45,4.4,0.007892108230751548,0.10570634044318256,0.004306632213608941,0.130257323351759,1.0,1.6590008735656738
GraphMerge,5803,36,0.9991891651073688,0.9991799437675727,1.0,0.9995898036917668,11.9,6.45,4.4,0.007892108230751548,0.10570634044318256,1.0,0.349683031666041,2.607235142118863,1.7630019187927246
BestCandidate,5803,36,1.0,1.0,1.0,1.0,15.5,8.25,5.05,-0.14389700876182707,0.12094455381220087,0.004306632213608941,0.27452265754828614,1.0,1.9590003490447998
GraphMerge,5803,36,1.0,1.0,1.0,1.0,15.5,8.25,5.05,-0.14389700876182707,0.12094455381220087,1.0,0.28575202125858834,2.267872523686477,1.7562215328216553
BestCandidate,5803,36,1.0,1.0,1.0,1.0,17.5,9.25,5.75,0.2148716990456706,0.14086812296931248,0.004306632213608941,0.1792853455648024,1.2,2.1750011444091797
GraphMerge,5803,36,1.0,1.0,1.0,1.0,17.5,9.25,5.75,0.2148716990456706,0.14086812296931248,1.0,0.2722775328052827,1.3031869078380707,1.6579995155334473
BestCandidate,5803,36,0.9967729959309751,0.9982667911175671,0.9984720610815346,0.998369415548407,15.6,8.3,5.15,0.9672361228855041,0.12657058605038074,0.007751937984496138,0.12864553272797521,1.1111111111111112,1.9870002269744873
GraphMerge,5803,36,0.9967729959309751,0.9982667911175671,0.9984720610815346,0.998369415548407,15.6,8.3,5.15,0.9672361228855041,0.12657058605038074,1.0,0.5384234342919385,4.705426356589148,1.75600004196167
BestCandidate,5803,36,1.0,1.0,1.0,1.0,16.8,8.9,5.4,-0.19529658390600238,0.1328487091683686,0.0008613264427217437,0.059805826703900264,1.0,2.1220004558563232
GraphMerge,5803,36,1.0,1.0,1.0,1.0,16.8,8.9,5.4,-0.19529658390600238,0.1328487091683686,1.0,0.0,0.0,1.762000322341919
BestCandidate,5803,36,0.9973180076628353,0.9972867442583693,1.0,0.9986415291898219,12.6,6.8,4.45,0.998272313116668,0.11845527279737805,0.004306632213608941,0.22300738566160655,1.0,1.7830007076263428
GraphMerge,5803,36,0.9973180076628353,0.9972867442583693,1.0,0.9986415291898219,12.6,6.8,4.45,0.998272313116668,0.11845527279737805,1.0,0.2207113863180579,1.442721791559001,1.7552158832550049
BestCandidate,5803,36,0.9963913392141138,0.9979604803735572,0.9983973542102059,0.9981788694901433,19.5,10.25,6.5,0.6774521831821554,0.16378110381552616,0.006029285099052539,0.14821084791136666,1.2857142857142858,2.3393383026123047
GraphMerge,5803,36,0.9963913392141138,0.9979604803735572,0.9983973542102059,0.9981788694901433,19.5,10.25,6.5,0.6774521831821554,0.16378110381552616,1.0,0.5149162305476594,2.694229112833764,1.6540002822875977
BestCandidate,5803,36,0.9997653627966379,0.9997618563149525,1.0,0.9998809139776841,18.5,9.75,5.9,0.6223835309229012,0.15966520317261718,0.0025839793281653423,0.33616814328967903,1.6666666666666667,2.1610000133514404
GraphMerge,5803,36,0.9997653627966379,0.9997618563149525,1.0,0.9998809139776841,18.5,9.75,5.9,0.6223835309229012,0.15966520317261718,1.0,0.35428859118838,3.1403962101636522,1.7634670734405518
