explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,clique_size,init_time
GraphMerge,378,76,30,0.9736842105263158,1.0,0.6,0.7499999999999999,8.3,4.65,3.15,0.7981517706565868,0.0814452798663325,0.9605263157894737,0.7314576944540024,6.36986301369863,1.416816234588623,6,0.007999897003173828
BestCandidate,378,76,30,0.9736842105263158,1.0,0.6,0.7499999999999999,8.3,4.65,3.15,0.7981517706565868,0.0814452798663325,0.03947368421052633,0.19198225864845586,2.0,0.12907075881958008,-1,0.0
GraphMerge,378,76,30,0.9605263157894737,1.0,0.5714285714285714,0.7272727272727273,10.1,5.55,3.7,0.8968613550418211,0.08942355889724311,0.013157894736842146,0.11864344613971228,1.0,1.4202766418457031,4,0.007999658584594727
BestCandidate,378,76,30,0.9605263157894737,1.0,0.5714285714285714,0.7272727272727273,10.1,5.55,3.7,0.8968613550418211,0.08942355889724311,0.02631578947368418,0.050242260313655335,1.5,0.1309962272644043,-1,0.0
GraphMerge,378,76,30,0.9736842105263158,1.0,0.6666666666666666,0.8,9.3,5.15,3.55,0.6543199585591276,0.13932824485456063,0.14473684210526316,0.38140527740370395,4.181818181818182,1.4245622158050537,3,0.008034944534301758
BestCandidate,378,76,30,0.9736842105263158,1.0,0.6666666666666666,0.8,9.3,5.15,3.55,0.6543199585591276,0.13932824485456063,0.03947368421052633,0.1265263533581705,1.3333333333333333,0.12900614738464355,-1,0.0
GraphMerge,378,76,30,0.9868421052631579,1.0,0.75,0.8571428571428571,12.5,6.75,3.9,0.08264366598384468,0.1383053350158613,0.013157894736842146,0.13184911605052024,4.0,1.4250011444091797,2,0.007999897003173828
BestCandidate,378,76,30,0.9868421052631579,1.0,0.75,0.8571428571428571,12.5,6.75,3.9,0.08264366598384468,0.1383053350158613,0.07894736842105265,0.3444888574780613,1.8333333333333333,0.14099931716918945,-1,0.0009996891021728516
GraphMerge,378,76,30,0.9868421052631579,1.0,0.75,0.8571428571428571,6.9,3.95,2.7,0.9946642468239564,0.08358395989974937,0.26315789473684215,0.6915009741654095,6.7,1.4279656410217285,5,0.00800013542175293
BestCandidate,378,76,30,0.9868421052631579,1.0,0.75,0.8571428571428571,6.9,3.95,2.7,0.9946642468239564,0.08358395989974937,0.0,,,0.12201452255249023,-1,0.0
