explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,clique_size,init_time
GraphMerge,20,20,21,1.0,1.0,1.0,1.0,47.2,24.1,9.2,-0.09473684210526316,0.5745104925626761,0.0,,,1.5348014831542969,1,0.011000633239746094
BestCandidate,20,20,21,1.0,1.0,1.0,1.0,47.2,24.1,9.2,-0.09473684210526316,0.5745104925626761,1.0,0.25252415329454914,1.65,0.09599828720092773,-1,0.0
GraphMerge,20,20,21,1.0,1.0,1.0,1.0,47.4,24.2,9.45,0.03684210526315789,0.5638801596354146,0.0,,,1.5131618976593018,1,0.010999679565429688
BestCandidate,20,20,21,1.0,1.0,1.0,1.0,47.4,24.2,9.45,0.03684210526315789,0.5638801596354146,0.9,0.5897898281208531,2.1666666666666665,0.09500527381896973,-1,0.0
GraphMerge,20,20,21,1.0,1.0,1.0,1.0,45.8,23.4,9.4,-0.04736842105263158,0.609821775005904,0.0,,,1.5200202465057373,1,0.011000871658325195
BestCandidate,20,20,21,1.0,1.0,1.0,1.0,45.8,23.4,9.4,-0.04736842105263158,0.609821775005904,1.0,0.38097380097733485,2.15,0.09110546112060547,-1,0.0
GraphMerge,20,20,21,1.0,1.0,1.0,1.0,44.2,22.6,9.3,0.005263157894736842,0.5499115532639649,0.0,,,1.5179026126861572,1,0.010999441146850586
BestCandidate,20,20,21,1.0,1.0,1.0,1.0,44.2,22.6,9.3,0.005263157894736842,0.5499115532639649,0.6,0.5466304890472462,1.6666666666666667,0.0890049934387207,-1,0.0
GraphMerge,20,20,21,1.0,1.0,1.0,1.0,48.0,24.5,9.3,0.025730994152046785,0.5537089207797615,0.0,,,1.5238454341888428,1,0.010000228881835938
BestCandidate,20,20,21,1.0,1.0,1.0,1.0,48.0,24.5,9.3,0.025730994152046785,0.5537089207797615,0.5,0.4114460707231496,1.6,0.1009972095489502,-1,0.0
GraphMerge,20,20,21,1.0,1.0,1.0,1.0,43.8,22.4,9.0,-0.11578947368421053,0.5450256478399301,0.050000000000000044,0.09013760980662949,1.0,1.5179293155670166,1,0.012000322341918945
BestCandidate,20,20,21,1.0,1.0,1.0,1.0,43.8,22.4,9.0,-0.11578947368421053,0.5450256478399301,0.95,0.2808810295456063,2.1578947368421053,0.09000468254089355,-1,0.0
GraphMerge,20,20,21,0.95,1.0,0.6666666666666666,0.8,46.0,23.5,9.25,0.011695906432748536,0.5664479115746021,0.050000000000000044,0.020533332129319515,1.0,1.4222826957702637,1,0.010001897811889648
BestCandidate,20,20,21,0.95,1.0,0.6666666666666666,0.8,46.0,23.5,9.25,0.011695906432748536,0.5664479115746021,0.65,0.31403274774662354,1.5384615384615385,0.09299755096435547,-1,0.0
GraphMerge,20,20,21,1.0,,,,43.7,22.35,8.7,0.0,0.5465047260824921,0.0,,,1.5169117450714111,1,0.01100015640258789
BestCandidate,20,20,21,1.0,,,,43.7,22.35,8.7,0.0,0.5465047260824921,0.9,0.39249447355851913,2.2777777777777777,0.09000444412231445,-1,0.0
GraphMerge,20,20,21,1.0,1.0,1.0,1.0,43.8,22.4,9.05,0.05263157894736842,0.5196250345439688,0.0,,,1.524794578552246,1,0.010999679565429688
BestCandidate,20,20,21,1.0,1.0,1.0,1.0,43.8,22.4,9.05,0.05263157894736842,0.5196250345439688,0.6,0.38426257037778927,2.0,0.08899664878845215,-1,0.0
GraphMerge,20,20,21,0.95,1.0,0.75,0.8571428571428571,43.6,22.3,9.6,0.8336159377710625,0.5541788440996115,0.050000000000000044,0.23960629677326656,1.0,1.532860517501831,1,0.010999441146850586
BestCandidate,20,20,21,0.95,1.0,0.75,0.8571428571428571,43.6,22.3,9.6,0.8336159377710625,0.5541788440996115,1.0,0.3598076646225648,1.55,0.08699965476989746,-1,0.0
