explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,clique_size,init_time
GraphMerge,20,20,36,1.0,1.0,1.0,1.0,13.2,7.1,4.65,0.14736842105263157,0.14212100764732344,0.050000000000000044,0.06957455011243785,2.0,1.4195599555969238,2,0.007999897003173828
BestCandidate,20,20,36,1.0,1.0,1.0,1.0,13.2,7.1,4.65,0.14736842105263157,0.14212100764732344,0.050000000000000044,0.014710735511188733,1.0,0.04200029373168945,-1,0.0
GraphMerge,20,20,36,1.0,,,,16.9,8.95,5.45,0.0,0.1308330097563436,0.0,,,1.5201122760772705,2,0.008000373840332031
BestCandidate,20,20,36,1.0,,,,16.9,8.95,5.45,0.0,0.1308330097563436,0.0,,,0.045998334884643555,-1,0.0
GraphMerge,20,20,36,1.0,,,,16.1,8.55,5.35,0.0,0.12061829467402223,0.0,,,1.5240082740783691,3,0.007000446319580078
BestCandidate,20,20,36,1.0,,,,16.1,8.55,5.35,0.0,0.12061829467402223,0.0,,,0.04399871826171875,-1,0.0
GraphMerge,20,20,36,1.0,,,,21.9,11.45,7.0,0.0,0.16788913239459108,0.0,,,1.5118772983551025,3,0.007999897003173828
BestCandidate,20,20,36,1.0,,,,21.9,11.45,7.0,0.0,0.16788913239459108,0.0,,,0.05200004577636719,-1,0.0
GraphMerge,20,20,36,1.0,1.0,1.0,1.0,14.4,7.7,5.15,0.11052631578947368,0.13285521710831308,0.0,,,1.4241316318511963,2,0.006999492645263672
BestCandidate,20,20,36,1.0,1.0,1.0,1.0,14.4,7.7,5.15,0.11052631578947368,0.13285521710831308,0.050000000000000044,0.09659091251140292,1.0,0.04399991035461426,-1,0.0
GraphMerge,20,20,36,1.0,,,,16.8,8.9,5.4,0.0,0.14156972026941067,0.0,,,1.522242784500122,2,0.007999897003173828
BestCandidate,20,20,36,1.0,,,,16.8,8.9,5.4,0.0,0.14156972026941067,0.050000000000000044,0.4087190251803596,1.0,0.04500627517700195,-1,0.0
GraphMerge,20,20,36,1.0,1.0,1.0,1.0,23.4,12.2,6.75,0.015789473684210527,0.1857481930245761,0.0,,,1.4254751205444336,2,0.010000228881835938
BestCandidate,20,20,36,1.0,1.0,1.0,1.0,23.4,12.2,6.75,0.015789473684210527,0.1857481930245761,0.050000000000000044,0.6211381631342481,3.0,0.05299830436706543,-1,0.0
GraphMerge,20,20,36,1.0,1.0,1.0,1.0,12.8,6.9,4.2,0.0,0.11288608321503057,0.0,,,1.4188048839569092,3,0.008001565933227539
BestCandidate,20,20,36,1.0,1.0,1.0,1.0,12.8,6.9,4.2,0.0,0.11288608321503057,0.0,,,0.04000663757324219,-1,0.0
GraphMerge,20,20,36,1.0,,,,13.6,7.3,4.9,0.0,0.13133268262525227,0.0,,,1.4287519454956055,3,0.0069997310638427734
BestCandidate,20,20,36,1.0,,,,13.6,7.3,4.9,0.0,0.13133268262525227,0.0,,,0.04099845886230469,-1,0.0
GraphMerge,20,20,36,1.0,,,,17.7,9.35,5.8,0.0,0.17149387730025661,0.0,,,1.4200255870819092,2,0.009000301361083984
BestCandidate,20,20,36,1.0,,,,17.7,9.35,5.8,0.0,0.17149387730025661,0.0,,,0.04599952697753906,-1,0.0
