explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,clique_size,init_time
GraphMerge,20,20,6,1.0,1.0,1.0,1.0,23.4,12.2,5.8,0.14736842105263157,0.7711403508771929,0.050000000000000044,0.010381067345782632,1.0,1.4270849227905273,1,0.010000228881835938
BestCandidate,20,20,6,1.0,1.0,1.0,1.0,23.4,12.2,5.8,0.14736842105263157,0.7711403508771929,1.0,0.10003814478632345,2.25,0.05216240882873535,-1,0.0
GraphMerge,20,20,6,1.0,,,,19.9,10.45,5.25,0.019883040935672513,0.6589473684210524,0.0,,,1.5137381553649902,1,0.010997533798217773
BestCandidate,20,20,6,1.0,,,,19.9,10.45,5.25,0.019883040935672513,0.6589473684210524,1.0,0.08031152194948736,1.8,0.04999876022338867,-1,0.0
GraphMerge,20,20,6,1.0,,,,24.1,12.55,5.8,0.0,0.7405263157894736,0.0,,,1.5190863609313965,1,0.009997367858886719
BestCandidate,20,20,6,1.0,,,,24.1,12.55,5.8,0.0,0.7405263157894736,1.0,0.14721812299333795,2.15,0.05500221252441406,-1,0.0
GraphMerge,20,20,6,1.0,1.0,1.0,1.0,20.2,10.6,4.95,0.005263157894736842,0.6722807017543859,0.0,,,1.4300439357757568,1,0.01100015640258789
BestCandidate,20,20,6,1.0,1.0,1.0,1.0,20.2,10.6,4.95,0.005263157894736842,0.6722807017543859,1.0,0.11737910307921377,2.6,0.049005985260009766,-1,0.0
GraphMerge,20,20,6,1.0,1.0,1.0,1.0,23.1,12.05,6.0,0.0,0.7691228070175437,0.0,,,1.4176714420318604,1,0.010999679565429688
BestCandidate,20,20,6,1.0,1.0,1.0,1.0,23.1,12.05,6.0,0.0,0.7691228070175437,1.0,0.13065858298051317,2.05,0.05499696731567383,-1,0.0
GraphMerge,20,20,6,1.0,,,,25.5,13.25,5.9,0.0,0.8145614035087718,0.0,,,1.4249989986419678,1,0.011001110076904297
BestCandidate,20,20,6,1.0,,,,25.5,13.25,5.9,0.0,0.8145614035087718,1.0,0.09059342892969877,2.15,0.05699920654296875,-1,0.0
GraphMerge,20,20,6,1.0,,,,20.7,10.85,5.45,0.0,0.7028070175438597,0.0,,,1.4280033111572266,1,0.009999752044677734
BestCandidate,20,20,6,1.0,,,,20.7,10.85,5.45,0.0,0.7028070175438597,1.0,0.09255239660670829,2.1,0.049996376037597656,-1,0.0
GraphMerge,20,20,6,1.0,,,,23.2,12.1,6.1,0.0,0.6728947368421051,0.0,,,1.4130005836486816,1,0.0110015869140625
BestCandidate,20,20,6,1.0,,,,23.2,12.1,6.1,0.0,0.6728947368421051,1.0,0.08859075823557594,2.0,0.051996707916259766,-1,0.0
GraphMerge,20,20,6,0.9,,0.0,,23.6,12.3,5.45,0.5894736842105263,0.7585964912280702,0.050000000000000044,0.06392147127507773,2.0,1.4175057411193848,1,0.009998083114624023
BestCandidate,20,20,6,0.9,,0.0,,23.6,12.3,5.45,0.5894736842105263,0.7585964912280702,1.0,0.11319614237811634,2.35,0.052997589111328125,-1,0.0
GraphMerge,20,20,6,0.95,1.0,0.75,0.8571428571428571,21.2,11.1,5.5,0.5461988304093567,0.6991228070175439,0.0,,,1.412996530532837,1,0.011008501052856445
BestCandidate,20,20,6,0.95,1.0,0.75,0.8571428571428571,21.2,11.1,5.5,0.5461988304093567,0.6991228070175439,1.0,0.09981674214279421,2.05,0.05099201202392578,-1,0.0
