explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,clique_size,init_time
GraphMerge,20,20,16,1.0,,,,36.1,18.55,6.75,0.0,0.5363015712357818,0.0,,,1.5289483070373535,1,0.011002063751220703
BestCandidate,20,20,16,1.0,,,,36.1,18.55,6.75,0.0,0.5363015712357818,0.15000000000000002,0.7591693248042276,2.6666666666666665,0.07236456871032715,-1,0.0
GraphMerge,20,20,16,1.0,1.0,1.0,1.0,35.2,18.1,6.8,0.005263157894736842,0.4891600723837566,0.0,,,1.5296235084533691,1,0.010999441146850586
BestCandidate,20,20,16,1.0,1.0,1.0,1.0,35.2,18.1,6.8,0.005263157894736842,0.4891600723837566,0.15000000000000002,0.560989000251467,2.3333333333333335,0.0710000991821289,-1,0.0
GraphMerge,20,20,16,1.0,,,,35.1,18.05,6.45,0.0,0.5184612901718165,0.0,,,1.5312538146972656,1,0.010999679565429688
BestCandidate,20,20,16,1.0,,,,35.1,18.05,6.45,0.0,0.5184612901718165,0.19999999999999996,0.8833223716675584,2.75,0.06799602508544922,-1,0.0
GraphMerge,20,20,16,1.0,,,,33.5,17.25,6.75,0.005263157894736842,0.5232846539425487,0.0,,,1.5188298225402832,1,0.012000083923339844
BestCandidate,20,20,16,1.0,,,,33.5,17.25,6.75,0.005263157894736842,0.5232846539425487,0.15000000000000002,0.7715793439490791,2.6666666666666665,0.06786942481994629,-1,0.0
GraphMerge,20,20,16,1.0,,,,32.4,16.7,6.15,0.0,0.5141961109066372,0.0,,,1.5239462852478027,1,0.010999441146850586
BestCandidate,20,20,16,1.0,,,,32.4,16.7,6.15,0.0,0.5141961109066372,0.09999999999999998,0.8348637654237849,3.0,0.06393671035766602,-1,0.0
GraphMerge,20,20,16,1.0,,,,33.1,17.05,6.4,0.0,0.532932126353179,0.0,,,1.4263875484466553,1,0.010998010635375977
BestCandidate,20,20,16,1.0,,,,33.1,17.05,6.4,0.0,0.532932126353179,0.09999999999999998,1.0900293677126383,2.0,0.06600761413574219,-1,0.0
GraphMerge,20,20,16,1.0,,,,36.2,18.6,6.65,0.0,0.5416750720040194,0.0,,,1.407977819442749,1,0.01100015640258789
BestCandidate,20,20,16,1.0,,,,36.2,18.6,6.65,0.0,0.5416750720040194,0.19999999999999996,0.9123645381408139,3.75,0.06899690628051758,-1,0.0
GraphMerge,20,20,16,1.0,,,,32.0,16.5,6.45,0.0,0.5005884904569115,0.0,,,1.53871750831604,1,0.010000467300415039
BestCandidate,20,20,16,1.0,,,,32.0,16.5,6.45,0.0,0.5005884904569115,0.25,1.1544015703369772,3.6,0.06299972534179688,-1,0.0
GraphMerge,20,20,16,1.0,,,,31.2,16.1,6.4,-0.015789473684210527,0.48908532257216475,0.0,,,1.5199768543243408,1,0.009999752044677734
BestCandidate,20,20,16,1.0,,,,31.2,16.1,6.4,-0.015789473684210527,0.48908532257216475,0.4,0.9724053440587999,3.375,0.06307172775268555,-1,0.0
GraphMerge,20,20,16,1.0,,,,35.0,18.0,6.7,0.0,0.5119438456280562,0.0,,,1.522944450378418,1,0.011001110076904297
BestCandidate,20,20,16,1.0,,,,35.0,18.0,6.7,0.0,0.5119438456280562,0.30000000000000004,0.6998513698888589,3.0,0.07013058662414551,-1,0.0
