explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,clique_size,init_time
GraphMerge,20,20,9,1.0,1.0,1.0,1.0,35.6,18.3,8.0,0.0,0.734450710108605,0.0,,,1.5378131866455078,1,0.01100015640258789
BestCandidate,20,20,9,1.0,1.0,1.0,1.0,35.6,18.3,8.0,0.0,0.734450710108605,1.0,0.023880971157531277,1.5,0.08378839492797852,-1,0.0
GraphMerge,20,20,9,1.0,1.0,1.0,1.0,34.6,17.8,9.05,0.0,0.7084294068504595,0.0,,,1.5226364135742188,1,0.010999202728271484
BestCandidate,20,20,9,1.0,1.0,1.0,1.0,34.6,17.8,9.05,0.0,0.7084294068504595,1.0,0.017809592533251158,1.5,0.07799935340881348,-1,0.0
GraphMerge,20,20,9,1.0,1.0,1.0,1.0,35.2,18.1,9.05,0.0,0.7372076023391814,0.0,,,1.5142104625701904,1,0.009998559951782227
BestCandidate,20,20,9,1.0,1.0,1.0,1.0,35.2,18.1,9.05,0.0,0.7372076023391814,1.0,0.0480446259110126,1.75,0.0820000171661377,-1,0.0
GraphMerge,20,20,9,1.0,1.0,1.0,1.0,41.7,21.35,9.8,0.0,0.742251461988304,0.0,,,1.526831865310669,1,0.011999845504760742
BestCandidate,20,20,9,1.0,1.0,1.0,1.0,41.7,21.35,9.8,0.0,0.742251461988304,1.0,0.018235398491310194,1.8,0.0969994068145752,-1,0.00099945068359375
GraphMerge,20,20,9,1.0,1.0,1.0,1.0,36.3,18.65,9.05,0.0,0.7425647451963242,0.0,,,1.515021800994873,1,0.010998964309692383
BestCandidate,20,20,9,1.0,1.0,1.0,1.0,36.3,18.65,9.05,0.0,0.7425647451963242,1.0,0.026812571707712306,1.75,0.08464622497558594,-1,0.0
GraphMerge,20,20,9,1.0,1.0,1.0,1.0,38.5,19.75,8.7,0.0,0.7216165413533834,0.0,,,1.5224294662475586,1,0.009999990463256836
BestCandidate,20,20,9,1.0,1.0,1.0,1.0,38.5,19.75,8.7,0.0,0.7216165413533834,1.0,0.01930206088814112,1.45,0.0839986801147461,-1,0.0
GraphMerge,20,20,9,1.0,,,,36.4,18.7,8.6,0.0,0.7592940685045948,0.0,,,1.5268440246582031,1,0.010000467300415039
BestCandidate,20,20,9,1.0,,,,36.4,18.7,8.6,0.0,0.7592940685045948,1.0,0.008760178470739722,1.55,0.07999634742736816,-1,0.0
GraphMerge,20,20,9,1.0,,,,33.6,17.3,8.55,0.0,0.7072055137844611,0.0,,,1.5200440883636475,1,0.009999990463256836
BestCandidate,20,20,9,1.0,,,,33.6,17.3,8.55,0.0,0.7072055137844611,1.0,0.007550185244737701,1.15,0.07396531105041504,-1,0.0
GraphMerge,20,20,9,1.0,,,,37.5,19.25,9.25,0.0,0.7672410192147032,0.0,,,1.5299389362335205,1,0.010999202728271484
BestCandidate,20,20,9,1.0,,,,37.5,19.25,9.25,0.0,0.7672410192147032,1.0,0.008793838542639688,1.55,0.0850074291229248,-1,0.0
GraphMerge,20,20,9,1.0,1.0,1.0,1.0,38.9,19.95,9.0,0.0,0.7310359231411864,0.0,,,1.5182626247406006,1,0.009999990463256836
BestCandidate,20,20,9,1.0,1.0,1.0,1.0,38.9,19.95,9.0,0.0,0.7310359231411864,1.0,0.036314553475140954,1.55,0.0879964828491211,-1,0.0
