explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,clique_size,init_time
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.5,2.25,1.2,0.0,0.03859649122807018,1.0,1.0534264680326397,11.045676998368679,1.524946689605713,13,0.010001182556152344
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.5,2.25,1.2,0.0,0.03859649122807018,0.0,,,0.9402081966400146,-1,0.0
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,4.1,2.55,1.4,0.0,0.04447368421052631,1.0,1.054441779864367,12.820554649265905,1.6275768280029297,13,0.009999275207519531
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,4.1,2.55,1.4,0.0,0.04447368421052631,0.0,,,0.9525625705718994,-1,0.0
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.4,2.2,1.2,0.0,0.042105263157894736,1.0,1.0434891688905132,11.02446982055465,1.6213791370391846,12,0.009999752044677734
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.4,2.2,1.2,0.0,0.042105263157894736,0.0,,,0.9320206642150879,-1,0.0
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.2,2.1,1.1,0.0,0.04736842105263158,1.0,1.0922576472713317,11.970636215334421,1.529118537902832,12,0.008999347686767578
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.2,2.1,1.1,0.0,0.04736842105263158,0.0,,,0.9510853290557861,-1,0.0
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.6,2.3,1.25,0.0,0.04122807017543859,1.0,0.9914300278903102,11.33768352365416,1.7464549541473389,14,0.010001182556152344
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.6,2.3,1.25,0.0,0.04122807017543859,0.0,,,0.9391160011291504,-1,0.0
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.6,2.3,1.3,0.0,0.075,1.0,0.9031498302044274,9.110929853181077,1.5308845043182373,9,0.008999347686767578
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.6,2.3,1.3,0.0,0.075,0.0,,,0.9232032299041748,-1,0.0
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.8,2.4,1.4,0.0,0.030263157894736843,1.0,1.0119666244949612,11.887438825448614,1.6297945976257324,14,0.010999917984008789
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.8,2.4,1.4,0.0,0.030263157894736843,0.0,,,0.9283084869384766,-1,0.0
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.1,2.05,1.05,0.0,0.039473684210526314,1.0,1.0867725933943388,11.035889070146819,1.5372278690338135,14,0.011000633239746094
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.1,2.05,1.05,0.0,0.039473684210526314,0.0,,,0.9006698131561279,-1,0.0
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.9,2.45,1.45,0.0,0.02675438596491228,1.0,1.0785782099404737,11.03425774877651,1.630131721496582,14,0.009999752044677734
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.9,2.45,1.45,0.0,0.02675438596491228,0.0,,,0.9388298988342285,-1,0.0
GraphMerge,3062,613,166,1.0,1.0,1.0,1.0,3.4,2.2,1.15,0.0,0.07280701754385964,1.0,1.012534010380966,10.00489396411093,1.5257771015167236,10,0.007999897003173828
BestCandidate,3062,613,166,1.0,1.0,1.0,1.0,3.4,2.2,1.15,0.0,0.07280701754385964,0.0,,,0.9100534915924072,-1,0.0
