explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,clique_size,init_time
FACET,309,62,6,0.8709677419354839,0.9318181818181818,0.8913043478260869,0.9111111111111111,12.5,6.75,3.0,0.5923898784716546,0.47929824561403506,0.30645161290322576,0.05381471067588424,1.5789473684210527,1.052002191543579,2,0.009999990463256836
BestCandidate,309,62,6,0.8709677419354839,0.9318181818181818,0.8913043478260869,0.9111111111111111,12.5,6.75,3.0,0.5923898784716546,0.47929824561403506,1.0,0.12808047292562055,1.596774193548387,0.11300015449523926,-1,0.0
OCEAN,309,62,6,0.8709677419354839,0.9318181818181818,0.8913043478260869,0.9111111111111111,12.5,6.75,3.0,0.5923898784716546,0.47929824561403506,1.0,0.06317808447950933,2.2580645161290325,3.0829977989196777,-1,0.0
FACET,309,62,6,0.8548387096774194,0.9047619047619048,0.8837209302325582,0.8941176470588236,12.6,6.8,3.0,0.6550048802526333,0.4797368421052632,0.0,,,0.9980013370513916,2,0.011000394821166992
BestCandidate,309,62,6,0.8548387096774194,0.9047619047619048,0.8837209302325582,0.8941176470588236,12.6,6.8,3.0,0.6550048802526333,0.4797368421052632,1.0,0.06598278408038306,1.064516129032258,0.10999870300292969,-1,0.0
OCEAN,309,62,6,0.8548387096774194,0.9047619047619048,0.8837209302325582,0.8941176470588236,12.6,6.8,3.0,0.6550048802526333,0.4797368421052632,1.0,0.06260075281512907,1.435483870967742,2.9659998416900635,-1,0.0
FACET,309,62,6,0.8225806451612904,0.8163265306122449,0.9523809523809523,0.8791208791208791,13.0,7.0,3.0,0.640558762950182,0.5103508771929824,0.12903225806451613,0.08542791740472469,1.125,1.006004810333252,1,0.009999990463256836
BestCandidate,309,62,6,0.8225806451612904,0.8163265306122449,0.9523809523809523,0.8791208791208791,13.0,7.0,3.0,0.640558762950182,0.5103508771929824,0.967741935483871,0.10779180852754695,1.4,0.10799622535705566,-1,0.0
OCEAN,309,62,6,0.8225806451612904,0.8163265306122449,0.9523809523809523,0.8791208791208791,13.0,7.0,3.0,0.640558762950182,0.5103508771929824,1.0,0.07358085395625161,2.1774193548387095,3.017000198364258,-1,0.0
FACET,309,62,6,0.7258064516129032,0.8378378378378378,0.7380952380952381,0.7848101265822786,12.6,6.8,3.0,0.6445933178262596,0.5832456140350877,0.11290322580645162,0.09704167003836073,1.2857142857142858,1.0000019073486328,1,0.009999752044677734
BestCandidate,309,62,6,0.7258064516129032,0.8378378378378378,0.7380952380952381,0.7848101265822786,12.6,6.8,3.0,0.6445933178262596,0.5832456140350877,0.8870967741935484,0.10504215451727184,1.6545454545454545,0.11199641227722168,-1,0.0
OCEAN,309,62,6,0.7258064516129032,0.8378378378378378,0.7380952380952381,0.7848101265822786,12.6,6.8,3.0,0.6445933178262596,0.5832456140350877,1.0,0.07594390680803775,2.403225806451613,2.9010016918182373,-1,0.0
FACET,309,62,6,0.8225806451612904,0.8695652173913043,0.8888888888888888,0.8791208791208792,13.5,7.25,3.0,0.5684966049588174,0.539298245614035,0.33870967741935487,0.11507794004625921,1.3333333333333333,1.011000156402588,1,0.009999990463256836
BestCandidate,309,62,6,0.8225806451612904,0.8695652173913043,0.8888888888888888,0.8791208791208792,13.5,7.25,3.0,0.5684966049588174,0.539298245614035,1.0,0.08967203961019625,1.1290322580645162,0.11299943923950195,-1,0.0
OCEAN,309,62,6,0.8225806451612904,0.8695652173913043,0.8888888888888888,0.8791208791208792,13.5,7.25,3.0,0.5684966049588174,0.539298245614035,1.0,0.08099650151445456,1.9516129032258065,3.2659990787506104,-1,0.0
