explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,clique_size,init_time
FACETPaths,309,62,6,0.8064516129032258,0.8604651162790697,0.8604651162790697,0.8604651162790697,25.2,13.1,5.0,0.5593702493347599,0.8161403508771928,1.0,0.3749039958659448,4.983870967741935,0.00600123405456543,-1,4.768999814987183
BestCandidate,309,62,6,0.8064516129032258,0.8604651162790697,0.8604651162790697,0.8604651162790697,25.2,13.1,5.0,0.5593702493347599,0.8161403508771928,1.0,0.08400788397207566,1.3870967741935485,0.15999865531921387,-1,0.0
OCEAN,309,62,6,0.8064516129032258,0.8604651162790697,0.8604651162790697,0.8604651162790697,25.2,13.1,5.0,0.5593702493347599,0.8161403508771928,1.0,0.06047491359615892,2.4193548387096775,6.344998836517334,-1,0.0
FACETPaths,309,62,6,0.7741935483870968,0.8222222222222222,0.8604651162790697,0.8409090909090908,26.4,13.7,5.0,0.6623673156992999,0.8152631578947367,1.0,0.4263414728524683,5.354838709677419,0.0050013065338134766,-1,5.515000581741333
BestCandidate,309,62,6,0.7741935483870968,0.8222222222222222,0.8604651162790697,0.8409090909090908,26.4,13.7,5.0,0.6623673156992999,0.8152631578947367,1.0,0.10455187024744193,1.6129032258064515,0.1700000762939453,-1,0.0
OCEAN,309,62,6,0.7741935483870968,0.8222222222222222,0.8604651162790697,0.8409090909090908,26.4,13.7,5.0,0.6623673156992999,0.8152631578947367,1.0,0.07340992771287533,2.338709677419355,6.433000087738037,-1,0.0
FACETPaths,309,62,6,0.8064516129032258,0.9210526315789473,0.7954545454545454,0.8536585365853658,28.1,14.55,5.0,0.5808715799140259,0.9175438596491229,1.0,0.36604096658153856,5.209677419354839,0.004999637603759766,-1,6.3860015869140625
BestCandidate,309,62,6,0.8064516129032258,0.9210526315789473,0.7954545454545454,0.8536585365853658,28.1,14.55,5.0,0.5808715799140259,0.9175438596491229,1.0,0.08293908540671928,1.4838709677419355,0.17499995231628418,-1,0.0
OCEAN,309,62,6,0.8064516129032258,0.9210526315789473,0.7954545454545454,0.8536585365853658,28.1,14.55,5.0,0.5808715799140259,0.9175438596491229,1.0,0.06005114843701033,2.661290322580645,6.830897092819214,-1,0.0
FACETPaths,309,62,6,0.8387096774193549,0.813953488372093,0.9459459459459459,0.875,26.5,13.75,5.0,0.6103657926413238,0.7871929824561403,1.0,0.3254753969141461,4.935483870967742,0.004999399185180664,-1,5.519000768661499
BestCandidate,309,62,6,0.8387096774193549,0.813953488372093,0.9459459459459459,0.875,26.5,13.75,5.0,0.6103657926413238,0.7871929824561403,1.0,0.0852855575494764,1.3387096774193548,0.1640000343322754,-1,0.0
OCEAN,309,62,6,0.8387096774193549,0.813953488372093,0.9459459459459459,0.875,26.5,13.75,5.0,0.6103657926413238,0.7871929824561403,1.0,0.06782011550720853,2.370967741935484,6.800183296203613,-1,0.0
FACETPaths,309,62,6,0.7419354838709677,0.782608695652174,0.8571428571428571,0.8181818181818182,24.1,12.55,5.0,0.7777594041921532,0.7878947368421052,1.0,0.41092358317863825,5.290322580645161,0.00499725341796875,-1,4.373998641967773
BestCandidate,309,62,6,0.7419354838709677,0.782608695652174,0.8571428571428571,0.8181818181818182,24.1,12.55,5.0,0.7777594041921532,0.7878947368421052,1.0,0.07906803491477789,1.3709677419354838,0.15600037574768066,-1,0.0
OCEAN,309,62,6,0.7419354838709677,0.782608695652174,0.8571428571428571,0.8181818181818182,24.1,12.55,5.0,0.7777594041921532,0.7878947368421052,1.0,0.06451067659820085,2.032258064516129,6.323009729385376,-1,0.0
