explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime,clique_size,init_time
FACETPaths,19019,3804,10,0.7910094637223974,0.765,0.9827378562826175,0.860305745914602,14.9,7.95,3.0,0.7491401286265906,0.4812573099415204,1.0,0.41094257313517174,5.694794952681388,0.18800735473632812,18.5,1.2310011386871338
BestCandidate,19019,3804,10,0.7910094637223974,0.765,0.9827378562826175,0.860305745914602,14.9,7.95,3.0,0.7491401286265906,0.4812573099415204,0.9802839116719243,0.24881505203776103,1.1842316975060339,7.211998701095581,-1.0,0.0
OCEAN,19019,3804,10,0.7910094637223974,0.765,0.9827378562826175,0.860305745914602,14.9,7.95,3.0,0.7491401286265906,0.4812573099415204,1.0,0.09329601053753671,3.0512618296529967,240.03316402435303,-1.0,0.0
FACETPaths,19019,3804,10,0.8144058885383807,0.7871927554980596,0.9806607574536664,0.873340509508432,15.0,8.0,3.0,0.7109514809166488,0.4782832080200501,1.0,0.5814795942541278,6.970031545741325,0.18799757957458496,19.0,1.2700026035308838
BestCandidate,19019,3804,10,0.8144058885383807,0.7871927554980596,0.9806607574536664,0.873340509508432,15.0,8.0,3.0,0.7109514809166488,0.4782832080200501,0.9582018927444795,0.263728238796133,1.113031550068587,7.315000057220459,-1.0,0.0
OCEAN,19019,3804,10,0.8144058885383807,0.7871927554980596,0.9806607574536664,0.873340509508432,15.0,8.0,3.0,0.7109514809166488,0.4782832080200501,0.9997371188222923,0.10184135762856322,3.1057060215619248,235.382155418396,-1.0,0.0
FACETPaths,19019,3804,10,0.8070452155625657,0.7828776041666666,0.9728964401294499,0.8676046176046176,14.9,7.95,3.0,0.743382260123878,0.4524018379281537,1.0,0.45424719999109364,5.761566771819138,0.18599915504455566,19.0,1.280000925064087
BestCandidate,19019,3804,10,0.8070452155625657,0.7828776041666666,0.9728964401294499,0.8676046176046176,14.9,7.95,3.0,0.743382260123878,0.4524018379281537,0.9676656151419558,0.26416450638689204,1.119804400977995,7.2980077266693115,-1.0,0.0
OCEAN,19019,3804,10,0.8070452155625657,0.7828776041666666,0.9728964401294499,0.8676046176046176,14.9,7.95,3.0,0.743382260123878,0.4524018379281537,0.954521556256572,0.09992238795426465,2.7108234646103,227.03443384170532,-1.0,0.0
FACETPaths,19019,3804,10,0.8117770767613038,0.7928405701027511,0.9633507853403142,0.8698181818181818,15.0,8.0,3.0,0.7487382811723493,0.508249791144528,1.0,0.5218221521027969,6.456887486855941,0.19200348854064941,18.0,1.2409999370574951
BestCandidate,19019,3804,10,0.8117770767613038,0.7928405701027511,0.9633507853403142,0.8698181818181818,15.0,8.0,3.0,0.7487382811723493,0.508249791144528,0.9497896950578338,0.25582747217027474,1.1400498200941047,7.275996923446655,-1.0,0.0
OCEAN,19019,3804,10,0.8117770767613038,0.7928405701027511,0.9633507853403142,0.8698181818181818,15.0,8.0,3.0,0.7487382811723493,0.508249791144528,1.0,0.10885451290508519,3.167718191377497,257.2415018081665,-1.0,0.0
FACETPaths,19019,3804,10,0.8241324921135647,0.811217510259918,0.9529931699477702,0.8764086458525772,15.0,8.0,3.0,0.75125215919334,0.4799979114452798,0.9997371188222923,0.571009393278986,5.6316066263476205,0.18399715423583984,18.0,1.2880024909973145
BestCandidate,19019,3804,10,0.8241324921135647,0.811217510259918,0.9529931699477702,0.8764086458525772,15.0,8.0,3.0,0.75125215919334,0.4799979114452798,0.9697686645636172,0.2133012413797676,1.1713201409596097,7.306013107299805,-1.0,0.0
OCEAN,19019,3804,10,0.8241324921135647,0.811217510259918,0.9529931699477702,0.8764086458525772,15.0,8.0,3.0,0.75125215919334,0.4799979114452798,1.0,0.10598139530828389,2.723186119873817,234.5126223564148,-1.0,0.0
