explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size
FACETGrow,568,114,30,0.9649122807017544,0.972972972972973,0.9230769230769231,0.9473684210526315,12.3,6.65,3.0,0.8120144834619623,0.1273623452570821,1.0,0.5673676702945998,10.526315789473685,0.1679999828338623,0.7830028533935547,1.2982456140350878,19.86842105263158
AFT,568,114,30,0.9649122807017544,0.972972972972973,0.9230769230769231,0.9473684210526315,12.3,6.65,3.0,0.8120144834619623,0.1273623452570821,0.11403508771929827,0.05525437198275118,1.4615384615384615,0.0,0.2519986629486084,-1.0,-1.0
OCEAN,568,114,30,0.9649122807017544,0.972972972972973,0.9230769230769231,0.9473684210526315,12.3,6.65,3.0,0.8120144834619623,0.1273623452570821,1.0,0.16497359868837064,5.771929824561403,0.0,5.5159995555877686,-1.0,-1.0
FACETGrow,568,114,30,0.9473684210526315,0.9534883720930233,0.9111111111111111,0.9318181818181819,13.2,7.1,3.0,0.858807718492014,0.1600414497782919,1.0,0.5107236466843822,11.263157894736842,0.21000027656555176,0.7000002861022949,1.263157894736842,19.464912280701753
AFT,568,114,30,0.9473684210526315,0.9534883720930233,0.9111111111111111,0.9318181818181819,13.2,7.1,3.0,0.858807718492014,0.1600414497782919,0.1578947368421053,0.07978946622069782,1.2777777777777777,0.0,0.21000003814697266,-1.0,-1.0
OCEAN,568,114,30,0.9473684210526315,0.9534883720930233,0.9111111111111111,0.9318181818181819,13.2,7.1,3.0,0.858807718492014,0.1600414497782919,1.0,0.18405734430180942,5.7105263157894735,0.0,5.973996877670288,-1.0,-1.0
FACETGrow,568,114,30,0.9824561403508771,1.0,0.9411764705882353,0.9696969696969697,12.7,6.85,3.0,0.5531622646985512,0.14711354435038645,1.0,0.5237747406753079,12.692982456140351,0.1809999942779541,0.7540009021759033,1.1842105263157894,19.92105263157895
AFT,568,114,30,0.9824561403508771,1.0,0.9411764705882353,0.9696969696969697,12.7,6.85,3.0,0.5531622646985512,0.14711354435038645,0.16666666666666663,0.05716644129884553,1.3157894736842106,0.0,0.21116304397583008,-1.0,-1.0
OCEAN,568,114,30,0.9824561403508771,1.0,0.9411764705882353,0.9696969696969697,12.7,6.85,3.0,0.5531622646985512,0.14711354435038645,1.0,0.15881758012983221,4.859649122807017,0.0,5.450000047683716,-1.0,-1.0
FACETGrow,568,114,30,0.956140350877193,0.8979591836734694,1.0,0.9462365591397849,13.6,7.3,3.0,0.7761199840132741,0.16082864503917135,1.0,0.48832311511927573,9.429824561403509,0.21200013160705566,0.7670016288757324,1.280701754385965,19.859649122807017
AFT,568,114,30,0.956140350877193,0.8979591836734694,1.0,0.9462365591397849,13.6,7.3,3.0,0.7761199840132741,0.16082864503917135,0.1228070175438597,0.10286193738019207,1.4285714285714286,0.0,0.21300053596496582,-1.0,-1.0
OCEAN,568,114,30,0.956140350877193,0.8979591836734694,1.0,0.9462365591397849,13.6,7.3,3.0,0.7761199840132741,0.16082864503917135,1.0,0.16558249961034258,5.56140350877193,0.0,5.906000137329102,-1.0,-1.0
FACETGrow,568,114,30,0.9210526315789473,0.8421052631578947,0.9142857142857143,0.8767123287671234,12.0,6.5,3.0,0.902818080794411,0.1687037669932407,1.0,0.5292272534344984,10.131578947368421,0.1679997444152832,0.7090013027191162,1.105263157894737,19.982456140350877
AFT,568,114,30,0.9210526315789473,0.8421052631578947,0.9142857142857143,0.8767123287671234,12.0,6.5,3.0,0.902818080794411,0.1687037669932407,0.1578947368421053,0.07690118807204602,1.3888888888888888,0.0,0.20599651336669922,-1.0,-1.0
OCEAN,568,114,30,0.9210526315789473,0.8421052631578947,0.9142857142857143,0.8767123287671234,12.0,6.5,3.0,0.902818080794411,0.1687037669932407,1.0,0.17799827779433078,5.359649122807017,0.0,5.269998788833618,-1.0,-1.0
