explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size
FACETGrow,162,33,9,0.8181818181818182,0.7894736842105263,0.8823529411764706,0.8333333333333333,12.3,6.65,3.0,0.2234651277907699,0.3949436090225564,0.8484848484848485,0.2830041446580527,4.285714285714286,0.21300053596496582,0.1100003719329834,4.878787878787879,14.666666666666666
AFT,162,33,9,0.8181818181818182,0.7894736842105263,0.8823529411764706,0.8333333333333333,12.3,6.65,3.0,0.2234651277907699,0.3949436090225564,1.0,0.1611732288386935,1.3636363636363635,0.0,0.06099891662597656,-1.0,-1.0
OCEAN,162,33,9,0.8181818181818182,0.7894736842105263,0.8823529411764706,0.8333333333333333,12.3,6.65,3.0,0.2234651277907699,0.3949436090225564,1.0,0.0992420647774092,2.727272727272727,0.0,1.4730002880096436,-1.0,-1.0
FACETGrow,162,33,9,0.7878787878787878,0.7,0.9333333333333333,0.8,11.8,6.4,3.0,0.28962673517170034,0.38526942355889726,1.0,0.47869650135411246,4.424242424242424,0.20300078392028809,0.13899898529052734,5.242424242424242,17.060606060606062
AFT,162,33,9,0.7878787878787878,0.7,0.9333333333333333,0.8,11.8,6.4,3.0,0.28962673517170034,0.38526942355889726,1.0,0.10131180309394218,1.2424242424242424,0.0,0.061998844146728516,-1.0,-1.0
OCEAN,162,33,9,0.7878787878787878,0.7,0.9333333333333333,0.8,11.8,6.4,3.0,0.28962673517170034,0.38526942355889726,1.0,0.0702880133854533,2.0303030303030303,0.0,1.3839986324310303,-1.0,-1.0
FACETGrow,162,33,9,0.8181818181818182,0.7142857142857143,1.0,0.8333333333333333,12.3,6.65,3.0,0.4158269268080241,0.39018170426065163,1.0,0.3738006690346653,4.7272727272727275,0.21399998664855957,0.13099956512451172,4.636363636363637,16.242424242424242
AFT,162,33,9,0.8181818181818182,0.7142857142857143,1.0,0.8333333333333333,12.3,6.65,3.0,0.4158269268080241,0.39018170426065163,1.0,0.131926090683032,1.3636363636363635,0.0,0.06199979782104492,-1.0,-1.0
OCEAN,162,33,9,0.8181818181818182,0.7142857142857143,1.0,0.8333333333333333,12.3,6.65,3.0,0.4158269268080241,0.39018170426065163,1.0,0.0878215013647814,2.878787878787879,0.0,1.628999948501587,-1.0,-1.0
FACETGrow,162,33,9,0.8484848484848485,0.875,0.9130434782608695,0.8936170212765957,11.9,6.45,3.0,0.3407632015088541,0.37353801169590645,0.9696969696969697,0.3440126490586982,4.15625,0.19500064849853516,0.13800048828125,4.848484848484849,16.87878787878788
AFT,162,33,9,0.8484848484848485,0.875,0.9130434782608695,0.8936170212765957,11.9,6.45,3.0,0.3407632015088541,0.37353801169590645,0.9393939393939394,0.09330475454098772,1.4193548387096775,0.0,0.06799674034118652,-1.0,-1.0
OCEAN,162,33,9,0.8484848484848485,0.875,0.9130434782608695,0.8936170212765957,11.9,6.45,3.0,0.3407632015088541,0.37353801169590645,1.0,0.06932864478485352,2.4545454545454546,0.0,1.4649989604949951,-1.0,-1.0
FACETGrow,162,33,9,0.696969696969697,0.6,0.8571428571428571,0.7058823529411764,11.6,6.3,3.0,0.5351055829157999,0.38002506265664165,1.0,0.4826179337256678,5.121212121212121,0.1789989471435547,0.1250004768371582,3.9696969696969697,15.969696969696969
AFT,162,33,9,0.696969696969697,0.6,0.8571428571428571,0.7058823529411764,11.6,6.3,3.0,0.5351055829157999,0.38002506265664165,0.9393939393939394,0.0990003825921946,1.4838709677419355,0.0,0.05999755859375,-1.0,-1.0
OCEAN,162,33,9,0.696969696969697,0.6,0.8571428571428571,0.7058823529411764,11.6,6.3,3.0,0.5351055829157999,0.38002506265664165,1.0,0.07085949637995946,2.242424242424242,0.0009992122650146484,1.3350000381469727,-1.0,-1.0
