explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size
FACETGrow,19019,3804,10,0.7804942166140905,0.753627662858907,0.9850686037126715,0.8539443764211999,14.9,7.95,3.0,0.7693412981870872,0.5131641604010025,0.9989484752891693,0.3681110625583056,4.555789473684211,0.33500027656555176,25.285000801086426,2.5304942166140902,19.29652996845426
AFT,19019,3804,10,0.7804942166140905,0.753627662858907,0.9850686037126715,0.8539443764211999,14.9,7.95,3.0,0.7693412981870872,0.5131641604010025,0.9605678233438486,0.14974364462563475,1.5840175150519977,0.0,7.43819260597229,-1.0,-1.0
OCEAN,19019,3804,10,0.7804942166140905,0.753627662858907,0.9850686037126715,0.8539443764211999,14.9,7.95,3.0,0.7693412981870872,0.5131641604010025,1.0,0.09654491389328214,3.2862776025236595,0.0,224.6220588684082,-1.0,-1.0
FACETGrow,19019,3804,10,0.7994216614090431,0.775330396475771,0.9805013927576601,0.8659286592865928,15.0,8.0,3.0,0.7802014027907707,0.5141666666666667,1.0,0.41850918429995776,5.202944269190326,0.33300089836120605,23.186999082565308,2.393796004206099,18.07255520504732
AFT,19019,3804,10,0.7994216614090431,0.775330396475771,0.9805013927576601,0.8659286592865928,15.0,8.0,3.0,0.7802014027907707,0.5141666666666667,0.9721345951629863,0.1255126932476423,1.5113574905354246,0.0,7.47899866104126,-1.0,-1.0
OCEAN,19019,3804,10,0.7994216614090431,0.775330396475771,0.9805013927576601,0.8659286592865928,15.0,8.0,3.0,0.7802014027907707,0.5141666666666667,0.9997371188222923,0.08533369901388041,2.6552721535629766,0.0,243.8685507774353,-1.0,-1.0
FACETGrow,19019,3804,10,0.8007360672975815,0.7736334405144695,0.9780487804878049,0.8639138240574507,15.0,8.0,3.0,0.8383062321000346,0.4528320802005012,0.9981598317560463,0.37347537874553494,5.217803529101922,0.3359999656677246,23.916001796722412,2.2108307045215563,18.73449001051525
AFT,19019,3804,10,0.8007360672975815,0.7736334405144695,0.9780487804878049,0.8639138240574507,15.0,8.0,3.0,0.8383062321000346,0.4528320802005012,0.9710830704521556,0.1664491733517864,1.5592853275582026,0.0,7.377006530761719,-1.0,-1.0
OCEAN,19019,3804,10,0.8007360672975815,0.7736334405144695,0.9780487804878049,0.8639138240574507,15.0,8.0,3.0,0.8383062321000346,0.4528320802005012,1.0,0.11441836569307369,3.0375920084121977,0.0,249.64569473266602,-1.0,-1.0
FACETGrow,19019,3804,10,0.7904837013669821,0.7626325639426076,0.9854897218863361,0.8598558114999121,15.0,8.0,3.0,0.7756032960879948,0.41870927318295736,0.9976340694006309,0.4393853977580981,5.929907773386034,0.3250002861022949,26.07750630378723,2.5628286014721344,18.768664563617246
AFT,19019,3804,10,0.7904837013669821,0.7626325639426076,0.9854897218863361,0.8598558114999121,15.0,8.0,3.0,0.7756032960879948,0.41870927318295736,0.9629337539432177,0.12365010251510372,1.5823095823095823,0.0,7.537000417709351,-1.0,-1.0
OCEAN,19019,3804,10,0.7904837013669821,0.7626325639426076,0.9854897218863361,0.8598558114999121,15.0,8.0,3.0,0.7756032960879948,0.41870927318295736,1.0,0.09252722348077524,3.0404837013669823,0.0,227.6513569355011,-1.0,-1.0
FACETGrow,19019,3804,10,0.8259726603575184,0.8127340823970037,0.9551820728291317,0.8782192788815304,14.8,7.9,3.0,0.7526992168710712,0.5043567251461987,0.9960567823343849,0.41620595547044215,4.741884402216944,0.34199976921081543,26.155002117156982,2.7266035751840167,19.252628811777075
AFT,19019,3804,10,0.8259726603575184,0.8127340823970037,0.9551820728291317,0.8782192788815304,14.8,7.9,3.0,0.7526992168710712,0.5043567251461987,0.9681913774973712,0.16271497168308827,1.5264729839804507,0.0,7.45099949836731,-1.0,-1.0
OCEAN,19019,3804,10,0.8259726603575184,0.8127340823970037,0.9551820728291317,0.8782192788815304,14.8,7.9,3.0,0.7526992168710712,0.5043567251461987,1.0,0.1054165045579254,2.6577287066246056,0.0,241.09100151062012,-1.0,-1.0
