explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size
FACETGrow,4600,920,57,0.9043478260869565,0.953405017921147,0.7800586510263929,0.8580645161290321,14.6,7.8,3.0,0.6463054997143255,0.16966599190283402,1.0,0.16366782682423564,10.189130434782609,0.2349998950958252,6.110000371932983,2.6032608695652173,19.616304347826087
AFT,4600,920,57,0.9043478260869565,0.953405017921147,0.7800586510263929,0.8580645161290321,14.6,7.8,3.0,0.6463054997143255,0.16966599190283402,0.3652173913043478,0.025872250173423438,1.5148809523809523,0.0,1.7549970149993896,-1.0,-1.0
OCEAN,4600,920,57,0.9043478260869565,0.953405017921147,0.7800586510263929,0.8580645161290321,14.6,7.8,3.0,0.6463054997143255,0.16966599190283402,1.0,0.00867340291762621,5.55,0.0,48.668999910354614,-1.0,-1.0
FACETGrow,4600,920,57,0.9032608695652173,0.9458689458689459,0.8258706467661692,0.8818061088977425,14.8,7.9,3.0,0.6132866873081954,0.15013363829153303,1.0,0.17173371047661792,10.941304347826087,0.24300050735473633,6.139002323150635,2.857608695652174,19.55
AFT,4600,920,57,0.9032608695652173,0.9458689458689459,0.8258706467661692,0.8818061088977425,14.8,7.9,3.0,0.6132866873081954,0.15013363829153303,0.32499999999999996,0.0199013238390182,1.568561872909699,0.0,1.7669997215270996,-1.0,-1.0
OCEAN,4600,920,57,0.9032608695652173,0.9458689458689459,0.8258706467661692,0.8818061088977425,14.8,7.9,3.0,0.6132866873081954,0.15013363829153303,1.0,0.006009622977486718,4.672826086956522,0.0,47.94100046157837,-1.0,-1.0
FACETGrow,4600,920,57,0.8880434782608696,0.9333333333333333,0.7713498622589532,0.8446455505279035,14.2,7.6,3.0,0.6419222751012285,0.1390684169631538,0.9956521739130435,0.2086870483235011,11.576419213973798,0.21700000762939453,5.993000030517578,2.9467391304347825,19.877173913043478
AFT,4600,920,57,0.8880434782608696,0.9333333333333333,0.7713498622589532,0.8446455505279035,14.2,7.6,3.0,0.6419222751012285,0.1390684169631538,0.4184782608695652,0.0184826287394211,1.3376623376623376,0.0,1.7089965343475342,-1.0,-1.0
OCEAN,4600,920,57,0.8880434782608696,0.9333333333333333,0.7713498622589532,0.8446455505279035,14.2,7.6,3.0,0.6419222751012285,0.1390684169631538,1.0,0.006852489766045442,5.029347826086957,0.0,45.2839994430542,-1.0,-1.0
FACETGrow,4600,920,57,0.9010869565217391,0.9530201342281879,0.7867036011080333,0.8619119878603946,14.7,7.85,3.0,0.6625263180143439,0.13479256123992966,1.0,0.15086869989709348,10.631521739130434,0.24700045585632324,6.1040003299713135,2.8456521739130434,19.702173913043477
AFT,4600,920,57,0.9010869565217391,0.9530201342281879,0.7867036011080333,0.8619119878603946,14.7,7.85,3.0,0.6625263180143439,0.13479256123992966,0.3826086956521739,0.018080546629806418,1.6875,0.0,1.7459981441497803,-1.0,-1.0
OCEAN,4600,920,57,0.9010869565217391,0.9530201342281879,0.7867036011080333,0.8619119878603946,14.7,7.85,3.0,0.6625263180143439,0.13479256123992966,1.0,0.005563765142657237,5.6347826086956525,0.0,47.764999866485596,-1.0,-1.0
FACETGrow,4600,920,57,0.9152173913043479,0.9646643109540636,0.8005865102639296,0.875,14.6,7.8,3.0,0.6983980119441212,0.14952829334408282,0.991304347826087,0.2165048633922863,10.820175438596491,0.23799991607666016,6.0249998569488525,2.5315217391304348,19.670652173913044
AFT,4600,920,57,0.9152173913043479,0.9646643109540636,0.8005865102639296,0.875,14.6,7.8,3.0,0.6983980119441212,0.14952829334408282,0.31630434782608696,0.01733533075048903,1.3676975945017182,0.0,1.7499990463256836,-1.0,-1.0
OCEAN,4600,920,57,0.9152173913043479,0.9646643109540636,0.8005865102639296,0.875,14.6,7.8,3.0,0.6983980119441212,0.14952829334408282,1.0,0.009306700627835625,4.9,0.0,47.257000207901,-1.0,-1.0
