explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size
FACETGrow,309,62,6,0.8548387096774194,0.9047619047619048,0.8837209302325582,0.8941176470588236,12.3,6.65,3.0,0.5414670398976286,0.5286842105263158,0.967741935483871,0.30514723455889264,4.466666666666667,0.2350001335144043,0.27900052070617676,3.274193548387097,18.129032258064516
AFT,309,62,6,0.8548387096774194,0.9047619047619048,0.8837209302325582,0.8941176470588236,12.3,6.65,3.0,0.5414670398976286,0.5286842105263158,0.967741935483871,0.08281544619099937,1.2,0.0,0.10899877548217773,-1.0,-1.0
OCEAN,309,62,6,0.8548387096774194,0.9047619047619048,0.8837209302325582,0.8941176470588236,12.3,6.65,3.0,0.5414670398976286,0.5286842105263158,1.0,0.0657984970192901,1.9193548387096775,0.0,2.8100008964538574,-1.0,-1.0
FACETGrow,309,62,6,0.8387096774193549,0.8636363636363636,0.9047619047619048,0.8837209302325582,13.7,7.35,3.0,0.5915359972519821,0.6082456140350877,0.967741935483871,0.26624614180558864,3.9166666666666665,0.3040018081665039,0.23799800872802734,3.5483870967741935,16.419354838709676
AFT,309,62,6,0.8387096774193549,0.8636363636363636,0.9047619047619048,0.8837209302325582,13.7,7.35,3.0,0.5915359972519821,0.6082456140350877,0.7419354838709677,0.0936319675386868,1.3695652173913044,0.0,0.11099696159362793,-1.0,-1.0
OCEAN,309,62,6,0.8387096774193549,0.8636363636363636,0.9047619047619048,0.8837209302325582,13.7,7.35,3.0,0.5915359972519821,0.6082456140350877,1.0,0.10016809622046041,2.4193548387096775,0.0,3.3949997425079346,-1.0,-1.0
FACETGrow,309,62,6,0.7741935483870968,0.7804878048780488,0.8648648648648649,0.8205128205128206,12.2,6.6,3.0,0.47106624115673995,0.4853508771929825,0.9032258064516129,0.23684771498638857,3.607142857142857,0.2369997501373291,0.24400043487548828,4.080645161290323,16.903225806451612
AFT,309,62,6,0.7741935483870968,0.7804878048780488,0.8648648648648649,0.8205128205128206,12.2,6.6,3.0,0.47106624115673995,0.4853508771929825,1.0,0.07857532682410337,1.3064516129032258,0.0,0.11499977111816406,-1.0,-1.0
OCEAN,309,62,6,0.7741935483870968,0.7804878048780488,0.8648648648648649,0.8205128205128206,12.2,6.6,3.0,0.47106624115673995,0.4853508771929825,1.0,0.05388358195798265,2.096774193548387,0.0,2.844998359680176,-1.0,-1.0
FACETGrow,309,62,6,0.8225806451612904,0.8888888888888888,0.8695652173913043,0.8791208791208792,12.4,6.7,3.0,0.5689969105898396,0.505438596491228,0.967741935483871,0.2531313502248182,4.033333333333333,0.22899889945983887,0.2610006332397461,3.370967741935484,17.338709677419356
AFT,309,62,6,0.8225806451612904,0.8888888888888888,0.8695652173913043,0.8791208791208792,12.4,6.7,3.0,0.5689969105898396,0.505438596491228,1.0,0.09420908645026634,1.2419354838709677,0.0,0.10899877548217773,-1.0,-1.0
OCEAN,309,62,6,0.8225806451612904,0.8888888888888888,0.8695652173913043,0.8791208791208792,12.4,6.7,3.0,0.5689969105898396,0.505438596491228,1.0,0.06817134210464156,1.7741935483870968,0.0,2.8499996662139893,-1.0,-1.0
FACETGrow,309,62,6,0.7903225806451613,0.8863636363636364,0.8297872340425532,0.8571428571428571,12.5,6.75,3.0,0.5977750098964114,0.5176315789473684,1.0,0.2647572837866878,4.096774193548387,0.23400020599365234,0.22900056838989258,3.564516129032258,16.129032258064516
AFT,309,62,6,0.7903225806451613,0.8863636363636364,0.8297872340425532,0.8571428571428571,12.5,6.75,3.0,0.5977750098964114,0.5176315789473684,0.9838709677419355,0.08073589737412432,1.0655737704918034,0.0,0.10804152488708496,-1.0,-1.0
OCEAN,309,62,6,0.7903225806451613,0.8863636363636364,0.8297872340425532,0.8571428571428571,12.5,6.75,3.0,0.5977750098964114,0.5176315789473684,1.0,0.07819333288380259,1.7580645161290323,0.0,2.825000762939453,-1.0,-1.0
