explainer,n_samples,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
GraphMerge,378,30,1.0,1.0,1.0,1.0,11.4,6.2,3.8,-0.05789473684210526,0.1542686115054536,1.0,0.18704415341800948,1.1,0.9729971885681152
OCEAN,378,30,1.0,1.0,1.0,1.0,11.4,6.2,3.8,-0.05789473684210526,0.1542686115054536,1.0,0.38911866060902695,7.15,0.9940006732940674
BestCandidate,378,30,1.0,1.0,1.0,1.0,11.4,6.2,3.8,-0.05789473684210526,0.1542686115054536,0.0,,,0.0370030403137207
GraphMerge,378,30,1.0,1.0,1.0,1.0,11.1,6.05,3.85,0.05263157894736842,0.12006233532549324,1.0,0.35338223123334095,4.5,0.9729976654052734
OCEAN,378,30,1.0,1.0,1.0,1.0,11.1,6.05,3.85,0.05263157894736842,0.12006233532549324,1.0,0.41980157955963177,7.65,1.0020017623901367
BestCandidate,378,30,1.0,1.0,1.0,1.0,11.1,6.05,3.85,0.05263157894736842,0.12006233532549324,0.050000000000000044,0.23124497053996182,2.0,0.037000179290771484
GraphMerge,378,30,0.8105263157894737,0.7818181818181819,1.0,0.8775510204081634,8.8,4.9,3.25,0.9744179914595873,0.08815390749601276,1.0,0.3990822377152895,5.0,0.975999116897583
OCEAN,378,30,0.8105263157894737,0.7818181818181819,1.0,0.8775510204081634,8.8,4.9,3.25,0.9744179914595873,0.08815390749601276,1.0,0.33687381212090683,7.4,0.682999849319458
BestCandidate,378,30,0.8105263157894737,0.7818181818181819,1.0,0.8775510204081634,8.8,4.9,3.25,0.9744179914595873,0.08815390749601276,0.09999999999999998,0.1385429226066624,1.0,0.03400373458862305
GraphMerge,378,30,1.0,1.0,1.0,1.0,11.7,6.35,4.05,-0.006432748538011696,0.11416273784694836,1.0,0.4781973325674592,6.35,0.9760003089904785
OCEAN,378,30,1.0,1.0,1.0,1.0,11.7,6.35,4.05,-0.006432748538011696,0.11416273784694836,1.0,0.312016992428011,7.85,0.9230024814605713
BestCandidate,378,30,1.0,1.0,1.0,1.0,11.7,6.35,4.05,-0.006432748538011696,0.11416273784694836,0.050000000000000044,0.5494556180554592,2.0,0.036000967025756836
GraphMerge,378,30,1.0,1.0,1.0,1.0,11.7,6.35,3.7,-0.2175438596491228,0.13855073289283815,1.0,0.22916013651039827,2.6,0.9709992408752441
OCEAN,378,30,1.0,1.0,1.0,1.0,11.7,6.35,3.7,-0.2175438596491228,0.13855073289283815,1.0,0.33202763625544895,8.6,1.0760021209716797
BestCandidate,378,30,1.0,1.0,1.0,1.0,11.7,6.35,3.7,-0.2175438596491228,0.13855073289283815,0.15000000000000002,0.3983239672453964,2.3333333333333335,0.0370025634765625
