explainer,n_samples,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
OCEAN,3772,6,1,1,1,1,29.5,15.25,6.75,0,0.815087719,1,0.077682021,2.15,3.279995918
GraphMerge,3772,6,1,1,1,1,29.5,15.25,6.75,0,0.815087719,1,0.073150876,1.95,0.990999222
OCEAN,3772,6,1,1,1,1,20.9,10.95,5.6,0.015789474,0.763508772,1,0.083025848,2.05,1.947999954
GraphMerge,3772,6,1,1,1,1,20.9,10.95,5.6,0.015789474,0.763508772,1,0.073677541,1.1,0.972999811
OCEAN,3772,6,1,1,1,1,25.2,13.1,6.2,0,0.799473684,1,0.102835359,2,2.298001528
GraphMerge,3772,6,1,1,1,1,25.2,13.1,6.2,0,0.799473684,1,0.097599455,1.9,0.997998238
OCEAN,3772,6,1,1,1,1,27.9,14.45,6.25,0,0.797017544,1,0.080817723,2.4,2.77799964
GraphMerge,3772,6,1,1,1,1,27.9,14.45,6.25,0,0.797017544,1,0.07684612,1.5,0.98699975
OCEAN,3772,6,1,1,1,1,25.5,13.25,5.7,0,0.781403509,1,0.116835221,2.1,2.237998724
GraphMerge,3772,6,1,1,1,1,25.5,13.25,5.7,0,0.781403509,1,0.113344671,1.85,0.998999834
BestCandidate,3772,6,1,1,1,1,29.5,15.25,6.75,0,0.815087719,1,0.084594922,2.15,0.062000275
BestCandidate,3772,6,1,1,1,1,20.9,10.95,5.6,0.015789474,0.763508772,1,0.084782784,2.05,0.049001455
BestCandidate,3772,6,1,1,1,1,25.2,13.1,6.2,0,0.799473684,1,0.101233587,2,0.056003332
BestCandidate,3772,6,1,1,1,1,27.9,14.45,6.25,0,0.797017544,1,0.086221836,2.05,0.061996937
BestCandidate,3772,6,1,1,1,1,25.5,13.25,5.7,0,0.781403509,1,0.120689801,1.95,0.055999994
