explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
FACETGrow,20,20,6,0.8,0.9090909090909091,0.7692307692307693,0.8333333333333333,11.8,6.4,3.0,0.6215412342738594,0.46703703703703703,1.0,0.20876656331614035,3.45,0.05099749565124512,0.030002117156982422,1.6,9.8,-1,-1,-1
OCEAN,20,20,6,0.8,0.9090909090909091,0.7692307692307693,0.8333333333333333,11.8,6.4,3.0,0.6215412342738594,0.46703703703703703,1.0,0.060314872833840086,1.6,0.0,0.45600175857543945,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.8,0.9090909090909091,0.7692307692307693,0.8333333333333333,11.8,6.4,3.0,0.6215412342738594,0.46703703703703703,1.0,0.06039399630707942,1.6,3.2069976329803467,3.5919995307922363,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.8,0.9090909090909091,0.7692307692307693,0.8333333333333333,11.8,6.4,3.0,0.6215412342738594,0.46703703703703703,1.0,0.055779273781647466,1.5,0.06999802589416504,0.7060003280639648,-1.0,-1.0,67,122.2,250
FACETGrow,20,20,6,0.85,0.7692307692307693,1.0,0.8695652173913044,12.2,6.6,3.0,0.45372972111867704,0.5422222222222223,1.0,0.2682349802491629,3.65,0.059998273849487305,0.023000478744506836,1.95,9.5,-1,-1,-1
OCEAN,20,20,6,0.85,0.7692307692307693,1.0,0.8695652173913044,12.2,6.6,3.0,0.45372972111867704,0.5422222222222223,1.0,0.06756365293841918,1.8,0.0,0.42999744415283203,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.85,0.7692307692307693,1.0,0.8695652173913044,12.2,6.6,3.0,0.45372972111867704,0.5422222222222223,1.0,0.07289298707452276,1.9,3.0529985427856445,3.046999931335449,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.85,0.7692307692307693,1.0,0.8695652173913044,12.2,6.6,3.0,0.45372972111867704,0.5422222222222223,1.0,0.06892142164699389,1.8,0.08099985122680664,0.7039990425109863,-1.0,-1.0,68,119.0,243
FACETGrow,20,20,6,0.95,1.0,0.9230769230769231,0.9600000000000001,12.2,6.6,3.0,0.014172055181245738,0.5296296296296296,1.0,0.2917051779545457,2.9,0.06100010871887207,0.02000117301940918,1.8,8.6,-1,-1,-1
OCEAN,20,20,6,0.95,1.0,0.9230769230769231,0.9600000000000001,12.2,6.6,3.0,0.014172055181245738,0.5296296296296296,1.0,0.10614622393641775,1.8,0.0,0.43599987030029297,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.95,1.0,0.9230769230769231,0.9600000000000001,12.2,6.6,3.0,0.014172055181245738,0.5296296296296296,1.0,0.11306998135511921,1.75,3.1259984970092773,3.2330007553100586,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.95,1.0,0.9230769230769231,0.9600000000000001,12.2,6.6,3.0,0.014172055181245738,0.5296296296296296,1.0,0.10501737398968,1.8,0.08099842071533203,0.7010002136230469,-1.0,-1.0,54,119.5,190
FACETGrow,20,20,6,0.75,0.75,0.8181818181818182,0.7826086956521738,13.4,7.2,3.0,0.8003547016070705,0.5418518518518519,1.0,0.22163300695028262,3.25,0.06599760055541992,0.025999784469604492,1.3,9.7,-1,-1,-1
OCEAN,20,20,6,0.75,0.75,0.8181818181818182,0.7826086956521738,13.4,7.2,3.0,0.8003547016070705,0.5418518518518519,1.0,0.06701685082051174,1.75,0.0,0.5349991321563721,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.75,0.75,0.8181818181818182,0.7826086956521738,13.4,7.2,3.0,0.8003547016070705,0.5418518518518519,1.0,0.06960145646702952,1.65,3.0089991092681885,3.365000009536743,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.75,0.75,0.8181818181818182,0.7826086956521738,13.4,7.2,3.0,0.8003547016070705,0.5418518518518519,1.0,0.06366719784547084,1.8,0.08499836921691895,0.7999999523162842,-1.0,-1.0,65,111.85,251
FACETGrow,20,20,6,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,13.6,7.3,3.0,0.5195283193397812,0.4577777777777778,1.0,0.21505226828338858,3.05,0.06599903106689453,0.024000167846679688,2.3,9.4,-1,-1,-1
OCEAN,20,20,6,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,13.6,7.3,3.0,0.5195283193397812,0.4577777777777778,1.0,0.04654660689779896,1.65,0.0,0.48799920082092285,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,13.6,7.3,3.0,0.5195283193397812,0.4577777777777778,1.0,0.0523604302051926,1.25,3.0209994316101074,3.452000856399536,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.8,0.8333333333333334,0.8333333333333334,0.8333333333333334,13.6,7.3,3.0,0.5195283193397812,0.4577777777777778,1.0,0.04462228507829637,1.45,0.0859982967376709,0.5360009670257568,-1.0,-1.0,80,107.0,165
FACETGrow,20,20,6,0.65,1.0,0.4166666666666667,0.5882352941176471,13.0,7.0,3.0,0.2759964843815966,0.5070370370370371,1.0,0.12453676436172692,2.2,0.06199979782104492,0.02200007438659668,2.55,9.05,-1,-1,-1
OCEAN,20,20,6,0.65,1.0,0.4166666666666667,0.5882352941176471,13.0,7.0,3.0,0.2759964843815966,0.5070370370370371,1.0,0.032599108363232654,1.5,0.0,0.48799943923950195,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.65,1.0,0.4166666666666667,0.5882352941176471,13.0,7.0,3.0,0.2759964843815966,0.5070370370370371,1.0,0.03249134254064267,1.35,2.90899920463562,4.1670002937316895,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.65,1.0,0.4166666666666667,0.5882352941176471,13.0,7.0,3.0,0.2759964843815966,0.5070370370370371,1.0,0.029910446981259914,1.15,0.07999897003173828,0.6770000457763672,-1.0,-1.0,75,131.55,211
FACETGrow,20,20,6,0.8,0.8,0.9230769230769231,0.8571428571428571,11.6,6.3,3.0,0.475086690712607,0.5118518518518519,1.0,0.2405492758320463,3.35,0.04999971389770508,0.020999431610107422,1.5,8.8,-1,-1,-1
OCEAN,20,20,6,0.8,0.8,0.9230769230769231,0.8571428571428571,11.6,6.3,3.0,0.475086690712607,0.5118518518518519,1.0,0.07200816775068082,1.95,0.0,0.43399882316589355,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.8,0.8,0.9230769230769231,0.8571428571428571,11.6,6.3,3.0,0.475086690712607,0.5118518518518519,1.0,0.07347230798353704,1.65,3.34299898147583,3.128000020980835,-1.0,-1.0,-1,-1,-1
