explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
OCEAN,20,20,10,0.9,0.8333333333333334,1.0,0.9090909090909091,56.92,28.96,5.0,0.9340296631419731,0.8536335578002245,1.0,0.1496558300849684,5.2,0.0,84.83105111122131,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.9,0.8333333333333334,1.0,0.9090909090909091,56.92,28.96,5.0,0.9340296631419731,0.8536335578002245,1.0,0.26571476965815,6.1,21.249236583709717,4.202259063720703,-1,-1,-1,-1,-1
OCEAN,20,20,10,0.85,0.8235294117647058,1.0,0.9032258064516129,57.36,29.18,5.0,0.8413452988358169,0.8558383838383837,1.0,0.08711331429973827,5.45,0.0,62.8566038608551,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.85,0.8235294117647058,1.0,0.9032258064516129,57.36,29.18,5.0,0.8413452988358169,0.8558383838383837,1.0,0.20541538400485065,7.0,21.24591612815857,5.18217921257019,-1,-1,-1,-1,-1
OCEAN,20,20,10,0.75,0.6666666666666666,0.8888888888888888,0.761904761904762,57.48,29.24,5.0,0.6265701416563949,0.8613625140291807,1.0,0.08643566319845566,3.65,0.0,69.66627669334412,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.75,0.6666666666666666,0.8888888888888888,0.761904761904762,57.48,29.24,5.0,0.6265701416563949,0.8613625140291807,1.0,0.2085850140779165,7.2,21.146808624267578,4.1596455574035645,-1,-1,-1,-1,-1
OCEAN,20,20,10,0.85,0.8125,1.0,0.896551724137931,57.26,29.13,5.0,0.8765120063096931,0.8426032547699214,1.0,0.09583127275256363,5.7,0.0,87.5850145816803,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.85,0.8125,1.0,0.896551724137931,57.26,29.13,5.0,0.8765120063096931,0.8426032547699214,1.0,0.23013642946898524,7.0,21.08301067352295,5.0029919147491455,-1,-1,-1,-1,-1
OCEAN,20,20,10,0.95,0.9333333333333333,1.0,0.9655172413793104,57.8,29.4,5.0,0.7131260254100069,0.8790364758698093,1.0,0.11437479830147282,5.9,0.0,84.37254500389099,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.95,0.9333333333333333,1.0,0.9655172413793104,57.8,29.4,5.0,0.7131260254100069,0.8790364758698093,1.0,0.23754893885262907,7.0,20.970474243164062,4.842998504638672,-1,-1,-1,-1,-1
OCEAN,20,20,10,0.75,0.6153846153846154,1.0,0.761904761904762,57.4,29.2,5.0,0.6219223237150081,0.8589539842873176,1.0,0.06774131214641263,3.8,0.0,48.58382821083069,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.75,0.6153846153846154,1.0,0.761904761904762,57.4,29.2,5.0,0.6219223237150081,0.8589539842873176,1.0,0.2168950795002947,7.2,20.93917226791382,4.470000267028809,-1,-1,-1,-1,-1
OCEAN,20,20,10,0.85,0.8888888888888888,0.9411764705882353,0.9142857142857143,56.94,28.97,5.0,0.874868338385244,0.8448647586980922,1.0,0.08680313493847144,5.55,0.0,57.450244665145874,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.85,0.8888888888888888,0.9411764705882353,0.9142857142857143,56.94,28.97,5.0,0.874868338385244,0.8448647586980922,1.0,0.22015055560863034,7.1,20.942838668823242,5.284930467605591,-1,-1,-1,-1,-1
OCEAN,20,20,10,0.85,0.875,0.9333333333333333,0.9032258064516129,56.2,28.6,5.0,0.6063949420895474,0.8374242424242424,1.0,0.07351475185019933,5.35,0.0,54.12109613418579,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.85,0.875,0.9333333333333333,0.9032258064516129,56.2,28.6,5.0,0.6063949420895474,0.8374242424242424,1.0,0.20095897894541656,6.95,20.853914737701416,4.992589712142944,-1,-1,-1,-1,-1
OCEAN,20,20,10,0.85,0.7857142857142857,1.0,0.88,56.64,28.82,5.0,0.6920895304619106,0.8389539842873176,1.0,0.0940140047502361,4.6,0.0,71.3651909828186,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.85,0.7857142857142857,1.0,0.88,56.64,28.82,5.0,0.6920895304619106,0.8389539842873176,1.0,0.2088912980563455,7.2,21.530237674713135,4.745999813079834,-1,-1,-1,-1,-1
OCEAN,20,20,10,0.8,0.7647058823529411,1.0,0.8666666666666666,56.4,28.7,5.0,0.7503474112655604,0.8618675645342312,1.0,0.07636177774013984,4.2,0.0,61.9709997177124,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.8,0.7647058823529411,1.0,0.8666666666666666,56.4,28.7,5.0,0.7503474112655604,0.8618675645342312,1.0,0.21151885952104754,7.2,21.13399887084961,5.394001245498657,-1,-1,-1,-1,-1
