explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
OCEAN,20,20,9,0.8,0.7272727272727273,0.8888888888888888,0.7999999999999999,22.1,11.55,5.0,0.5899840680052377,0.6001879699248119,1.0,0.08119793280298467,3.6,0.0,1.9432690143585205,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.8,0.7272727272727273,0.8888888888888888,0.7999999999999999,22.1,11.55,5.0,0.5899840680052377,0.6001879699248119,1.0,0.08853793322327427,3.6,20.5279803276062,0.9110004901885986,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.85,0.7777777777777778,0.875,0.823529411764706,20.1,10.55,5.0,0.45338550869632827,0.5241708437761069,1.0,0.06914817225738865,2.6,0.0,1.6650002002716064,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.85,0.7777777777777778,0.875,0.823529411764706,20.1,10.55,5.0,0.45338550869632827,0.5241708437761069,1.0,0.0826858016871193,2.6,20.21197509765625,0.8289995193481445,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.9,0.8571428571428571,1.0,0.923076923076923,22.1,11.55,5.0,0.12007412557541221,0.597328738512949,1.0,0.02396003531220868,3.55,0.0,1.6889982223510742,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.9,0.8571428571428571,1.0,0.923076923076923,22.1,11.55,5.0,0.12007412557541221,0.597328738512949,0.95,0.03306089767074085,3.1052631578947367,20.629929780960083,1.0259978771209717,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.75,0.8333333333333334,0.7692307692307693,0.8,22.6,11.8,5.0,0.451440826677512,0.6101754385964913,1.0,0.03066353434971373,2.7,0.0,1.6959984302520752,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.75,0.8333333333333334,0.7692307692307693,0.8,22.6,11.8,5.0,0.451440826677512,0.6101754385964913,1.0,0.03842862694026454,2.35,20.014932870864868,0.9355583190917969,-1,-1,-1,-1,-1
OCEAN,20,20,9,0.8,1.0,0.75,0.8571428571428571,23.2,12.1,5.0,0.5886200730652853,0.6609962406015037,1.0,0.03925966530622815,2.9,0.0,1.8497278690338135,-1,-1,-1,-1,-1
FACETIndex,20,20,9,0.8,1.0,0.75,0.8571428571428571,23.2,12.1,5.0,0.5886200730652853,0.6609962406015037,1.0,0.050516407958309396,3.3,19.63777732849121,1.0560004711151123,-1,-1,-1,-1,-1
