explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
OCEAN,20,20,57,1.0,1.0,1.0,1.0,47.4,24.2,5.0,-0.004088971721891027,0.33931250880136266,1.0,0.007415486336434807,4.75,0.0,3.493999719619751,-1,-1,-1,-1,-1
FACETIndex,20,20,57,1.0,1.0,1.0,1.0,47.4,24.2,5.0,-0.004088971721891027,0.33931250880136266,1.0,0.020008787145955963,5.85,53.56329321861267,2.0547635555267334,-1,-1,-1,-1,-1
OCEAN,20,20,57,0.95,0.9090909090909091,1.0,0.9523809523809523,46.5,23.75,5.0,0.20669873022002666,0.3032991516034507,1.0,0.00623831995014666,5.55,0.0,3.436879873275757,-1,-1,-1,-1,-1
FACETIndex,20,20,57,0.95,0.9090909090909091,1.0,0.9523809523809523,46.5,23.75,5.0,0.20669873022002666,0.3032991516034507,1.0,0.02143512095885452,5.6,54.021074533462524,2.2900002002716064,-1,-1,-1,-1,-1
OCEAN,20,20,57,0.8,0.875,0.7,0.7777777777777777,48.5,24.75,5.0,0.9057627610783671,0.35897952849777826,1.0,0.0057205724112895755,4.8,0.0,4.204107761383057,-1,-1,-1,-1,-1
FACETIndex,20,20,57,0.8,0.875,0.7,0.7777777777777777,48.5,24.75,5.0,0.9057627610783671,0.35897952849777826,1.0,0.01679461843836078,6.35,50.94396376609802,2.462001323699951,-1,-1,-1,-1,-1
OCEAN,20,20,57,1.0,1.0,1.0,1.0,46.7,23.85,5.0,-0.35309496828194886,0.3123215374229879,1.0,0.005853201299127727,5.75,0.0,3.541146755218506,-1,-1,-1,-1,-1
FACETIndex,20,20,57,1.0,1.0,1.0,1.0,46.7,23.85,5.0,-0.35309496828194886,0.3123215374229879,1.0,0.0201392552712992,6.85,50.61073136329651,2.9730091094970703,-1,-1,-1,-1,-1
OCEAN,20,20,57,1.0,1.0,1.0,1.0,45.6,23.3,5.0,-0.24102908787119315,0.3002731898362554,1.0,0.005538426641731471,5.5,0.0,3.9023349285125732,-1,-1,-1,-1,-1
FACETIndex,20,20,57,1.0,1.0,1.0,1.0,45.6,23.3,5.0,-0.24102908787119315,0.3002731898362554,1.0,0.018067747850093,6.4,53.200846433639526,3.009000301361084,-1,-1,-1,-1,-1
