explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max,rects_searched_0,rects_searched_1,idx_dim_0,idx_dim_1
OCEAN,20,20,30,0.95,1.0,0.6666666666666666,0.8,21.5,11.25,4.95,0.7536855183169767,0.2107146418705405,1.0,0.1513266853589519,6.05,0.0,2.357001543045044,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.95,1.0,0.6666666666666666,0.8,21.5,11.25,4.95,0.7536855183169767,0.2107146418705405,1.0,0.1741258847980051,5.35,30.357629776000977,1.8190016746520996,-1,-1,-1,-1,-1,14242,78585,23,22
OCEAN,20,20,30,0.95,1.0,0.8,0.888888888888889,22.3,11.65,4.9,0.5081529129668355,0.20792022827443227,1.0,0.1250418714733719,5.0,0.0,1.838998794555664,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.95,1.0,0.8,0.888888888888889,22.3,11.65,4.9,0.5081529129668355,0.20792022827443227,1.0,0.1637360022653008,5.45,35.004109382629395,2.124016284942627,-1,-1,-1,-1,-1,41873,55933,25,24
OCEAN,20,20,30,0.95,1.0,0.9090909090909091,0.9523809523809523,22.8,11.9,4.95,0.4470025716397801,0.2123055929007534,1.0,0.16099218237071403,6.2,0.0,1.8950090408325195,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.95,1.0,0.9090909090909091,0.9523809523809523,22.8,11.9,4.95,0.4470025716397801,0.2123055929007534,1.0,0.19811393881884926,5.75,35.09555387496948,3.7928731441497803,-1,-1,-1,-1,-1,143741,51014,26,24
OCEAN,20,20,30,0.95,0.8333333333333334,1.0,0.9090909090909091,21.9,11.45,4.9,0.4017543859649123,0.199621957962556,1.0,0.1762686507317242,6.8,0.0,1.823000192642212,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.95,0.8333333333333334,1.0,0.9090909090909091,21.9,11.45,4.9,0.4017543859649123,0.199621957962556,1.0,0.22499848989084908,6.85,32.06400418281555,2.7920010089874268,-1,-1,-1,-1,-1,67477,75341,24,24
OCEAN,20,20,30,0.9,1.0,0.7142857142857143,0.8333333333333333,22.9,11.95,5.0,0.4809979081432171,0.22980430566934557,1.0,0.15926700275702332,6.1,0.0,2.0990023612976074,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.9,1.0,0.7142857142857143,0.8333333333333333,22.9,11.95,5.0,0.4809979081432171,0.22980430566934557,1.0,0.20362941604930787,6.1,31.617007970809937,3.1156527996063232,-1,-1,-1,-1,-1,94624,65319,22,22
