explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max,rects_searched_0,rects_searched_1,idx_dim_0,idx_dim_1
OCEAN,20,20,10,0.9,0.8333333333333334,1.0,0.9090909090909091,57.5,29.25,5.0,0.7654838967143013,0.8460818713450294,1.0,0.1434964663798138,4.35,0.0,7.511817932128906,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.9,0.8333333333333334,1.0,0.9090909090909091,57.5,29.25,5.0,0.7654838967143013,0.8460818713450294,1.0,0.16956799745795492,3.8,22.423980712890625,1.2609999179840088,-1,-1,-1,-1,-1,37915,26059,10,10
OCEAN,20,20,10,0.85,0.8235294117647058,1.0,0.9032258064516129,57.1,29.05,5.0,0.8342765460623682,0.8799269005847954,1.0,0.0851339943604122,3.7,0.0,5.901001214981079,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.85,0.8235294117647058,1.0,0.9032258064516129,57.1,29.05,5.0,0.8342765460623682,0.8799269005847954,1.0,0.09193801851669234,3.15,22.649537086486816,1.1104683876037598,-1,-1,-1,-1,-1,44833,11451,10,10
OCEAN,20,20,10,0.8,0.7272727272727273,0.8888888888888888,0.7999999999999999,56.2,28.6,5.0,0.623625486899494,0.848888888888889,1.0,0.07855449003294641,3.2,0.0,4.877222299575806,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.8,0.7272727272727273,0.8888888888888888,0.7999999999999999,56.2,28.6,5.0,0.623625486899494,0.848888888888889,1.0,0.08766565120123852,2.8,22.380748510360718,1.098999261856079,-1,-1,-1,-1,-1,16611,39485,10,10
OCEAN,20,20,10,0.85,0.8125,1.0,0.896551724137931,59.1,30.05,5.0,0.9100315592560513,0.855497076023392,1.0,0.09111717099795091,3.6,0.0,5.551509380340576,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.85,0.8125,1.0,0.896551724137931,59.1,30.05,5.0,0.9100315592560513,0.855497076023392,1.0,0.1082577205076356,3.8,22.21450400352478,1.154001235961914,-1,-1,-1,-1,-1,47439,11724,10,10
OCEAN,20,20,10,0.95,0.9333333333333333,1.0,0.9655172413793104,58.1,29.55,5.0,0.6234975670889041,0.8391228070175438,1.0,0.08439281607408872,4.05,0.0,5.107994318008423,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,10,0.95,0.9333333333333333,1.0,0.9655172413793104,58.1,29.55,5.0,0.6234975670889041,0.8391228070175438,1.0,0.09808022803316524,3.75,21.99899983406067,1.0300166606903076,-1,-1,-1,-1,-1,35827,16651,10,10
