explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max,rects_searched_0,rects_searched_1,idx_dim_0,idx_dim_1
OCEAN,20,20,6,0.9,0.9230769230769231,0.9230769230769231,0.9230769230769231,27.3,14.15,5.0,0.6426691346874873,0.7957894736842105,1.0,0.06101968781575937,2.5,0.0,2.4240002632141113,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,6,0.9,0.9230769230769231,0.9230769230769231,0.9230769230769231,27.3,14.15,5.0,0.6426691346874873,0.7957894736842105,1.0,0.06408851341821897,2.4,20.49032235145569,0.4160032272338867,-1,-1,-1,-1,-1,11144,8121,6,6
OCEAN,20,20,6,0.95,1.0,0.9,0.9473684210526316,28.3,14.65,5.0,0.15807305085413856,0.8601754385964911,1.0,0.06540283373623905,2.3,0.0,2.743464469909668,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,6,0.95,1.0,0.9,0.9473684210526316,28.3,14.65,5.0,0.15807305085413856,0.8601754385964911,1.0,0.07263876138144719,1.9,19.029218673706055,0.588001012802124,-1,-1,-1,-1,-1,9960,19675,6,6
OCEAN,20,20,6,0.95,1.0,0.9230769230769231,0.9600000000000001,26.0,13.5,5.0,0.016016659840639536,0.8249122807017543,1.0,0.10636231102298846,2.25,0.0,2.267000436782837,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,6,0.95,1.0,0.9230769230769231,0.9600000000000001,26.0,13.5,5.0,0.016016659840639536,0.8249122807017543,1.0,0.11132425217980577,2.4,18.743200063705444,0.6129982471466064,-1,-1,-1,-1,-1,23249,6463,6,6
OCEAN,20,20,6,0.7,0.7272727272727273,0.7272727272727273,0.7272727272727273,25.4,13.2,5.0,0.7139410034732208,0.8264912280701756,1.0,0.05762496442648289,2.0,0.0,2.1109988689422607,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,6,0.7,0.7272727272727273,0.7272727272727273,0.7272727272727273,25.4,13.2,5.0,0.7139410034732208,0.8264912280701756,1.0,0.06441710136654533,1.65,18.44692611694336,0.556999921798706,-1,-1,-1,-1,-1,14656,14215,6,6
OCEAN,20,20,6,0.65,0.7777777777777778,0.5833333333333334,0.6666666666666666,28.2,14.6,5.0,0.45434513608087757,0.8433333333333332,1.0,0.050789619490026625,1.85,0.0,2.2749993801116943,-1,-1,-1,-1,-1,-1,-1,-1,-1
FACETIndex,20,20,6,0.65,0.7777777777777778,0.5833333333333334,0.6666666666666666,28.2,14.6,5.0,0.45434513608087757,0.8433333333333332,1.0,0.053649401551757306,1.5,18.42687726020813,0.42600250244140625,-1,-1,-1,-1,-1,13855,8057,6,6
