dataset,explainer,n_trees,max_depth,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
cancer,AFT,10,5,0,0.9385964912280702,0.95,0.8837209302325582,0.9156626506024096,0.35,0.19949122267960853,0.26420408407294327,2.0,2.86102294921875e-06,0.0413815975189209,0.002069079875946045,20
cancer,AFT,10,5,1,0.9473684210526315,0.9666666666666667,0.8529411764705882,0.90625,0.4,0.09180180903407609,0.1049572704708346,1.625,1.6689300537109375e-06,0.036126136779785156,0.0018063068389892578,20
cancer,AFT,10,5,2,0.9736842105263158,0.9777777777777777,0.9565217391304348,0.967032967032967,0.55,0.23249775494835329,0.2785174283355337,1.6363636363636365,1.6689300537109375e-06,0.03916811943054199,0.0019584059715270995,20
cancer,AFT,10,5,3,0.8859649122807017,0.8292682926829268,0.85,0.8395061728395061,0.15000000000000002,0.33590546254014503,0.5455769030442906,3.0,1.6689300537109375e-06,0.03768420219421387,0.0018842101097106933,20
cancer,AFT,10,5,4,0.9298245614035088,0.925,0.8809523809523809,0.9024390243902439,0.35,0.1778477394550932,0.24760913618734628,1.7142857142857142,1.6689300537109375e-06,0.0388181209564209,0.001940906047821045,20
cancer,AFT,10,5,5,0.956140350877193,0.9318181818181818,0.9534883720930233,0.942528735632184,0.35,0.30254665686826204,0.35616066662003715,1.7142857142857142,2.1457672119140625e-06,0.037908315658569336,0.0018954157829284668,20
cancer,AFT,10,5,6,0.9649122807017544,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.35,0.13844268071109703,0.1636754524392052,1.5714285714285714,1.430511474609375e-06,0.03942584991455078,0.0019712924957275392,20
cancer,AFT,10,5,7,0.9473684210526315,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.55,0.09270827724963594,0.10675500646214188,1.4545454545454546,1.6689300537109375e-06,0.039681196212768555,0.0019840598106384277,20
cancer,AFT,10,5,8,0.9649122807017544,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.19999999999999996,0.17419501062290593,0.22450167891608697,2.0,1.6689300537109375e-06,0.040691375732421875,0.002034568786621094,20
cancer,AFT,10,5,9,0.956140350877193,1.0,0.8837209302325582,0.9382716049382717,0.44999999999999996,0.19608532693346903,0.27227495799950135,1.8888888888888888,2.1457672119140625e-06,0.0362396240234375,0.001811981201171875,20
glass,AFT,10,5,0,0.7878787878787878,0.8,0.8421052631578947,0.8205128205128205,1.0,0.13276075877092747,0.1755763530519751,1.75,4.291534423828125e-06,0.036585092544555664,0.0018292546272277832,20
glass,AFT,10,5,1,0.7878787878787878,0.75,0.8823529411764706,0.8108108108108107,1.0,0.10209568915263764,0.11074006719299441,1.4,1.1920928955078125e-06,0.036806344985961914,0.0018403172492980958,20
glass,AFT,10,5,2,0.9090909090909091,0.8695652173913043,1.0,0.9302325581395349,1.0,0.05948121988247575,0.07831535791115865,1.7,1.430511474609375e-06,0.03853607177734375,0.0019268035888671876,20
glass,AFT,10,5,3,0.8181818181818182,0.9,0.8181818181818182,0.8571428571428572,1.0,0.0453039165001539,0.04588932750232634,1.1,1.430511474609375e-06,0.03653860092163086,0.001826930046081543,20
glass,AFT,10,5,4,0.8484848484848485,1.0,0.8,0.888888888888889,1.0,0.06669824222674872,0.08119982740311177,1.55,1.1920928955078125e-06,0.03881072998046875,0.0019405364990234375,20
glass,AFT,10,5,5,0.7575757575757576,0.7272727272727273,0.8888888888888888,0.7999999999999999,1.0,0.09059980726847362,0.10645848998961494,1.55,1.430511474609375e-06,0.03419160842895508,0.001709580421447754,20
glass,AFT,10,5,6,0.7878787878787878,0.8125,0.7647058823529411,0.787878787878788,1.0,0.07577379751530901,0.07816684634203167,1.2,1.430511474609375e-06,0.0347597599029541,0.001737987995147705,20
glass,AFT,10,5,7,0.8181818181818182,0.7058823529411765,0.9230769230769231,0.8000000000000002,1.0,0.11338317774741365,0.1328831145045005,1.5,1.430511474609375e-06,0.03421163558959961,0.0017105817794799804,20
