dataset,explainer,n_trees,max_depth,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
adult,FACETIndex,100,3,0,0.829961305,0.829871414,0.380498866,0.521766169,1,1.09,2.18,4,20.18847156,4.560308695,0.228,20
adult,FACETIndex,100,3,1,0.82498618,0.854297694,0.360779106,0.507314037,1,1.02,1.91,4.35,20.14855957,4.54300189,0.227,20
compas,FACETIndex,100,3,0,0.652462121,0.619158879,0.565031983,0.590858417,1,0.07,0.07,1,19.24191308,0.042808771,0.002,20
adult,FACETIndex,100,3,2,0.813045882,0.8854314,0.279964222,0.425416242,1,0.92,1.9,3.85,19.62913585,4.50655508,0.225,20
glass,FACETIndex,100,3,0,0.818181818,0.80952381,0.894736842,0.85,1,0.2,0.32,4.6,18.72611976,0.250818491,0.013,20
credit,FACETIndex,100,3,0,0.798481013,0.80512091,0.978815391,0.883512195,1,0.84,1.45,6.85,22.08914876,1.937534809,0.097,20
cancer,FACETIndex,100,3,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.34,1,12.95,30.86433792,2.012889862,0.101,20
magic,FACETIndex,100,3,0,0.80362776,0.777668309,0.971287941,0.863760715,1,0.21,0.37,4.7,22.07937336,0.248814821,0.012,20
compas,FACETIndex,100,3,1,0.668560606,0.63908046,0.590233546,0.613686534,1,0.09,0.09,1,19.12253618,0.04029274,0.002,20
vertebral,FACETIndex,100,3,0,0.790322581,0.808510638,0.904761905,0.853932584,1,0.08,0.13,3.4,22.5523138,0.053170443,0.003,20
spambase,FACETIndex,100,3,0,0.909782609,0.96,0.816753927,0.882602546,1,0.06,0.13,11.05,28.07870078,0.516605139,0.026,20
glass,FACETIndex,100,3,1,0.787878788,0.75,0.882352941,0.810810811,1,0.22,0.44,5.25,18.57615685,0.146350384,0.007,20
adult,FACETIndex,100,3,3,0.812050857,0.924127466,0.269588313,0.417409184,1,1.15,2.14,4.05,20.3963728,4.301258087,0.215,20
