iteration,explainer,dataset,instance,perturbation_size,nperturbations,per_valid
0,AFT,cancer,512,1.00E-05,100,1
0,AFT,cancer,512,2.00E-05,100,1
0,AFT,cancer,512,3.00E-05,100,1
0,AFT,cancer,512,4.00E-05,100,1
0,AFT,cancer,512,5.00E-05,100,1
0,AFT,cancer,512,6.00E-05,100,1
0,AFT,cancer,512,7.00E-05,100,1
0,AFT,cancer,512,8.00E-05,100,1
0,AFT,cancer,512,9.00E-05,100,1
0,AFT,cancer,512,0.0001,100,1
0,AFT,cancer,512,0.00011,100,1
0,AFT,cancer,512,0.00012,100,1
0,AFT,cancer,512,0.00013,100,1
0,AFT,cancer,512,0.00014,100,1
0,AFT,cancer,512,0.00015,100,1
0,AFT,cancer,512,0.00016,100,1
0,AFT,cancer,512,0.00017,100,1
0,AFT,cancer,512,0.00018,100,1
0,AFT,cancer,512,0.00019,100,1
0,AFT,cancer,512,0.0002,100,1
0,AFT,cancer,512,0.00021,100,1
0,AFT,cancer,512,0.00022,100,1
0,AFT,cancer,512,0.00023,100,1
0,AFT,cancer,512,0.00024,100,1
0,AFT,cancer,512,0.00025,100,1
0,AFT,cancer,512,0.00026,100,1
0,AFT,cancer,512,0.00027,100,1
0,AFT,cancer,512,0.00028,100,1
0,AFT,cancer,512,0.00029,100,1
0,AFT,cancer,512,0.0003,100,1
0,AFT,cancer,512,0.00031,100,1
0,AFT,cancer,512,0.00032,100,1
0,AFT,cancer,512,0.00033,100,1
0,AFT,cancer,512,0.00034,100,1
0,AFT,cancer,512,0.00035,100,1
0,AFT,cancer,512,0.00036,100,1
0,AFT,cancer,512,0.00037,100,1
0,AFT,cancer,512,0.00038,100,1
0,AFT,cancer,512,0.00039,100,1
0,AFT,cancer,512,0.0004,100,1
0,AFT,cancer,512,0.00041,100,1
0,AFT,cancer,512,0.00042,100,1
0,AFT,cancer,512,0.00043,100,1
0,AFT,cancer,512,0.00044,100,1
0,AFT,cancer,512,0.00045,100,1
0,AFT,cancer,512,0.00046,100,1
0,AFT,cancer,512,0.00047,100,1
0,AFT,cancer,512,0.00048,100,1
0,AFT,cancer,512,0.00049,100,1
0,AFT,cancer,512,0.0005,100,1
0,AFT,cancer,512,0.001,100,1
0,AFT,cancer,512,0.0015,100,1
0,AFT,cancer,512,0.002,100,1
0,AFT,cancer,512,0.0025,100,1
0,AFT,cancer,512,0.003,100,1
0,AFT,cancer,512,0.0035,100,1
0,AFT,cancer,512,0.004,100,1
0,AFT,cancer,512,0.0045,100,1
0,AFT,cancer,512,0.005,100,1
0,AFT,cancer,512,0.0055,100,1
0,AFT,cancer,512,0.006,100,1
0,AFT,cancer,512,0.0065,100,1
0,AFT,cancer,512,0.007,100,1
0,AFT,cancer,512,0.0075,100,1
0,AFT,cancer,512,0.008,100,1
0,AFT,cancer,512,0.0085,100,1
0,AFT,cancer,512,0.009,100,1
0,AFT,cancer,512,0.0095,100,1
0,AFT,cancer,512,0.01,100,1
0,AFT,cancer,512,0.0105,100,1
0,AFT,cancer,512,0.011,100,1
0,AFT,cancer,512,0.0115,100,1
0,AFT,cancer,512,0.012,100,1
0,AFT,cancer,512,0.0125,100,1
0,AFT,cancer,512,0.013,100,1
0,AFT,cancer,512,0.0135,100,1
0,AFT,cancer,512,0.014,100,1
0,AFT,cancer,512,0.0145,100,1
0,AFT,cancer,512,0.015,100,1
0,AFT,cancer,512,0.0155,100,1
0,AFT,cancer,512,0.016,100,1
0,AFT,cancer,512,0.0165,100,1
0,AFT,cancer,512,0.017,100,1
0,AFT,cancer,512,0.0175,100,1
0,AFT,cancer,512,0.018,100,0.97
0,AFT,cancer,512,0.0185,100,0.94
0,AFT,cancer,512,0.019,100,0.91
0,AFT,cancer,512,0.0195,100,0.89
0,AFT,cancer,512,0.02,100,0.88
0,AFT,cancer,512,0.0205,100,0.88
0,AFT,cancer,512,0.021,100,0.87
0,AFT,cancer,512,0.0215,100,0.84
0,AFT,cancer,512,0.022,100,0.83
0,AFT,cancer,512,0.0225,100,0.79
0,AFT,cancer,512,0.023,100,0.75
0,AFT,cancer,512,0.0235,100,0.74
0,AFT,cancer,512,0.024,100,0.74
0,AFT,cancer,512,0.0245,100,0.73
0,AFT,cancer,512,0.025,100,0.72
0,AFT,cancer,512,0.0255,100,0.69
0,AFT,cancer,512,0.026,100,0.68
0,AFT,cancer,512,0.0265,100,0.67
0,AFT,cancer,512,0.027,100,0.67
0,AFT,cancer,512,0.0275,100,0.66
0,AFT,cancer,512,0.028,100,0.65
0,AFT,cancer,512,0.0285,100,0.64
0,AFT,cancer,512,0.029,100,0.63
0,AFT,cancer,512,0.0295,100,0.63
0,AFT,cancer,512,0.03,100,0.63
0,AFT,cancer,512,0.0305,100,0.61
0,AFT,cancer,512,0.031,100,0.61
0,AFT,cancer,512,0.0315,100,0.61
0,AFT,cancer,512,0.032,100,0.59
0,AFT,cancer,512,0.0325,100,0.59
0,AFT,cancer,512,0.033,100,0.59
0,AFT,cancer,512,0.0335,100,0.59
0,AFT,cancer,512,0.034,100,0.57
0,AFT,cancer,512,0.0345,100,0.56
0,AFT,cancer,512,0.035,100,0.55
0,AFT,cancer,512,0.0355,100,0.55
0,AFT,cancer,512,0.036,100,0.53
