dataset,explainer,n_trees,max_depth,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain,facet_k
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,2.568726778,0.128436339,20,1
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.615428448,0.030771422,20,1
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.687114477,0.034355724,20,2
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.734516144,0.036725807,20,3
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.094184875,0.154709244,20,2
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.758407116,0.037920356,20,4
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.763731718,0.038186586,20,5
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.761169672,0.038058484,20,6
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.763401508,0.038170075,20,7
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.094029665,0.154701483,20,3
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.768949509,0.038447475,20,8
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.760938644,0.038046932,20,9
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.774979353,0.038748968,20,10
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.786542654,0.039327133,20,11
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.0965662,0.15482831,20,4
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.815115213,0.040755761,20,12
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.841523409,0.04207617,20,13
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.849834204,0.04249171,20,14
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.211780071,0.160589004,20,5
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.854448557,0.042722428,20,15
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.853497028,0.042674851,20,16
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.852816582,0.042640829,20,17
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.850035906,0.042501795,20,18
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.207103491,0.160355175,20,6
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.850874186,0.042543709,20,19
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.854415417,0.042720771,20,20
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.853319645,0.042665982,20,21
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.862289667,0.043114483,20,22
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.20122242,0.160061121,20,7
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.856866121,0.042843306,20,23
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.861447334,0.043072367,20,24
glass,FACETIndex,100,,0,0.848484848,0.85,0.894736842,0.871794872,1,0.198249616,,5.4,19.07194281,0.869727135,0.043486357,20,25
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.229671717,0.161483586,20,8
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.231034756,0.161551738,20,9
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.228764296,0.161438215,20,10
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.234533548,0.161726677,20,11
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.248385191,0.16241926,20,12
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.292109251,0.164605463,20,13
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.272523165,0.163626158,20,14
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.288298845,0.164414942,20,15
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.258836508,0.162941825,20,16
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.283904314,0.164195216,20,17
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.425742626,0.171287131,20,18
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.437023878,0.171851194,20,19
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.383338213,0.019166911,20,1
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.464538574,0.023226929,20,2
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.509778976,0.025488949,20,3
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.641966105,0.032098305,20,4
