,explainer,dataset,iteration,facet_m,index_time,sample_time,sample_time/m=4
,facet,adult,,2,0.647512913,0.714362483,1.643204094
,facet,adult,,3,0.945201659,0.559128085,1.286127955
,facet,adult,,4,1.251926899,0.434737526,1
,facet,adult,,5,1.545158315,0.377982755,0.869450489
,facet,adult,,6,1.847548604,0.359739858,0.827487475
,facet,adult,,7,2.1495152,0.339919795,0.781896603
,facet,adult,,8,2.439196348,0.32103718,0.738462086
,facet,adult,,9,2.741702175,0.307071141,0.706336864
,facet,adult,,10,3.046520424,0.293649141,0.675463062
,facet,adult,,11,3.351400948,0.284006015,0.653281573
,facet,adult,,12,3.657893538,0.27715354,0.637519245
,facet,adult,,13,3.953147531,0.276789095,0.636680937
,facet,adult,,14,4.246503377,0.269544922,0.62001761
,facet,adult,,15,4.554100418,0.263874203,0.606973604
,facet,adult,,16,4.828829455,0.26171317,0.602002712
,facet,adult,,17,5.156957507,0.257339486,0.591942196
,facet,adult,,18,5.464178991,0.256256977,0.589452168
,facet,adult,,19,5.747100306,0.25627979,0.589504644
,facet,adult,,20,6.051523566,0.253613589,0.583371744
,facet,adult,,21,6.34161377,0.25335277,0.582771798
,facet,adult,,22,6.653667855,0.249867407,0.574754632
,facet,adult,,23,6.946721077,0.249991666,0.575040458
,facet,adult,,24,7.278708601,0.246444792,0.5668818
,,,,,,,
0,facet,cancer,4.5,2,4.143839502,0.166093421,1.153948783
1,facet,cancer,4.5,3,6.199762797,0.151821634,1.054794273
2,facet,cancer,4.5,4,8.150412703,0.143934829,1
3,facet,cancer,4.5,5,10.20775802,0.136020058,0.945011427
4,facet,cancer,4.5,6,12.23827877,0.130723439,0.908212697
5,facet,cancer,4.5,7,14.2392931,0.12777992,0.887762335
6,facet,cancer,4.5,8,16.2563323,0.126788325,0.880873142
7,facet,cancer,4.5,9,18.37994037,0.124103113,0.862217394
8,facet,cancer,4.5,10,20.3772172,0.122657139,0.852171361
9,facet,cancer,4.5,11,22.35830114,0.122700725,0.852474174
10,facet,cancer,4.5,12,24.28170009,0.121435744,0.843685606
11,facet,cancer,4.5,13,26.66362708,0.120929132,0.840165873
12,facet,cancer,4.5,14,28.54813688,0.120703357,0.838597288
13,facet,cancer,4.5,15,30.55264709,0.118723192,0.824839914
14,facet,cancer,4.5,16,32.54731419,0.118914649,0.826170081
15,facet,cancer,4.5,17,34.26060145,0.118063953,0.820259791
16,facet,cancer,4.5,18,36.20766649,0.117011724,0.812949334
17,facet,cancer,4.5,19,38.10826983,0.116462089,0.809130698
18,facet,cancer,4.5,20,40.11105969,0.115665125,0.803593719
19,facet,cancer,4.5,21,41.47023022,0.115453601,0.802124138
20,facet,cancer,4.5,22,43.20756521,0.114725227,0.797063699
21,facet,cancer,4.5,23,43.95971289,0.116259325,0.807721975
22,facet,cancer,4.5,24,44.97192211,0.116030051,0.806129073
,facet,compas,,2,0.008567023,0.005100442,1.397486813
,facet,compas,,3,0.00821805,0.004229816,1.158941159
,facet,compas,,4,0.008827496,0.003649725,1
,facet,compas,,5,0.010423422,0.003284812,0.900016364
,facet,compas,,6,0.012779546,0.003016791,0.826580516
,facet,compas,,7,0.014240575,0.003056597,0.837486866
,facet,compas,,8,0.01612184,0.002825584,0.774191104
,facet,compas,,9,0.018041086,0.002789791,0.764383849
,facet,compas,,10,0.020087934,0.002711012,0.742799134
,facet,compas,,11,0.021873212,0.002676214,0.733264611
,facet,compas,,12,0.023746252,0.002579794,0.706846167
,facet,compas,,13,0.026301312,0.002551937,0.699213584
,facet,compas,,14,0.02796278,0.002633926,0.721677901
,facet,compas,,15,0.029461217,0.002634245,0.721765437
,facet,compas,,16,0.031110501,0.002559538,0.701296148
,facet,compas,,17,0.033158851,0.002519511,0.690329046
,facet,compas,,18,0.035047984,0.00248638,0.681251472
,facet,compas,,19,0.037011218,0.0024651,0.675420881
,facet,compas,,20,0.039029098,0.002456632,0.673100534
,facet,compas,,21,0.040825057,0.00246927,0.676563417
,facet,compas,,22,0.043212199,0.002458409,0.673587533
,facet,compas,,23,0.044994187,0.002451766,0.671767249
,facet,compas,,24,0.046639585,0.002430459,0.665929473
,facet,credit,,2,1.357148266,0.076230348,1.556703503
,facet,credit,,3,2.038144994,0.055081799,1.12482799
,facet,credit,,4,2.53467319,0.048969086,1
,facet,credit,,5,3.122055507,0.043199135,0.882171554
,facet,credit,,6,3.417742801,0.044712839,0.913082976
,facet,credit,,7,3.433151364,0.046649184,0.952625169
,facet,credit,,8,3.934745145,0.045946838,0.938282517
,facet,credit,,9,4.399927616,0.044534547,0.90944207
,facet,credit,,10,4.857905626,0.04347772,0.887860551
,facet,credit,,11,5.357890272,0.042781067,0.873634165
,facet,credit,,12,5.778115225,0.042545323,0.868820035
,facet,credit,,13,6.279555011,0.042180861,0.861377337
,facet,credit,,14,6.698694444,0.042078459,0.859286181
,facet,credit,,15,7.165177512,0.041621485,0.849954284
,facet,credit,,16,7.69134016,0.041136608,0.840052595
,facet,credit,,17,8.163280797,0.040970709,0.836664768
,facet,credit,,18,8.577271318,0.040968761,0.83662499
,facet,credit,,19,9.158694625,0.040934396,0.835923208
,facet,credit,,20,9.328599596,0.047100604,0.961843625
,facet,credit,,21,6.354353523,0.127315885,2.599923629
,facet,credit,,22,6.638489223,0.127467649,2.603022812
,facet,credit,,23,6.958875608,0.126911973,2.591675321
,facet,credit,,24,7.248310876,0.126398873,2.581197294
,,,,,,,
24,facet,glass,4.5,2,0.661710548,0.057426933,1.773828029
25,facet,glass,4.5,3,0.98497591,0.038687748,1.195003941
26,facet,glass,4.5,4,1.292500305,0.032374578,1
27,facet,glass,4.5,5,1.603765535,0.028796555,0.889480482
28,facet,glass,4.5,6,1.876213741,0.025152948,0.77693517
29,facet,glass,4.5,7,2.117558432,0.023084557,0.713045816
30,facet,glass,4.5,8,2.37684989,0.020910673,0.645897947
31,facet,glass,4.5,9,2.662908101,0.020095491,0.620718259
32,facet,glass,4.5,10,2.941869688,0.020188129,0.623579688
33,facet,glass,4.5,11,3.230001211,0.019012105,0.587254164
34,facet,glass,4.5,12,3.532118011,0.01856166,0.573340611
35,facet,glass,4.5,13,3.836352897,0.01844328,0.569684051
36,facet,glass,4.5,14,4.11855545,0.018001192,0.556028619
37,facet,glass,4.5,15,4.406196499,0.017895426,0.552761671
38,facet,glass,4.5,16,4.703104043,0.017431253,0.538424113
39,facet,glass,4.5,17,5.006909347,0.01729398,0.534183963
40,facet,glass,4.5,18,5.306359529,0.017325323,0.535152084
41,facet,glass,4.5,19,5.611941457,0.016986879,0.524698094
42,facet,glass,4.5,20,5.90486269,0.01684072,0.520183473
43,facet,glass,4.5,21,6.188238454,0.016743628,0.517184441
44,facet,glass,4.5,22,6.503114486,0.016656328,0.514487901
45,facet,glass,4.5,23,6.800941968,0.016479141,0.509014844
46,facet,glass,4.5,24,7.084531236,0.016345803,0.504896243
48,facet,magic,4.5,2,1.433297539,0.047214451,2.170516606
49,facet,magic,4.5,3,2.127264118,0.030002995,1.379281062
50,facet,magic,4.5,4,2.819581509,0.021752633,1
51,facet,magic,4.5,5,3.499257874,0.018118967,0.832955116
52,facet,magic,4.5,6,4.217083478,0.014516655,0.66735164
53,facet,magic,4.5,7,4.896185732,0.013202997,0.606960892
54,facet,magic,4.5,8,5.584655213,0.012205515,0.561105177
55,facet,magic,4.5,9,6.285782981,0.011550837,0.531008666
56,facet,magic,4.5,10,7.026155472,0.011352388,0.521885684
57,facet,magic,4.5,11,7.697509098,0.010778834,0.495518575
58,facet,magic,4.5,12,8.41917007,0.010358728,0.476205719
59,facet,magic,4.5,13,9.095461583,0.009733526,0.447464249
60,facet,magic,4.5,14,9.810475111,0.009690639,0.445492683
61,facet,magic,4.5,15,10.51981642,0.009658495,0.444014996
62,facet,magic,4.5,16,11.19977801,0.009489177,0.436231215
63,facet,magic,4.5,17,11.92150712,0.009303335,0.427687766
64,facet,magic,4.5,18,12.61274393,0.009066709,0.416809742
65,facet,magic,4.5,19,13.3277632,0.008788296,0.40401068
66,facet,magic,4.5,20,14.06410077,0.008903767,0.409319043
67,facet,magic,4.5,21,14.74416039,0.008791728,0.404168455
68,facet,magic,4.5,22,15.3011086,0.008724157,0.4010621
69,facet,magic,4.5,23,16.12090096,0.008582575,0.394553403
70,facet,magic,4.5,24,16.73262239,0.008584565,0.394644868
72,facet,spambase,4.5,2,8.324183965,0.042040884,2.315374908
73,facet,spambase,4.5,3,12.39132347,0.024175881,1.33147124
74,facet,spambase,4.5,4,16.41849639,0.018157269,1
75,facet,spambase,4.5,5,20.5456264,0.015718932,0.865710166
76,facet,spambase,4.5,6,24.51372666,0.014042811,0.773398884
77,facet,spambase,4.5,7,28.54704649,0.012888212,0.70981007
